"start_index","end_index","start_name","end_name","sequence_length","sequence_name","start_layer_kind","end_layer_kind","sequence_layer_kind","min_start_index_time","mean_start_index_time","max_start_index_time","min_end_index_time","mean_end_index_time","max_end_index_time","min_path_time","mean_path_time","max_path_time","min_path_minus_start_time","mean_path_minus_start_time","max_path_minus_start_time","min_path_minus_end_time","mean_path_minus_end_time","max_path_minus_end_time","raw_start_index_time","raw_end_index_time","raw_path_time"
1,11,"conv1","2a/res2a_branch2b_relu",10,"conv1-bn_conv1-conv1_relu-pool1_pad-pool1-2a/res2a_branch2a-2a/bn2a_branch2a-2a/res2a_branch2a_relu-2a/res2a_branch2b-2a/bn2a_branch2b-2a/res2a_branch2b_relu","Convolution","Elementwise","Convolution-BatchNormalization-Elementwise-Padding-Pooling-Convolution-BatchNormalization-Elementwise-Convolution-BatchNormalization-Elementwise",1885.,1921.2667000000001,2272.,97.,98.1333,164.,7248.,7328.5,8072.,5363.,5407.2333,5800.,7151.,7230.3667000000005,7908.,"{2272., 2186., 1988., 1928., 1985., 1911., 1946., 1916., 1885., 1998., 1922., 1922., 1901., 1904., 1963., 1928., 1893., 1917., 1910., 1980., 1947., 1920., 1904., 1910., 1958., 1993., 1900., 1911., 1887., 1907., 1996., 1900., 1896., 1914., 1900., 1977., 1895., 1886., 1924., 1888., 1992., 1905., 1893., 1912., 1896., 1978., 1968., 1885., 1917., 1890.}","{164., 132., 119., 99., 99., 98., 99., 98., 99., 99., 99., 98., 97., 98., 98., 99., 99., 98., 99., 98., 98., 98., 98., 97., 98., 98., 98., 98., 98., 98., 99., 98., 98., 98., 98., 97., 98., 98., 97., 98., 98., 98., 99., 98., 98., 98., 98., 98., 98., 97.}","{8072., 7520., 7407., 7375., 7431., 7297., 7365., 7284., 7348., 7350., 7323., 7304., 7337., 7393., 7254., 7337., 7275., 7323., 7277., 7427., 7296., 7347., 7298., 7353., 7342., 7329., 7336., 7293., 7366., 7283., 7313., 7273., 7306., 7261., 7383., 7248., 7384., 7319., 7348., 7401., 7302., 7342., 7287., 7347., 7296., 7329., 7290., 7344., 7264., 7390.}"
2,12,"bn_conv1","2a/res2a_branch2c",10,"bn_conv1-conv1_relu-pool1_pad-pool1-2a/res2a_branch2a-2a/bn2a_branch2a-2a/res2a_branch2a_relu-2a/res2a_branch2b-2a/bn2a_branch2b-2a/res2a_branch2b_relu-2a/res2a_branch2c","BatchNormalization","Convolution","BatchNormalization-Elementwise-Padding-Pooling-Convolution-BatchNormalization-Elementwise-Convolution-BatchNormalization-Elementwise-Convolution",317.,318.2,471.,239.,241.2333,373.,5662.,5732.5,6054.,5345.,5414.3,5583.,5423.,5491.2667,5681.,"{471., 436., 336., 319., 317., 318., 318., 318., 331., 318., 318., 318., 318., 330., 318., 317., 318., 317., 317., 317., 318., 319., 318., 318., 317., 333., 319., 318., 318., 318., 318., 318., 318., 318., 318., 319., 318., 319., 331., 326., 319., 319., 317., 318., 318., 318., 318., 317., 319., 318.}","{373., 261., 244., 242., 243., 241., 241., 261., 247., 243., 240., 240., 242., 241., 240., 241., 240., 241., 240., 241., 241., 240., 241., 252., 242., 241., 241., 239., 239., 241., 240., 241., 240., 239., 285., 267., 266., 266., 265., 252., 241., 241., 240., 240., 240., 240., 240., 239., 239., 240.}","{6054., 5881., 5926., 5842., 5726., 5818., 5705., 5762., 5798., 5750., 5757., 5705., 5737., 5695., 5729., 5784., 5760., 5756., 5687., 5693., 5686., 5690., 5818., 5733., 5757., 5662., 5713., 5667., 5678., 5793., 5722., 5770., 5711., 5697., 5689., 5713., 5824., 5743., 5793., 5680., 5702., 5679., 5716., 5873., 5672., 5822., 5686., 5711., 5669., 5763.}"
3,13,"conv1_relu","2a/bn2a_branch2c",10,"conv1_relu-pool1_pad-pool1-2a/res2a_branch2a-2a/bn2a_branch2a-2a/res2a_branch2a_relu-2a/res2a_branch2b-2a/bn2a_branch2b-2a/res2a_branch2b_relu-2a/res2a_branch2c-2a/bn2a_branch2c","Elementwise","BatchNormalization","Elementwise-Padding-Pooling-Convolution-BatchNormalization-Elementwise-Convolution-BatchNormalization-Elementwise-Convolution-BatchNormalization",295.,296.9667,395.,"","","",5453.,5520.2333,5794.,5158.,5223.2667,5399.,"","","","{377., 395., 310., 300., 299., 299., 299., 299., 297., 311., 297., 296., 296., 297., 296., 296., 296., 296., 306., 297., 297., 297., 295., 310., 297., 296., 296., 297., 296., 296., 297., 297., 296., 297., 297., 296., 307., 297., 296., 297., 296., 297., 297., 297., 297., 295., 297., 297., 296., 311.}","","{5794., 5700., 5687., 5482., 5594., 5481., 5574., 5510., 5495., 5480., 5501., 5569., 5512., 5552., 5469., 5606., 5470., 5564., 5460., 5510., 5555., 5509., 5594., 5482., 5568., 5490., 5520., 5481., 5510., 5528., 5531., 5632., 5494., 5577., 5464., 5531., 5453., 5472., 5508., 5504., 5628., 5501., 5566., 5499., 5612., 5485., 5490., 5480., 5490., 5596.}"
4,14,"pool1_pad","2a/res2a_branch1",10,"pool1_pad-pool1-2a/res2a_branch2a-2a/bn2a_branch2a-2a/res2a_branch2a_relu-2a/res2a_branch2b-2a/bn2a_branch2b-2a/res2a_branch2b_relu-2a/res2a_branch2c-2a/bn2a_branch2c-2a/res2a_branch1","Padding","Convolution","Padding-Pooling-Convolution-BatchNormalization-Elementwise-Convolution-BatchNormalization-Elementwise-Convolution-BatchNormalization-Convolution",904.,909.6667,959.,244.,248.60000000000002,452.,"","","","","","","","","","{959., 937., 923., 906., 906., 904., 928., 907., 906., 908., 921., 906., 908., 905., 904., 919., 906., 915., 908., 923., 909., 907., 908., 924., 908., 907., 908., 907., 929., 911., 908., 910., 924., 908., 907., 906., 906., 919., 907., 916., 907., 922., 908., 909., 909., 922., 908., 909., 906., 908.}","{452., 309., 308., 278., 274., 281., 248., 249., 249., 247., 247., 247., 248., 248., 247., 261., 249., 246., 246., 244., 246., 247., 246., 245., 246., 246., 245., 245., 244., 245., 244., 257., 246., 246., 246., 245., 245., 245., 245., 246., 246., 280., 272., 270., 270., 270., 258., 245., 245., 244.}",""
5,15,"pool1","2a/bn2a_branch1",10,"pool1-2a/res2a_branch2a-2a/bn2a_branch2a-2a/res2a_branch2a_relu-2a/res2a_branch2b-2a/bn2a_branch2b-2a/res2a_branch2b_relu-2a/res2a_branch2c-2a/bn2a_branch2c-2a/res2a_branch1-2a/bn2a_branch1","Pooling","BatchNormalization","Pooling-Convolution-BatchNormalization-Elementwise-Convolution-BatchNormalization-Elementwise-Convolution-BatchNormalization-Convolution-BatchNormalization",1547.,1560.5,1631.,319.,322.93330000000003,441.,"","","","","","","","","","{1592., 1554., 1548., 1631., 1565., 1565., 1549., 1548., 1562., 1548., 1568., 1564., 1554., 1566., 1549., 1548., 1570., 1582., 1608., 1548., 1548., 1569., 1553., 1567., 1558., 1549., 1568., 1554., 1566., 1548., 1591., 1593., 1553., 1567., 1548., 1548., 1576., 1554., 1552., 1565., 1615., 1569., 1553., 1561., 1568., 1620., 1609., 1547., 1548., 1575.}","{441., 432., 345., 326., 323., 324., 324., 322., 335., 322., 321., 319., 320., 319., 321., 319., 327., 320., 319., 319., 319., 337., 323., 322., 322., 322., 321., 321., 321., 321., 321., 322., 321., 339., 324., 323., 325., 324., 324., 324., 324., 325., 323., 324., 324., 338., 324., 332., 324., 324.}",""
6,16,"2a/res2a_branch2a","2a/res2a",10,"2a/res2a_branch2a-2a/bn2a_branch2a-2a/res2a_branch2a_relu-2a/res2a_branch2b-2a/bn2a_branch2b-2a/res2a_branch2b_relu-2a/res2a_branch2c-2a/bn2a_branch2c-2a/res2a_branch1-2a/bn2a_branch1-2a/res2a","Convolution","Total","Convolution-BatchNormalization-Elementwise-Convolution-BatchNormalization-Elementwise-Convolution-BatchNormalization-Convolution-BatchNormalization-Total",70.,71.5667,167.,448.,453.3333,670.,"","","","","","","","","","{167., 78., 73., 72., 71., 71., 80., 73., 71., 71., 70., 71., 71., 70., 71., 71., 71., 71., 71., 71., 71., 70., 71., 71., 71., 71., 70., 70., 71., 71., 71., 71., 71., 70., 71., 71., 71., 71., 71., 71., 71., 76., 96., 80., 81., 80., 80., 80., 81., 80.}","{670., 627., 528., 467., 459., 476., 470., 458., 460., 461., 461., 457., 449., 449., 463., 452., 450., 450., 450., 450., 451., 450., 460., 451., 450., 450., 449., 449., 460., 450., 451., 466., 451., 460., 453., 451., 450., 450., 450., 448., 466., 451., 451., 448., 450., 451., 450., 449., 451., 464.}",""
7,17,"2a/bn2a_branch2a","2a/res2a_relu",10,"2a/bn2a_branch2a-2a/res2a_branch2a_relu-2a/res2a_branch2b-2a/bn2a_branch2b-2a/res2a_branch2b_relu-2a/res2a_branch2c-2a/bn2a_branch2c-2a/res2a_branch1-2a/bn2a_branch1-2a/res2a-2a/res2a_relu","BatchNormalization","Elementwise","BatchNormalization-Elementwise-Convolution-BatchNormalization-Elementwise-Convolution-BatchNormalization-Convolution-BatchNormalization-Total-Elementwise","","","",295.,296.43330000000003,426.,"","","","","","","","","","","{426., 382., 319., 313., 298., 306., 297., 296., 297., 296., 295., 296., 296., 296., 296., 295., 305., 296., 296., 295., 295., 296., 295., 296., 296., 296., 295., 296., 297., 295., 310., 298., 296., 295., 297., 296., 296., 295., 304., 297., 297., 297., 296., 309., 297., 296., 297., 296., 297., 297.}",""
8,18,"2a/res2a_branch2a_relu","2b/res2b_branch2a",10,"2a/res2a_branch2a_relu-2a/res2a_branch2b-2a/bn2a_branch2b-2a/res2a_branch2b_relu-2a/res2a_branch2c-2a/bn2a_branch2c-2a/res2a_branch1-2a/bn2a_branch1-2a/res2a-2a/res2a_relu-2b/res2b_branch2a","Elementwise","Convolution","Elementwise-Convolution-BatchNormalization-Elementwise-Convolution-BatchNormalization-Convolution-BatchNormalization-Total-Elementwise-Convolution",94.,95.2667,150.,210.,215.9667,340.,"","","","","","","","","","{150., 123., 100., 100., 99., 101., 99., 111., 100., 96., 95., 95., 95., 103., 96., 96., 95., 95., 95., 95., 95., 95., 95., 95., 95., 94., 95., 95., 95., 96., 95., 95., 94., 95., 95., 94., 95., 95., 95., 95., 95., 95., 95., 95., 95., 95., 95., 95., 95., 115.}","{340., 226., 214., 212., 212., 212., 212., 211., 212., 212., 211., 211., 211., 211., 212., 210., 211., 231., 216., 216., 215., 216., 215., 215., 215., 216., 215., 216., 256., 242., 242., 241., 252., 227., 234., 219., 218., 219., 217., 218., 218., 217., 217., 217., 217., 217., 217., 217., 217., 217.}",""
9,19,"2a/res2a_branch2b","2b/bn2b_branch2a",10,"2a/res2a_branch2b-2a/bn2a_branch2b-2a/res2a_branch2b_relu-2a/res2a_branch2c-2a/bn2a_branch2c-2a/res2a_branch1-2a/bn2a_branch1-2a/res2a-2a/res2a_relu-2b/res2b_branch2a-2b/bn2b_branch2a","Convolution","BatchNormalization","Convolution-BatchNormalization-Elementwise-Convolution-BatchNormalization-Convolution-BatchNormalization-Total-Elementwise-Convolution-BatchNormalization",1729.,1769.2,1928.,102.,103.2,135.,"","","","","","","","","","{1928., 1879., 1808., 1793., 1767., 1842., 1754., 1761., 1770., 1737., 1839., 1814., 1768., 1755., 1765., 1746., 1819., 1765., 1737., 1776., 1753., 1809., 1831., 1771., 1754., 1752., 1760., 1800., 1809., 1739., 1748., 1733., 1744., 1836., 1729., 1762., 1732., 1761., 1805., 1847., 1737., 1764., 1748., 1733., 1821., 1792., 1763., 1731., 1747., 1750.}","{135., 115., 105., 105., 104., 104., 104., 103., 104., 102., 104., 103., 104., 104., 104., 103., 103., 103., 103., 103., 104., 103., 113., 104., 103., 103., 103., 102., 102., 103., 103., 103., 103., 102., 103., 103., 102., 103., 103., 103., 103., 103., 103., 103., 103., 103., 103., 112., 103., 103.}",""
10,20,"2a/bn2a_branch2b","2b/res2b_branch2a_relu",10,"2a/bn2a_branch2b-2a/res2a_branch2b_relu-2a/res2a_branch2c-2a/bn2a_branch2c-2a/res2a_branch1-2a/bn2a_branch1-2a/res2a-2a/res2a_relu-2b/res2b_branch2a-2b/bn2b_branch2a-2b/res2b_branch2a_relu","BatchNormalization","Elementwise","BatchNormalization-Elementwise-Convolution-BatchNormalization-Convolution-BatchNormalization-Total-Elementwise-Convolution-BatchNormalization-Elementwise",102.,103.03330000000001,139.,96.,97.10000000000001,119.,"","","","","","","","","","{139., 109., 105., 104., 104., 103., 103., 103., 103., 102., 103., 103., 103., 102., 103., 103., 102., 103., 102., 103., 103., 103., 103., 104., 102., 103., 103., 103., 103., 103., 102., 103., 103., 102., 103., 102., 102., 103., 114., 103., 102., 103., 103., 112., 104., 104., 103., 103., 104., 103.}","{119., 114., 99., 97., 98., 98., 97., 97., 97., 97., 98., 97., 97., 97., 96., 97., 97., 98., 98., 97., 97., 98., 97., 97., 97., 98., 97., 97., 97., 97., 97., 97., 97., 97., 97., 97., 97., 96., 96., 97., 96., 107., 97., 97., 97., 97., 96., 105., 98., 97.}",""
