"model_name","instance_type","start_index","end_index","sequence_length","num_runs","start_name","end_name","sequence_name","start_layer_kind","end_layer_kind","sequence_layer_kind","start_layer_path_time","mean_path_time","end_layer_path_time","raw_path_time"
"AdaIN-Style Trained on MS-COCO and Painter by Numbers Data","c5.xlarge",1,10,9,50,"encoder_content/1","encoder_content/10","encoder_content/1-encoder_content/2-encoder_content/3-encoder_content/4-encoder_content/5-encoder_content/6-encoder_content/7-encoder_content/8-encoder_content/9-encoder_content/10","Padding","Elementwise","Padding-Convolution-Elementwise-Padding-Convolution-Elementwise-Pooling-Padding-Convolution-Elementwise",448085.,450450.5667,771827.,"{771827., 451022., 450825., 451979., 449496., 451424., 448867., 450393., 450108., 450873., 450177., 451257., 451026., 450065., 451311., 450568., 454460., 451452., 450861., 450384., 450364., 451355., 449688., 450938., 450567., 451578., 452069., 450544., 449748., 450211., 450658., 449851., 450513., 450682., 450160., 454254., 452926., 450018., 449497., 450493., 450127., 448762., 448166., 449621., 449762., 449248., 448671., 448085., 450323., 448924.}"
"AdaIN-Style Trained on MS-COCO and Painter by Numbers Data","c5.xlarge",11,20,9,50,"encoder_content/11","encoder_content/20","encoder_content/11-encoder_content/12-encoder_content/13-encoder_content/14-encoder_content/15-encoder_content/16-encoder_content/17-encoder_content/18-encoder_content/19-encoder_content/20","Padding","Elementwise","Padding-Convolution-Elementwise-Pooling-Padding-Convolution-Elementwise-Padding-Convolution-Elementwise",380464.,383542.80000000005,540540.,"{540540., 380464., 381385., 381338., 381537., 381447., 381162., 380776., 381751., 384146., 384458., 384504., 384839., 384853., 385493., 385149., 384682., 384466., 383349., 385065., 383749., 385275., 383729., 384637., 383155., 383820., 382827., 384339., 384148., 384078., 384736., 383072., 384015., 383630., 382700., 382298., 384938., 382056., 383840., 383202., 382647., 383295., 382441., 382040., 383885., 383136., 383014., 385399., 382726., 382296.}"
"AdaIN-Style Trained on MS-COCO and Painter by Numbers Data","c5.xlarge",21,30,9,50,"encoder_content/21","encoder_content/30","encoder_content/21-encoder_content/22-encoder_content/23-encoder_content/24-encoder_content/25-encoder_content/26-encoder_content/27-encoder_content/28-encoder_content/29-encoder_content/30","Padding","Elementwise","Padding-Convolution-Elementwise-Padding-Convolution-Elementwise-Pooling-Padding-Convolution-Elementwise",296731.,297924.4667,379757.,"{379757., 299152., 299686., 299080., 298349., 298174., 297961., 298090., 298256., 298024., 297824., 297530., 298254., 298085., 297822., 298100., 297737., 298392., 298053., 297641., 298127., 298009., 298178., 297620., 297973., 298280., 298126., 298674., 298205., 297423., 300015., 297148., 296908., 297179., 297501., 297769., 297022., 297039., 296731., 296835., 297756., 297596., 297548., 297356., 296765., 297185., 297723., 298632., 298902., 299515.}"
"AdaIN-Style Trained on MS-COCO and Painter by Numbers Data","c5.xlarge",31,40,9,50,"encoder_style/1","encoder_style/10","encoder_style/1-encoder_style/2-encoder_style/3-encoder_style/4-encoder_style/5-encoder_style/6-encoder_style/7-encoder_style/8-encoder_style/9-encoder_style/10","Padding","Elementwise","Padding-Convolution-Elementwise-Padding-Convolution-Elementwise-Pooling-Padding-Convolution-Elementwise",448126.,449728.5,754738.,"{754738., 450316., 449759., 449603., 449913., 449980., 449896., 449394., 449437., 448468., 448917., 449243., 449122., 448904., 448126., 449059., 449933., 450983., 449936., 449731., 449855., 450083., 449569., 449902., 450176., 450348., 449825., 449138., 450836., 450493., 449025., 452458., 449741., 449886., 449183., 448628., 449094., 449483., 449696., 449594., 450089., 449902., 449748., 450235., 450148., 450029., 449433., 449726., 450254., 448864.}"
"AdaIN-Style Trained on MS-COCO and Painter by Numbers Data","c5.xlarge",41,50,9,50,"encoder_style/11","encoder_style/20","encoder_style/11-encoder_style/12-encoder_style/13-encoder_style/14-encoder_style/15-encoder_style/16-encoder_style/17-encoder_style/18-encoder_style/19-encoder_style/20","Padding","Elementwise","Padding-Convolution-Elementwise-Pooling-Padding-Convolution-Elementwise-Padding-Convolution-Elementwise",378816.,382432.60000000003,388843.,"{388843., 380652., 381241., 381811., 378816., 380581., 380041., 380694., 381657., 380787., 381332., 380943., 380759., 380316., 379348., 380273., 381943., 383583., 384225., 382609., 382422., 382952., 383166., 384290., 383634., 382500., 382766., 382903., 382235., 382915., 382278., 382741., 381926., 384168., 382103., 383580., 382778., 383068., 383448., 383421., 382322., 383532., 382410., 382701., 386714., 383257., 381666., 383290., 382439., 383183.}"
"AdaIN-Style Trained on MS-COCO and Painter by Numbers Data","c5.xlarge",51,60,9,50,"encoder_style/21","encoder_style/30","encoder_style/21-encoder_style/22-encoder_style/23-encoder_style/24-encoder_style/25-encoder_style/26-encoder_style/27-encoder_style/28-encoder_style/29-encoder_style/30","Padding","Elementwise","Padding-Convolution-Elementwise-Padding-Convolution-Elementwise-Pooling-Padding-Convolution-Elementwise",297197.,298432.9667,301697.,"{299141., 298284., 298653., 298796., 298397., 298375., 298241., 298096., 298828., 297870., 298834., 299722., 300239., 299332., 298782., 298279., 298489., 298719., 298685., 298575., 298072., 298373., 298012., 298431., 298361., 298374., 298230., 298189., 298220., 297939., 298540., 297910., 298505., 298055., 298133., 298503., 298831., 299218., 298836., 300706., 301697., 298834., 298139., 297370., 297655., 297384., 297197., 297292., 300471., 297283.}"
"AdaIN-Style Trained on MS-COCO and Painter by Numbers Data","c5.xlarge",61,61,0,50,"adaIN/c_m","adaIN/c_m","adaIN/c_m","Aggregation","Aggregation","Aggregation",37745.,37781.3667,37924.,"{37924., 37822., 37846., 37803., 37783., 37813., 37750., 37783., 37782., 37766., 37763., 37753., 37795., 37769., 37775., 37777., 37788., 37803., 37821., 37791., 37787., 37767., 37775., 37759., 37745., 37775., 37754., 37751., 37795., 37823., 37827., 37781., 37779., 37758., 37796., 37762., 37780., 37763., 37751., 37780., 37776., 37779., 37757., 37806., 37778., 37783., 37848., 37780., 37798., 37794.}"
"AdaIN-Style Trained on MS-COCO and Painter by Numbers Data","c5.xlarge",62,62,0,50,"adaIN/c_m_br","adaIN/c_m_br","adaIN/c_m_br","Replicate","Replicate","Replicate",60847.,60993.8,61227.,"{61041., 60972., 60956., 60912., 60978., 60912., 60992., 60926., 60986., 60930., 60981., 60970., 61019., 61001., 61038., 60970., 61008., 60973., 60999., 61001., 61011., 60847., 60990., 60972., 61227., 61022., 61002., 60987., 60985., 61042., 60977., 61070., 60916., 61001., 60913., 61002., 61013., 61033., 61004., 61026., 60992., 61000., 61018., 60944., 60984., 61015., 61005., 61084., 61008., 60987.}"
"AdaIN-Style Trained on MS-COCO and Painter by Numbers Data","c5.xlarge",63,63,0,50,"adaIN/m_shift_1","adaIN/m_shift_1","adaIN/m_shift_1","Threading","Threading","Threading",2112.,2171.1333,3135.,"{3135., 2743., 2355., 2308., 2265., 2196., 2215., 2165., 2193., 2187., 2211., 2155., 2181., 2151., 2180., 2172., 2145., 2193., 2150., 2174., 2202., 2188., 2122., 2148., 2112., 2164., 2140., 2171., 2192., 2131., 2150., 2133., 2156., 2121., 2171., 2123., 2156., 2113., 2139., 2125., 2189., 2205., 2190., 2193., 2165., 2186., 2149., 2200., 2146., 2178.}"
"AdaIN-Style Trained on MS-COCO and Painter by Numbers Data","c5.xlarge",64,64,0,50,"adaIN/c_v/mean","adaIN/c_v/mean","adaIN/c_v/mean","Aggregation","Aggregation","Aggregation",37824.,37880.8333,37995.,"{37995., 37897., 37862., 37871., 37873., 37927., 37862., 37891., 37877., 37883., 37899., 37841., 37878., 37877., 37866., 37867., 37966., 37889., 37989., 37872., 37899., 37837., 37856., 37899., 37861., 37842., 37847., 37869., 37877., 37915., 37936., 37913., 37872., 37930., 37909., 37909., 37896., 37930., 37854., 37866., 37869., 37874., 37865., 37889., 37849., 37908., 37908., 37850., 37859., 37824.}"
