"model_name","instance_type","start_index","end_index","sequence_length","num_runs","start_name","end_name","sequence_name","start_layer_kind","end_layer_kind","sequence_layer_kind","start_layer_path_time","mean_path_time","end_layer_path_time","raw_path_time"
"Inception V1 Trained on ImageNet Competition Data","g4dn.xlarge",1,12,11,50,"conv1_7x7_s2","pool2_3x3_s2","conv1_7x7_s2-conv1_relu_7x7-pool1_3x3_s2_pad-pool1_3x3_s2-pool1_norm1-conv2_3x3_reduce-conv2_relu_3x3_reduce-conv2_3x3-conv2_relu_3x3-conv2_norm2-pool2_3x3_s2_pad-pool2_3x3_s2","Convolution","Pooling","Convolution-Elementwise-Padding-Pooling-LocalResponseNormalization-Convolution-Elementwise-Convolution-Elementwise-LocalResponseNormalization-Padding-Pooling",61235.,61430.,72066.,"{72066., 61451., 61597., 61549., 61317., 61413., 61601., 61372., 61461., 61542., 61339., 61360., 61361., 61735., 61298., 61449., 61453., 61309., 61292., 61370., 61580., 61348., 61385., 61507., 61439., 61393., 65546., 61701., 61422., 61365., 61611., 61254., 61235., 61355., 61636., 61475., 61374., 61398., 61378., 61293., 61378., 61541., 61821., 61478., 61444., 61269., 61348., 61315., 61511., 61589.}"
"Inception V1 Trained on ImageNet Competition Data","g4dn.xlarge",13,13,0,50,"inception_3a/1x1","inception_3a/1x1","inception_3a/1x1","Convolution","Convolution","Convolution",115.,118.06670000000001,230.,"{230., 129., 119., 160., 156., 153., 151., 151., 176., 156., 155., 117., 117., 117., 116., 116., 115., 116., 139., 117., 116., 116., 116., 116., 117., 116., 116., 117., 116., 117., 116., 117., 116., 116., 116., 116., 117., 117., 117., 137., 124., 118., 116., 116., 116., 117., 117., 117., 117., 116.}"
"Inception V1 Trained on ImageNet Competition Data","g4dn.xlarge",14,14,0,50,"inception_3a/relu_1x1","inception_3a/relu_1x1","inception_3a/relu_1x1","Elementwise","Elementwise","Elementwise",35.,36.,60.,"{60., 39., 36., 55., 37., 36., 37., 36., 37., 36., 36., 36., 36., 36., 35., 36., 36., 36., 36., 36., 36., 36., 37., 36., 36., 36., 36., 37., 36., 36., 36., 36., 36., 36., 36., 36., 36., 36., 36., 36., 36., 36., 36., 36., 36., 36., 36., 35., 35., 37.}"
"Inception V1 Trained on ImageNet Competition Data","g4dn.xlarge",15,15,0,50,"inception_3a/3x3_reduce","inception_3a/3x3_reduce","inception_3a/3x3_reduce","Convolution","Convolution","Convolution",160.,163.0333,260.,"{260., 173., 165., 163., 164., 163., 161., 162., 163., 161., 162., 182., 167., 162., 162., 160., 161., 162., 161., 161., 162., 161., 161., 161., 161., 161., 162., 161., 162., 161., 162., 162., 161., 162., 161., 183., 168., 163., 165., 163., 162., 174., 229., 209., 210., 209., 208., 200., 162., 163.}"
"Inception V1 Trained on ImageNet Competition Data","g4dn.xlarge",16,16,0,50,"inception_3a/relu_3x3_reduce","inception_3a/relu_3x3_reduce","inception_3a/relu_3x3_reduce","Elementwise","Elementwise","Elementwise",44.,45.2667,78.,"{77., 49., 78., 52., 46., 45., 45., 45., 44., 45., 44., 45., 45., 44., 44., 44., 44., 44., 45., 44., 44., 45., 45., 45., 45., 45., 45., 45., 45., 45., 44., 45., 44., 44., 73., 47., 46., 46., 46., 46., 45., 46., 46., 46., 47., 46., 47., 46., 46., 64.}"
"Inception V1 Trained on ImageNet Competition Data","g4dn.xlarge",17,17,0,50,"inception_3a/3x3","inception_3a/3x3","inception_3a/3x3","Convolution","Convolution","Convolution",1321.,1361.7333,1678.,"{1565., 1678., 1402., 1351., 1335., 1350., 1354., 1343., 1595., 1388., 1355., 1378., 1342., 1339., 1353., 1589., 1422., 1364., 1339., 1346., 1347., 1336., 1521., 1456., 1366., 1346., 1335., 1338., 1405., 1469., 1495., 1384., 1335., 1333., 1349., 1331., 1417., 1550., 1365., 1333., 1328., 1321., 1373., 1348., 1606., 1347., 1351., 1325., 1354., 1331.}"
"Inception V1 Trained on ImageNet Competition Data","g4dn.xlarge",18,18,0,50,"inception_3a/relu_3x3","inception_3a/relu_3x3","inception_3a/relu_3x3","Elementwise","Elementwise","Elementwise",58.,59.7,91.,"{91., 65., 61., 62., 60., 60., 60., 60., 60., 59., 61., 60., 60., 60., 59., 60., 60., 60., 59., 60., 59., 59., 60., 60., 60., 59., 60., 60., 59., 60., 60., 59., 58., 60., 59., 60., 60., 60., 59., 59., 59., 60., 60., 59., 59., 60., 59., 59., 59., 59.}"
"Inception V1 Trained on ImageNet Competition Data","g4dn.xlarge",19,19,0,50,"inception_3a/5x5_reduce","inception_3a/5x5_reduce","inception_3a/5x5_reduce","Convolution","Convolution","Convolution",47.,47.633300000000006,153.,"{153., 57., 49., 48., 48., 47., 47., 67., 54., 49., 48., 48., 48., 48., 47., 48., 48., 47., 47., 47., 47., 48., 47., 48., 47., 47., 48., 48., 48., 48., 47., 48., 47., 48., 47., 47., 47., 47., 80., 50., 47., 48., 47., 48., 48., 47., 48., 47., 48., 47.}"
"Inception V1 Trained on ImageNet Competition Data","g4dn.xlarge",20,20,0,50,"inception_3a/relu_5x5_reduce","inception_3a/relu_5x5_reduce","inception_3a/relu_5x5_reduce","Elementwise","Elementwise","Elementwise",23.,23.2667,91.,"{39., 26., 24., 24., 23., 24., 23., 24., 23., 24., 23., 23., 23., 23., 24., 23., 23., 24., 23., 23., 24., 23., 23., 23., 23., 23., 23., 23., 23., 23., 23., 23., 24., 23., 24., 24., 23., 23., 23., 23., 23., 23., 23., 91., 27., 40., 24., 23., 24., 23.}"
"Inception V1 Trained on ImageNet Competition Data","g4dn.xlarge",21,21,0,50,"inception_3a/5x5","inception_3a/5x5","inception_3a/5x5","Convolution","Convolution","Convolution",416.,421.73330000000004,574.,"{513., 439., 426., 426., 426., 424., 425., 435., 426., 423., 421., 424., 419., 420., 418., 523., 574., 474., 421., 421., 420., 418., 422., 419., 418., 428., 419., 423., 421., 416., 417., 418., 416., 418., 430., 416., 418., 477., 546., 540., 418., 420., 420., 425., 421., 420., 416., 420., 416., 417.}"
