"model_name","instance_type","start_index","end_index","sequence_length","num_runs","start_name","end_name","sequence_name","start_layer_kind","end_layer_kind","sequence_layer_kind","start_layer_path_time","mean_path_time","end_layer_path_time","raw_path_time"
"ColorNet Image Colorization Trained on Places Data","c5.2xlarge",1,5,4,50,"1/1","1/5","1/1-1/2-1/3-1/4-1/5","Convolution","Convolution","Convolution-Elementwise-Convolution-Elementwise-Convolution",16868.,16958.4,55374.,"{55374., 32515., 19003., 16997., 16946., 16959., 16996., 16989., 16945., 16915., 16972., 16940., 16940., 16918., 16954., 16983., 16935., 16915., 16956., 17124., 17086., 16939., 16994., 17008., 16995., 17028., 17156., 16912., 16938., 16977., 17096., 17015., 16938., 16892., 16915., 17028., 16904., 16868., 16889., 16920., 16995., 16986., 16981., 16929., 16900., 16916., 16945., 16905., 16900., 16946.}"
"ColorNet Image Colorization Trained on Places Data","c5.2xlarge",6,10,4,50,"1/6","1/10","1/6-1/7-1/8-1/9-1/10","Elementwise","Elementwise","Elementwise-Convolution-Elementwise-Convolution-Elementwise",10454.,10547.2667,17697.,"{17697., 10584., 10544., 10497., 10519., 10560., 10576., 10561., 10579., 10502., 10543., 10529., 10519., 10524., 10508., 10587., 10579., 10543., 10504., 10529., 10498., 10548., 10556., 10565., 10581., 10617., 10591., 10577., 10531., 10515., 10519., 10454., 10542., 10541., 10523., 10554., 10532., 10479., 10519., 10548., 10508., 10595., 10586., 10572., 10555., 10528., 10541., 10581., 10621., 10729.}"
"ColorNet Image Colorization Trained on Places Data","c5.2xlarge",11,15,4,50,"1/11","1/15","1/11-1/12-1/13-1/14-1/15","Convolution","Convolution","Convolution-Elementwise-Convolution-Elementwise-Convolution",23901.,24064.1333,31174.,"{31174., 24052., 24170., 24020., 24048., 24056., 24262., 24445., 24328., 24551., 24506., 24400., 24283., 23962., 24060., 23946., 24011., 23925., 24023., 24055., 23957., 24082., 23962., 24021., 24003., 23946., 24062., 24016., 24004., 24030., 24154., 24618., 24409., 24567., 24524., 24116., 24070., 24124., 24042., 24006., 24010., 24055., 23973., 24074., 23948., 23983., 23963., 23991., 24041., 23901.}"
"ColorNet Image Colorization Trained on Places Data","c5.2xlarge",16,16,0,50,"1/16","1/16","1/16","Elementwise","Elementwise","Elementwise",108.,109.4,182.,"{182., 139., 113., 112., 110., 110., 109., 109., 109., 109., 109., 109., 110., 110., 109., 109., 109., 109., 109., 108., 109., 109., 110., 110., 109., 110., 110., 109., 109., 119., 111., 109., 110., 110., 111., 109., 109., 110., 109., 109., 109., 109., 109., 109., 109., 109., 110., 110., 110., 110.}"
"ColorNet Image Colorization Trained on Places Data","c5.2xlarge",17,21,4,50,"2/1","2/5","2/1-2/2-2/3-2/4-2/5","Resize","Elementwise","Resize-Convolution-Elementwise-Convolution-Elementwise",13832.,13904.800000000001,28138.,"{28138., 13840., 13914., 14009., 14181., 13939., 13888., 14038., 13878., 13913., 13888., 13832., 13931., 13913., 13893., 13860., 13849., 13892., 13853., 13840., 13891., 13915., 13963., 13867., 13859., 13908., 13879., 13919., 13902., 13903., 13902., 13845., 13861., 13903., 13840., 13899., 13844., 13874., 13948., 13881., 13921., 13890., 13858., 14099., 14037., 14200., 14023., 14023., 14071., 14169.}"
"ColorNet Image Colorization Trained on Places Data","c5.2xlarge",22,26,4,50,"2/6","2/10","2/6-2/7-2/8-2/9-2/10","Convolution","Convolution","Convolution-Elementwise-Convolution-Elementwise-Convolution",15447.,15599.6,16799.,"{16799., 16201., 16127., 15841., 15741., 15983., 16347., 16005., 15852., 15879., 16008., 15852., 15826., 15813., 15594., 15546., 15525., 15448., 15467., 15537., 15476., 15586., 15593., 15532., 15562., 15482., 15487., 15476., 15507., 15468., 15528., 15568., 15519., 15574., 15507., 15493., 15447., 15979., 15682., 15589., 15622., 15528., 15539., 15507., 15492., 15508., 15614., 15565., 15530., 15553.}"
"ColorNet Image Colorization Trained on Places Data","c5.2xlarge",27,31,4,50,"2/11","2/15","2/11-2/12-2/13-2/14-2/15","Elementwise","Elementwise","Elementwise-Convolution-Elementwise-Convolution-Elementwise",8812.,8943.3333,9257.,"{9257., 8915., 8850., 8821., 8847., 9049., 8913., 8966., 8929., 8933., 9016., 8948., 8971., 9052., 9080., 8938., 8927., 8960., 8978., 9116., 9020., 9104., 9120., 8957., 8981., 9086., 9015., 8941., 8921., 8876., 8925., 8904., 8919., 8888., 9056., 9012., 8943., 8948., 8959., 8927., 8931., 8914., 8945., 8827., 8850., 8812., 8833., 8869., 8818., 8867.}"
"ColorNet Image Colorization Trained on Places Data","c5.2xlarge",32,36,4,50,"2/16","2/20","2/16-2/17-2/18-2/19-2/20","Convolution","Convolution","Convolution-Elementwise-Convolution-Elementwise-Convolution",4760.,4834.5,5038.,"{5038., 4890., 4839., 4776., 4825., 4780., 4835., 4801., 4799., 4843., 4774., 4859., 4804., 4854., 4775., 4859., 4760., 4828., 4819., 4877., 4843., 4875., 4782., 4840., 4795., 4842., 4778., 4865., 4789., 4840., 4833., 4819., 4774., 4846., 4846., 4838., 4786., 4845., 4825., 4919., 4896., 4826., 4911., 4932., 4893., 4847., 4871., 4831., 4900., 4818.}"
"ColorNet Image Colorization Trained on Places Data","c5.2xlarge",37,41,4,50,"2/21","2/25","2/21-2/22-2/23-2/24-2/25","Elementwise","Linear","Elementwise-Flatten-Linear-Elementwise-Linear",2119.,2169.1333,2528.,"{2528., 2379., 2341., 2242., 2249., 2184., 2184., 2163., 2131., 2163., 2125., 2212., 2131., 2157., 2155., 2142., 2205., 2141., 2154., 2124., 2234., 2119., 2143., 2121., 2152., 2188., 2132., 2173., 2134., 2246., 2169., 2207., 2153., 2162., 2192., 2178., 2156., 2133., 2216., 2167., 2246., 2171., 2201., 2201., 2170., 2156., 2124., 2181., 2153., 2153.}"
"ColorNet Image Colorization Trained on Places Data","c5.2xlarge",42,42,0,50,"2/26","2/26","2/26","Elementwise","Elementwise","Elementwise",24.,24.700000000000003,51.,"{51., 29., 25., 25., 25., 25., 24., 24., 24., 24., 25., 25., 25., 25., 25., 24., 25., 25., 24., 24., 25., 25., 24., 24., 24., 25., 25., 25., 24., 25., 25., 24., 25., 25., 25., 25., 24., 24., 24., 25., 24., 25., 25., 24., 24., 25., 25., 25., 25., 24.}"
"ColorNet Image Colorization Trained on Places Data","c5.2xlarge",43,43,0,50,"2/27","2/27","2/27","Linear","Linear","Linear",29.,36.9333,81.,"{81., 41., 46., 56., 38., 40., 39., 40., 33., 31., 65., 41., 40., 41., 41., 40., 52., 40., 40., 30., 36., 37., 31., 37., 36., 36., 36., 36., 36., 36., 36., 36., 36., 36., 36., 36., 30., 36., 36., 31., 29., 37., 31., 30., 30., 37., 36., 40., 34., 33.}"
"ColorNet Image Colorization Trained on Places Data","c5.2xlarge",44,44,0,50,"2/28","2/28","2/28","Elementwise","Elementwise","Elementwise",24.,24.700000000000003,44.,"{44., 28., 26., 25., 25., 25., 25., 25., 25., 25., 25., 24., 25., 24., 25., 24., 24., 24., 24., 24., 25., 24., 25., 25., 24., 25., 24., 25., 24., 25., 25., 24., 25., 24., 25., 25., 24., 25., 24., 25., 24., 25., 25., 24., 25., 24., 25., 25., 24., 25.}"
"ColorNet Image Colorization Trained on Places Data","c5.2xlarge",45,45,0,50,"2/29","2/29","2/29","Replicate","Replicate","Replicate",5846.,5878.5,5908.,"{5908., 5888., 5889., 5879., 5889., 5873., 5885., 5870., 5882., 5871., 5876., 5883., 5870., 5884., 5871., 5884., 5877., 5846., 5877., 5882., 5879., 5885., 5870., 5885., 5871., 5881., 5870., 5875., 5852., 5871., 5865., 5868., 5884., 5881., 5880., 5878., 5883., 5880., 5887., 5879., 5887., 5870., 5890., 5873., 5882., 5879., 5872., 5883., 5869., 5886.}"
"ColorNet Image Colorization Trained on Places Data","c5.2xlarge",46,50,4,50,"3","4/4","3-4/1-4/2-4/3-4/4","Catenate","Elementwise","Catenate-Convolution-Elementwise-Convolution-Elementwise",9835.,9889.9333,10763.,"{10763., 9999., 9911., 9942., 9919., 9917., 9933., 9917., 9859., 9908., 9859., 9918., 9954., 9961., 9895., 9943., 9887., 9899., 9891., 9920., 9882., 9904., 9881., 9890., 9889., 9924., 9909., 9874., 9892., 9854., 9866., 9870., 9914., 9871., 9862., 9847., 9899., 9881., 9891., 9863., 9855., 9862., 9886., 9844., 9835., 9870., 9862., 9874., 9874., 9875.}"
"ColorNet Image Colorization Trained on Places Data","c5.2xlarge",51,55,4,50,"4/5","4/9","4/5-4/6-4/7-4/8-4/9","Resize","Elementwise","Resize-Convolution-Elementwise-Convolution-Elementwise",9097.,9169.4333,9711.,"{9711., 9499., 9222., 9203., 9154., 9159., 9143., 9169., 9203., 9137., 9228., 9148., 9175., 9162., 9146., 9140., 9139., 9140., 9133., 9148., 9181., 9145., 9180., 9138., 9145., 9156., 9149., 9156., 9128., 9112., 9102., 9147., 9181., 9146., 9189., 9097., 9141., 9137., 9276., 9158., 9224., 9153., 9232., 9309., 9277., 9431., 9274., 9352., 9322., 9268.}"
"ColorNet Image Colorization Trained on Places Data","c5.2xlarge",56,60,4,50,"4/10","4/14","4/10-4/11-4/12-4/13-4/14","Resize","Elementwise","Resize-Convolution-Elementwise-Convolution-Elementwise",17449.,17523.4333,31383.,"{31383., 17850., 17703., 17595., 17593., 17552., 17496., 17567., 17545., 17510., 17479., 17579., 17569., 17530., 17517., 17486., 17516., 17540., 17498., 17524., 17559., 17479., 17522., 17509., 17500., 17505., 17542., 17508., 17523., 17529., 17540., 17487., 17503., 17527., 17515., 17726., 17536., 17601., 17491., 17507., 17479., 17515., 17490., 17474., 17449., 17530., 17499., 17497., 17538., 17582.}"
"ColorNet Image Colorization Trained on Places Data","c5.2xlarge",61,62,1,50,"4/15","4/16","4/15-4/16","Resize","Elementwise","Resize-Elementwise",2676.,2696.8,2800.,"{2800., 2730., 2711., 2715., 2692., 2725., 2676., 2705., 2715., 2694., 2686., 2706., 2694., 2677., 2725., 2701., 2690., 2698., 2705., 2677., 2688., 2702., 2680., 2693., 2697., 2700., 2691., 2704., 2685., 2707., 2696., 2678., 2693., 2705., 2680., 2699., 2711., 2676., 2691., 2713., 2691., 2684., 2714., 2692., 2692., 2705., 2699., 2685., 2695., 2693.}"
