"model_name","instance_type","start_index","end_index","sequence_length","num_runs","start_name","end_name","sequence_name","start_layer_kind","end_layer_kind","sequence_layer_kind","start_layer_path_time","mean_path_time","end_layer_path_time","raw_path_time"
"OpenFace Face Recognition Net Trained on CASIA-WebFace and FaceScrub Data","c4.xlarge",1,12,11,50,"1","12","1-2-3-4-5-6-7-8-9-10-11-12","Convolution","LocalResponseNormalization","Convolution-BatchNormalization-Elementwise-Pooling-LocalResponseNormalization-Convolution-BatchNormalization-Elementwise-Convolution-BatchNormalization-Elementwise-LocalResponseNormalization",6189.,6230.400000000001,10326.,"{10326., 6329., 6272., 6213., 6249., 6200., 6237., 6232., 6230., 6261., 6189., 6249., 6221., 6220., 6241., 6221., 6241., 6281., 6257., 6235., 6225., 6216., 6237., 6203., 6261., 6253., 6199., 6244., 6197., 6240., 6222., 6204., 6198., 6212., 6217., 6220., 6208., 6225., 6252., 6202., 6264., 6236., 6257., 6263., 6205., 6255., 6210., 6225., 6212., 6222.}"
"OpenFace Face Recognition Net Trained on CASIA-WebFace and FaceScrub Data","c4.xlarge",13,13,0,50,"13","13","13","Pooling","Pooling","Pooling",306.,307.9667,350.,"{350., 316., 311., 310., 307., 308., 309., 307., 308., 308., 308., 307., 336., 312., 308., 309., 307., 308., 307., 308., 310., 308., 307., 308., 307., 317., 310., 308., 307., 307., 308., 308., 307., 309., 307., 307., 307., 337., 311., 309., 307., 308., 308., 308., 307., 308., 308., 307., 306., 308.}"
"OpenFace Face Recognition Net Trained on CASIA-WebFace and FaceScrub Data","c4.xlarge",14,14,0,50,"14/1/1","14/1/1","14/1/1","Convolution","Convolution","Convolution",121.,121.7333,190.,"{190., 152., 129., 124., 131., 124., 123., 123., 122., 123., 122., 123., 122., 121., 121., 121., 121., 122., 121., 123., 123., 122., 121., 121., 122., 121., 122., 122., 129., 122., 122., 146., 124., 121., 121., 121., 121., 121., 121., 121., 122., 121., 121., 121., 121., 121., 121., 121., 121., 122.}"
"OpenFace Face Recognition Net Trained on CASIA-WebFace and FaceScrub Data","c4.xlarge",15,15,0,50,"14/1/2","14/1/2","14/1/2","BatchNormalization","BatchNormalization","BatchNormalization",65.,66.2,94.,"{91., 72., 76., 67., 68., 66., 66., 66., 66., 65., 66., 66., 66., 66., 66., 67., 65., 66., 65., 67., 66., 67., 66., 66., 73., 66., 66., 66., 66., 66., 66., 66., 65., 94., 69., 66., 66., 67., 67., 66., 66., 66., 66., 66., 67., 66., 66., 67., 66., 70.}"
"OpenFace Face Recognition Net Trained on CASIA-WebFace and FaceScrub Data","c4.xlarge",16,16,0,50,"14/1/3","14/1/3","14/1/3","Elementwise","Elementwise","Elementwise",59.,61.,79.,"{79., 65., 61., 64., 62., 63., 62., 61., 62., 61., 61., 61., 60., 61., 60., 62., 62., 61., 61., 61., 61., 61., 61., 61., 61., 60., 61., 70., 61., 61., 61., 61., 61., 61., 59., 61., 61., 61., 61., 61., 61., 61., 61., 60., 61., 60., 60., 61., 60., 61.}"
"OpenFace Face Recognition Net Trained on CASIA-WebFace and FaceScrub Data","c4.xlarge",17,17,0,50,"14/1/4","14/1/4","14/1/4","Convolution","Convolution","Convolution",441.,443.7667,572.,"{572., 469., 490., 447., 445., 444., 442., 443., 444., 444., 442., 481., 444., 443., 443., 441., 445., 443., 444., 470., 446., 443., 443., 444., 443., 442., 443., 443., 474., 445., 443., 444., 443., 442., 442., 442., 443., 471., 449., 442., 443., 442., 456., 442., 444., 443., 459., 445., 443., 443.}"
"OpenFace Face Recognition Net Trained on CASIA-WebFace and FaceScrub Data","c4.xlarge",18,18,0,50,"14/1/5","14/1/5","14/1/5","BatchNormalization","BatchNormalization","BatchNormalization",63.,69.86670000000001,104.,"{104., 77., 72., 71., 71., 70., 70., 71., 70., 70., 70., 70., 69., 71., 70., 69., 69., 70., 70., 69., 69., 69., 70., 70., 70., 69., 69., 70., 70., 70., 70., 63., 71., 70., 70., 70., 70., 69., 70., 69., 70., 70., 71., 69., 69., 70., 69., 70., 70., 70.}"
"OpenFace Face Recognition Net Trained on CASIA-WebFace and FaceScrub Data","c4.xlarge",19,19,0,50,"14/1/6","14/1/6","14/1/6","Elementwise","Elementwise","Elementwise",62.,63.533300000000004,83.,"{83., 68., 65., 64., 65., 65., 65., 64., 64., 64., 64., 63., 63., 63., 64., 64., 63., 63., 64., 63., 63., 63., 64., 64., 64., 64., 63., 63., 63., 63., 63., 64., 64., 63., 63., 63., 64., 64., 63., 63., 64., 63., 64., 63., 64., 63., 63., 62., 63., 64.}"
"OpenFace Face Recognition Net Trained on CASIA-WebFace and FaceScrub Data","c4.xlarge",20,20,0,50,"14/6","14/6","14/6","Elementwise","Elementwise","Elementwise",59.,60.7667,103.,"{103., 66., 62., 62., 62., 61., 61., 61., 62., 61., 61., 61., 61., 60., 61., 61., 61., 60., 60., 61., 60., 85., 64., 62., 61., 61., 61., 60., 60., 60., 60., 60., 61., 60., 60., 61., 59., 59., 60., 61., 61., 61., 61., 60., 61., 60., 61., 61., 61., 60.}"
"OpenFace Face Recognition Net Trained on CASIA-WebFace and FaceScrub Data","c4.xlarge",21,21,0,50,"14/2/1","14/2/1","14/2/1","Convolution","Convolution","Convolution",74.,78.9667,156.,"{156., 89., 84., 82., 82., 82., 82., 81., 81., 83., 81., 82., 81., 81., 80., 81., 81., 81., 81., 81., 81., 82., 82., 81., 81., 108., 82., 76., 75., 75., 80., 80., 76., 76., 76., 76., 75., 74., 74., 75., 75., 75., 74., 75., 75., 74., 75., 74., 74., 74.}"
