"model_name","instance_type","start_index","end_index","sequence_length","num_runs","start_name","end_name","sequence_name","start_layer_kind","end_layer_kind","sequence_layer_kind","start_layer_path_time","mean_path_time","end_layer_path_time","raw_path_time"
"Ademxapp Model A Trained on ImageNet Competition Data","g4dn.xlarge",1,1,0,50,"conv1a","conv1a","conv1a","Convolution","Convolution","Convolution",5078.,5236.0333,19485.,"{19485., 5595., 5620., 5277., 5401., 5213., 5422., 5167., 5334., 5152., 5309., 5153., 5313., 5200., 5370., 5266., 5276., 5315., 5168., 5294., 5141., 5319., 5081., 5293., 5079., 5310., 5078., 5238., 5095., 5198., 5118., 5159., 5082., 5178., 5114., 5350., 5139., 5305., 5204., 5268., 5302., 5134., 5255., 5150., 5303., 5166., 5278., 5154., 5290., 5242.}"
"Ademxapp Model A Trained on ImageNet Competition Data","g4dn.xlarge",2,2,0,50,"pool1","pool1","pool1","Pooling","Pooling","Pooling",13189.,13258.133300000001,17771.,"{17771., 13860., 13523., 13389., 13288., 13297., 13316., 13276., 13298., 13312., 13257., 13283., 13307., 13250., 13245., 13362., 13273., 13235., 13304., 13214., 13194., 13303., 13201., 13189., 13272., 13206., 13198., 13285., 13215., 13218., 13283., 13255., 13243., 13307., 13432., 13220., 13282., 13220., 13214., 13275., 13208., 13214., 13283., 13211., 13209., 13254., 13222., 13218., 13240., 13236.}"
"Ademxapp Model A Trained on ImageNet Competition Data","g4dn.xlarge",3,3,0,50,"2a/bn2a_branch2a","2a/bn2a_branch2a","2a/bn2a_branch2a","BatchNormalization","BatchNormalization","BatchNormalization",626.,634.6333000000001,891.,"{891., 780., 684., 640., 648., 651., 650., 627., 627., 644., 627., 627., 626., 626., 626., 646., 630., 633., 629., 628., 663., 662., 649., 630., 634., 630., 633., 641., 633., 630., 629., 633., 630., 630., 643., 630., 670., 653., 631., 630., 647., 633., 630., 633., 629., 633., 641., 634., 630., 630.}"
"Ademxapp Model A Trained on ImageNet Competition Data","g4dn.xlarge",4,4,0,50,"2a/res2a_branch2a_relu","2a/res2a_branch2a_relu","2a/res2a_branch2a_relu","Elementwise","Elementwise","Elementwise",544.,549.6333000000001,678.,"{678., 646., 610., 566., 547., 549., 546., 547., 546., 559., 548., 549., 546., 546., 546., 545., 559., 550., 572., 550., 550., 561., 550., 558., 550., 546., 549., 548., 548., 549., 546., 559., 548., 545., 545., 544., 570., 544., 576., 551., 551., 547., 550., 551., 548., 560., 549., 547., 549., 546.}"
"Ademxapp Model A Trained on ImageNet Competition Data","g4dn.xlarge",5,5,0,50,"2a/res2a_branch1","2a/res2a_branch1","2a/res2a_branch1","Convolution","Convolution","Convolution",1646.,1702.7,3872.,"{3872., 1989., 1746., 1673., 1646., 1752., 1888., 1655., 1674., 1650., 1672., 1861., 1820., 1758., 1689., 1704., 1679., 2020., 1673., 1677., 1660., 1657., 1742., 1959., 1680., 1656., 1678., 1665., 1820., 1877., 1668., 1678., 1658., 1682., 1924., 1734., 1662., 1653., 1674., 1654., 1963., 1698., 1717., 1666., 1684., 1757., 1977., 1692., 1651., 1667.}"
"Ademxapp Model A Trained on ImageNet Competition Data","g4dn.xlarge",6,6,0,50,"2a/res2a_branch2a","2a/res2a_branch2a","2a/res2a_branch2a","Convolution","Convolution","Convolution",27674.,27900.333300000002,54288.,"{54288., 27707., 27868., 28086., 28010., 27973., 27947., 27792., 28012., 27913., 28105., 27715., 27868., 28018., 27941., 27824., 27848., 27778., 27916., 28130., 27821., 27979., 27763., 27854., 27924., 27674., 27713., 27877., 28193., 28063., 27954., 27852., 27881., 27907., 27831., 27706., 27935., 28010., 27956., 28000., 27802., 27795., 27981., 28136., 27721., 27826., 27809., 28015., 27908., 27677.}"
"Ademxapp Model A Trained on ImageNet Competition Data","g4dn.xlarge",7,7,0,50,"2a/bn2a_branch2b1","2a/bn2a_branch2b1","2a/bn2a_branch2b1","BatchNormalization","BatchNormalization","BatchNormalization",1362.,1394.9,7425.,"{7425., 2018., 1736., 1446., 1413., 1443., 1389., 1394., 1379., 1416., 1418., 1377., 1438., 1380., 1370., 1388., 1410., 1393., 1390., 1410., 1375., 1394., 1372., 1403., 1422., 1380., 1405., 1395., 1374., 1377., 1429., 1408., 1389., 1419., 1370., 1398., 1373., 1371., 1411., 1371., 1366., 1433., 1378., 1362., 1378., 1409., 1373., 1398., 1407., 1385.}"
"Ademxapp Model A Trained on ImageNet Competition Data","g4dn.xlarge",8,8,0,50,"2a/res2a_branch2b1_relu","2a/res2a_branch2b1_relu","2a/res2a_branch2b1_relu","Elementwise","Elementwise","Elementwise",1153.,1189.0667,1983.,"{1983., 1875., 1641., 1277., 1200., 1192., 1247., 1243., 1185., 1189., 1236., 1185., 1179., 1196., 1205., 1193., 1177., 1184., 1227., 1179., 1189., 1174., 1178., 1214., 1197., 1175., 1172., 1220., 1177., 1173., 1192., 1201., 1195., 1192., 1175., 1223., 1172., 1184., 1169., 1207., 1219., 1165., 1160., 1175., 1178., 1153., 1155., 1166., 1186., 1170.}"
"Ademxapp Model A Trained on ImageNet Competition Data","g4dn.xlarge",9,9,0,50,"2a/res2a_branch2b1","2a/res2a_branch2b1","2a/res2a_branch2b1","Convolution","Convolution","Convolution",56543.,56827.6667,108023.,"{108023., 56972., 56882., 56757., 56805., 56992., 56921., 57041., 56778., 56761., 56838., 56578., 56677., 56984., 56600., 56712., 56956., 56861., 56795., 56559., 56656., 56792., 56950., 57051., 56823., 56772., 56926., 56747., 56782., 56890., 56669., 56976., 57217., 56721., 56602., 56596., 56622., 56914., 57047., 57128., 56918., 56710., 56962., 56693., 56824., 56948., 56543., 56645., 56912., 56803.}"
"Ademxapp Model A Trained on ImageNet Competition Data","g4dn.xlarge",10,10,0,50,"2a/_plus2a","2a/_plus2a","2a/_plus2a","Threading","Threading","Threading",1926.,1976.7,3102.,"{3102., 3087., 2528., 2207., 2055., 1992., 2006., 2004., 2051., 1962., 1976., 1950., 1985., 2018., 2020., 1972., 1967., 1938., 1993., 1955., 1963., 1933., 1953., 1998., 2003., 1948., 1943., 1973., 2032., 1982., 1979., 1950., 1970., 1982., 1999., 1957., 1926., 1939., 1961., 1973., 1947., 1959., 1945., 1994., 1999., 1957., 1934., 1962., 1980., 2001.}"
"Ademxapp Model A Trained on ImageNet Competition Data","g4dn.xlarge",11,11,0,50,"2b1/bn2b1_branch2a","2b1/bn2b1_branch2a","2b1/bn2b1_branch2a","BatchNormalization","BatchNormalization","BatchNormalization",1229.,1256.,2077.,"{2077., 2018., 1744., 1342., 1348., 1253., 1268., 1279., 1258., 1245., 1257., 1284., 1283., 1249., 1258., 1242., 1239., 1257., 1249., 1271., 1308., 1258., 1241., 1259., 1240., 1239., 1253., 1278., 1277., 1258., 1234., 1243., 1236., 1245., 1249., 1279., 1287., 1233., 1248., 1242., 1239., 1232., 1253., 1276., 1263., 1255., 1247., 1239., 1249., 1229.}"
"Ademxapp Model A Trained on ImageNet Competition Data","g4dn.xlarge",12,12,0,50,"2b1/res2b1_branch2a_relu","2b1/res2b1_branch2a_relu","2b1/res2b1_branch2a_relu","Elementwise","Elementwise","Elementwise",1148.,1164.8333,1813.,"{1813., 1708., 1484., 1241., 1159., 1150., 1252., 1183., 1169., 1169., 1173., 1158., 1151., 1171., 1193., 1176., 1158., 1164., 1158., 1162., 1171., 1153., 1167., 1204., 1182., 1153., 1151., 1160., 1151., 1148., 1166., 1202., 1174., 1149., 1163., 1156., 1157., 1166., 1151., 1157., 1193., 1174., 1155., 1152., 1164., 1152., 1148., 1164., 1181., 1165.}"
"Ademxapp Model A Trained on ImageNet Competition Data","g4dn.xlarge",13,13,0,50,"2b1/res2b1_branch2a","2b1/res2b1_branch2a","2b1/res2b1_branch2a","Convolution","Convolution","Convolution",56605.,56865.466700000004,108129.,"{108129., 56790., 56712., 56784., 56629., 56773., 57003., 57406., 56636., 57236., 56856., 56827., 56945., 56851., 56963., 56986., 56780., 56934., 57036., 56768., 56937., 56686., 56873., 57004., 56705., 56682., 56786., 56847., 56898., 56976., 56999., 56741., 56811., 57001., 56782., 56776., 57041., 56605., 56863., 57064., 56745., 56756., 56988., 56865., 57266., 56882., 56865., 56802., 56721., 57096.}"
"Ademxapp Model A Trained on ImageNet Competition Data","g4dn.xlarge",14,14,0,50,"2b1/bn2b1_branch2b1","2b1/bn2b1_branch2b1","2b1/bn2b1_branch2b1","BatchNormalization","BatchNormalization","BatchNormalization",1209.,1237.6000000000001,1988.,"{1988., 1955., 1775., 1341., 1258., 1274., 1239., 1231., 1240., 1270., 1253., 1248., 1233., 1222., 1249., 1227., 1229., 1298., 1246., 1235., 1229., 1239., 1220., 1227., 1243., 1268., 1247., 1240., 1219., 1223., 1230., 1229., 1219., 1255., 1252., 1223., 1218., 1238., 1216., 1220., 1228., 1259., 1245., 1241., 1219., 1221., 1239., 1218., 1209., 1248.}"
"Ademxapp Model A Trained on ImageNet Competition Data","g4dn.xlarge",15,15,0,50,"2b1/res2b1_branch2b1_relu","2b1/res2b1_branch2b1_relu","2b1/res2b1_branch2b1_relu","Elementwise","Elementwise","Elementwise",1142.,1163.7667000000001,1773.,"{1773., 1723., 1518., 1219., 1207., 1186., 1156., 1150., 1166., 1153., 1189., 1167., 1182., 1163., 1150., 1173., 1151., 1148., 1213., 1145., 1149., 1198., 1172., 1151., 1149., 1177., 1148., 1188., 1164., 1179., 1161., 1146., 1165., 1144., 1143., 1160., 1187., 1144., 1186., 1162., 1153., 1142., 1153., 1146., 1180., 1156., 1175., 1164., 1143., 1160.}"
"Ademxapp Model A Trained on ImageNet Competition Data","g4dn.xlarge",16,16,0,50,"2b1/res2b1_branch2b1","2b1/res2b1_branch2b1","2b1/res2b1_branch2b1","Convolution","Convolution","Convolution",56557.,56806.1667,109683.,"{109683., 56684., 56659., 56737., 56874., 56938., 56768., 56748., 56833., 56740., 56731., 56994., 56688., 56787., 56846., 57058., 56851., 56742., 56731., 56622., 56765., 56735., 56832., 56697., 56940., 56800., 56846., 57061., 56557., 56589., 57109., 56703., 56846., 56793., 56660., 56735., 56761., 56875., 56776., 56746., 56872., 56977., 57072., 57283., 57030., 56741., 56986., 56653., 56966., 56830.}"
"Ademxapp Model A Trained on ImageNet Competition Data","g4dn.xlarge",17,17,0,50,"2b1/_plus2b1","2b1/_plus2b1","2b1/_plus2b1","Threading","Threading","Threading",1933.,2018.9333000000001,3095.,"{3054., 3095., 2590., 2265., 2110., 2056., 2168., 2024., 2030., 2000., 2004., 2115., 2028., 2011., 2024., 1991., 2117., 1979., 1975., 1950., 1985., 2074., 2014., 1968., 1973., 1972., 2095., 1983., 2004., 1977., 2016., 2077., 2015., 1995., 2020., 1995., 2054., 1961., 1976., 1971., 2037., 2085., 2055., 2016., 2022., 2021., 2092., 1964., 1965., 1933.}"
"Ademxapp Model A Trained on ImageNet Competition Data","g4dn.xlarge",18,18,0,50,"2b2/bn2b2_branch2a","2b2/bn2b2_branch2a","2b2/bn2b2_branch2a","BatchNormalization","BatchNormalization","BatchNormalization",1235.,1261.8333,2035.,"{2035., 2009., 1710., 1341., 1268., 1263., 1274., 1299., 1289., 1282., 1264., 1255., 1275., 1256., 1255., 1313., 1276., 1252., 1276., 1245., 1261., 1248., 1259., 1294., 1259., 1253., 1242., 1239., 1257., 1241., 1235., 1332., 1246., 1251., 1265., 1240., 1248., 1259., 1272., 1278., 1250., 1262., 1250., 1249., 1263., 1248., 1269., 1292., 1246., 1254.}"
"Ademxapp Model A Trained on ImageNet Competition Data","g4dn.xlarge",19,19,0,50,"2b2/res2b2_branch2a_relu","2b2/res2b2_branch2a_relu","2b2/res2b2_branch2a_relu","Elementwise","Elementwise","Elementwise",1170.,1189.9,1790.,"{1790., 1748., 1535., 1262., 1193., 1202., 1184., 1184., 1192., 1210., 1193., 1189., 1180., 1172., 1177., 1199., 1181., 1182., 1228., 1200., 1185., 1174., 1190., 1180., 1182., 1187., 1202., 1191., 1189., 1175., 1170., 1171., 1187., 1176., 1210., 1216., 1209., 1212., 1202., 1179., 1177., 1181., 1186., 1204., 1185., 1196., 1192., 1185., 1194., 1170.}"
