"start_index","end_index","start_name","end_name","sequence_length","sequence_name","start_layer_kind","end_layer_kind","sequence_layer_kind","min_start_index_time","mean_start_index_time","max_start_index_time","min_end_index_time","mean_end_index_time","max_end_index_time","min_path_time","mean_path_time","max_path_time","min_path_minus_start_time","mean_path_minus_start_time","max_path_minus_start_time","min_path_minus_end_time","mean_path_minus_end_time","max_path_minus_end_time","raw_start_index_time","raw_end_index_time","raw_path_time"
1,9,"bn_data","stage1_unit1/conv1",8,"bn_data-conv0-bn0-relu0-pooling0-stage1_unit1/bn1-stage1_unit1/relu1-stage1_unit1/sc-stage1_unit1/conv1","BatchNormalization","Convolution","List-List-List-List-List-List-List-List-List",89.,90.2,155.,71.,71.86670000000001,194.,"","","","","","","","","","{155., 112., 93., 92., 90., 91., 90., 91., 91., 91., 91., 91., 90., 90., 89., 90., 90., 90., 90., 90., 90., 90., 90., 90., 90., 89., 90., 90., 89., 89., 91., 91., 90., 90., 90., 90., 89., 90., 90., 112., 91., 90., 90., 90., 90., 89., 89., 98., 96., 89.}","{194., 80., 74., 72., 72., 72., 72., 71., 72., 72., 71., 71., 72., 71., 71., 72., 72., 72., 71., 71., 73., 71., 72., 72., 71., 71., 72., 72., 71., 71., 72., 77., 72., 72., 72., 72., 88., 74., 72., 71., 71., 71., 72., 72., 72., 72., 101., 82., 82., 82.}",""
2,10,"conv0","stage1_unit1/bn2",8,"conv0-bn0-relu0-pooling0-stage1_unit1/bn1-stage1_unit1/relu1-stage1_unit1/sc-stage1_unit1/conv1-stage1_unit1/bn2","Convolution","BatchNormalization","List-List-List-List-List-List-List-List-List",1884.,1921.0333,2223.,108.,110.1333,162.,"","","","","","","","","","{2223., 2187., 2051., 1940., 1929., 1905., 1909., 1995., 1922., 1887., 1896., 1890., 1985., 1909., 1914., 1910., 1897., 1972., 1893., 1897., 1892., 1908., 1966., 1982., 1901., 1918., 1906., 1993., 1989., 1919., 1902., 1925., 1930., 1984., 1893., 1907., 1915., 1920., 1964., 1905., 1907., 1923., 1884., 1966., 1892., 1892., 1901., 1892., 1968., 1948.}","{162., 129., 113., 110., 111., 111., 110., 110., 111., 110., 111., 110., 125., 110., 110., 110., 110., 110., 110., 116., 110., 110., 110., 110., 110., 110., 110., 109., 111., 110., 110., 110., 110., 110., 110., 111., 111., 111., 110., 109., 110., 110., 110., 110., 109., 109., 108., 109., 121., 109.}",""
3,11,"bn0","stage1_unit1/relu2",8,"bn0-relu0-pooling0-stage1_unit1/bn1-stage1_unit1/relu1-stage1_unit1/sc-stage1_unit1/conv1-stage1_unit1/bn2-stage1_unit1/relu2","BatchNormalization","Elementwise","List-List-List-List-List-List-List-List-List",330.,332.0333,446.,102.,103.10000000000001,151.,"","","","","","","","","","{446., 426., 345., 332., 344., 332., 331., 330., 332., 331., 330., 332., 331., 331., 332., 330., 343., 331., 340., 331., 330., 331., 331., 331., 332., 330., 331., 332., 344., 333., 332., 332., 331., 333., 333., 331., 333., 332., 333., 332., 345., 333., 333., 332., 333., 332., 332., 332., 339., 334.}","{151., 126., 106., 103., 112., 104., 103., 104., 104., 103., 104., 103., 103., 103., 104., 102., 117., 104., 104., 103., 102., 103., 104., 103., 103., 103., 103., 103., 103., 103., 103., 102., 103., 102., 103., 103., 103., 103., 102., 103., 103., 102., 103., 103., 103., 103., 102., 103., 103., 103.}",""
4,12,"relu0","stage1_unit1/conv2",8,"relu0-pooling0-stage1_unit1/bn1-stage1_unit1/relu1-stage1_unit1/sc-stage1_unit1/conv1-stage1_unit1/bn2-stage1_unit1/relu2-stage1_unit1/conv2","Elementwise","Convolution","List-List-List-List-List-List-List-List-List",305.,307.43330000000003,438.,1730.,1765.1667,1970.,"","","","","","","","","","{438., 401., 321., 310., 306., 308., 307., 321., 308., 308., 307., 306., 306., 307., 306., 308., 314., 307., 307., 307., 319., 307., 307., 308., 308., 307., 308., 307., 308., 307., 305., 307., 307., 318., 308., 306., 306., 309., 307., 306., 308., 307., 307., 306., 307., 308., 317., 307., 315., 306.}","{1970., 1904., 1805., 1762., 1746., 1811., 1766., 1738., 1768., 1730., 1776., 1816., 1750., 1734., 1743., 1773., 1851., 1888., 1738., 1771., 1750., 1747., 1835., 1733., 1746., 1752., 1762., 1755., 1840., 1755., 1766., 1733., 1731., 1816., 1818., 1782., 1751., 1771., 1749., 1848., 1732., 1747., 1766., 1747., 1807., 1812., 1753., 1748., 1761., 1737.}",""
5,13,"pooling0","stage1_unit1/bn3",8,"pooling0-stage1_unit1/bn1-stage1_unit1/relu1-stage1_unit1/sc-stage1_unit1/conv1-stage1_unit1/bn2-stage1_unit1/relu2-stage1_unit1/conv2-stage1_unit1/bn3","Pooling","BatchNormalization","List-List-List-List-List-List-List-List-List",1539.,1549.3333,1647.,109.,110.36670000000001,145.,"","","","","","","","","","{1647., 1547., 1557., 1611., 1539., 1551., 1561., 1554., 1539., 1539., 1552., 1540., 1567., 1619., 1541., 1552., 1541., 1555., 1543., 1576., 1556., 1543., 1542., 1553., 1543., 1556., 1614., 1543., 1553., 1542., 1555., 1543., 1550., 1555., 1610., 1552., 1543., 1542., 1562., 1542., 1542., 1555., 1542., 1555., 1542., 1550., 1554., 1543., 1555., 1543.}","{145., 118., 112., 112., 111., 111., 110., 111., 110., 110., 110., 111., 110., 110., 110., 110., 110., 110., 110., 110., 110., 110., 110., 110., 111., 109., 122., 111., 110., 110., 110., 111., 120., 111., 110., 111., 110., 111., 110., 110., 111., 111., 111., 110., 110., 111., 111., 110., 110., 110.}",""
6,14,"stage1_unit1/bn1","stage1_unit1/relu3",8,"stage1_unit1/bn1-stage1_unit1/relu1-stage1_unit1/sc-stage1_unit1/conv1-stage1_unit1/bn2-stage1_unit1/relu2-stage1_unit1/conv2-stage1_unit1/bn3-stage1_unit1/relu3","BatchNormalization","Elementwise","List-List-List-List-List-List-List-List-List",108.,110.1333,132.,102.,102.9667,124.,"","","","","","","","","","{132., 127., 112., 112., 111., 111., 110., 110., 110., 110., 111., 111., 110., 110., 111., 110., 111., 110., 111., 111., 111., 111., 110., 111., 110., 122., 110., 109., 109., 109., 109., 109., 108., 109., 109., 109., 122., 111., 110., 109., 109., 109., 110., 110., 109., 110., 109., 110., 110., 110.}","{124., 109., 104., 104., 103., 103., 103., 103., 102., 103., 103., 103., 103., 103., 102., 103., 103., 103., 102., 103., 102., 103., 111., 103., 103., 104., 103., 103., 103., 103., 102., 103., 103., 103., 116., 104., 103., 103., 103., 102., 102., 103., 102., 102., 103., 103., 103., 102., 102., 103.}",""
7,15,"stage1_unit1/relu1","stage1_unit1/conv3",8,"stage1_unit1/relu1-stage1_unit1/sc-stage1_unit1/conv1-stage1_unit1/bn2-stage1_unit1/relu2-stage1_unit1/conv2-stage1_unit1/bn3-stage1_unit1/relu3-stage1_unit1/conv3","Elementwise","Convolution","List-List-List-List-List-List-List-List-List",102.,103.06670000000001,121.,240.,247.8333,562.,"","","","","","","","","","{121., 107., 104., 104., 103., 103., 103., 103., 104., 103., 103., 104., 103., 116., 104., 102., 103., 103., 104., 102., 111., 105., 104., 103., 103., 102., 103., 103., 103., 103., 102., 103., 103., 102., 103., 103., 103., 103., 103., 103., 103., 103., 102., 103., 103., 103., 103., 103., 103., 103.}","{562., 346., 293., 262., 282., 275., 273., 272., 288., 245., 247., 244., 244., 244., 244., 243., 245., 259., 244., 245., 243., 243., 242., 242., 245., 242., 242., 243., 243., 242., 242., 243., 243., 255., 244., 242., 243., 241., 243., 242., 240., 240., 242., 241., 268., 266., 267., 266., 275., 256.}",""
8,16,"stage1_unit1/sc","stage1_unit1/_plus_stage1_unit1",8,"stage1_unit1/sc-stage1_unit1/conv1-stage1_unit1/bn2-stage1_unit1/relu2-stage1_unit1/conv2-stage1_unit1/bn3-stage1_unit1/relu3-stage1_unit1/conv3-stage1_unit1/_plus_stage1_unit1","Convolution","Threading","List-List-List-List-List-List-List-List-List",238.,241.26670000000001,316.,406.,408.6,617.,"","","","","","","","","","{316., 251., 245., 242., 240., 242., 241., 242., 256., 243., 241., 274., 267., 268., 267., 267., 240., 239., 241., 241., 240., 240., 242., 240., 258., 242., 241., 240., 242., 240., 242., 241., 242., 240., 241., 240., 240., 242., 241., 240., 253., 242., 241., 241., 239., 240., 238., 239., 240., 240.}","{617., 609., 465., 417., 408., 408., 407., 407., 421., 409., 415., 408., 407., 408., 408., 408., 407., 407., 420., 408., 406., 407., 406., 407., 407., 407., 408., 407., 418., 408., 408., 409., 408., 409., 415., 409., 409., 419., 409., 408., 408., 408., 409., 410., 410., 409., 407., 418., 409., 409.}",""
9,17,"stage1_unit1/conv1","stage1_unit2/bn1",8,"stage1_unit1/conv1-stage1_unit1/bn2-stage1_unit1/relu2-stage1_unit1/conv2-stage1_unit1/bn3-stage1_unit1/relu3-stage1_unit1/conv3-stage1_unit1/_plus_stage1_unit1-stage1_unit2/bn1","Convolution","BatchNormalization","List-List-List-List-List-List-List-List-List",71.,71.6667,162.,334.,335.23330000000004,446.,"","","","","","","","","","{162., 80., 74., 73., 72., 72., 72., 72., 75., 72., 72., 73., 72., 71., 71., 72., 72., 72., 72., 71., 72., 71., 71., 71., 72., 72., 72., 72., 72., 72., 71., 71., 71., 71., 71., 71., 71., 71., 71., 71., 71., 71., 71., 72., 72., 72., 72., 71., 72., 72.}","{446., 390., 347., 337., 335., 336., 336., 335., 336., 335., 335., 345., 335., 335., 335., 335., 334., 335., 334., 335., 340., 335., 335., 347., 335., 335., 334., 335., 335., 335., 334., 335., 335., 335., 335., 347., 336., 336., 335., 335., 335., 335., 335., 334., 335., 336., 334., 348., 336., 343.}",""
10,18,"stage1_unit1/bn2","stage1_unit2/relu1",8,"stage1_unit1/bn2-stage1_unit1/relu2-stage1_unit1/conv2-stage1_unit1/bn3-stage1_unit1/relu3-stage1_unit1/conv3-stage1_unit1/_plus_stage1_unit1-stage1_unit2/bn1-stage1_unit2/relu1","BatchNormalization","Elementwise","List-List-List-List-List-List-List-List-List",109.,110.9333,152.,306.,310.36670000000004,393.,"","","","","","","","","","{152., 133., 117., 112., 111., 111., 110., 110., 110., 110., 110., 110., 110., 109., 125., 112., 111., 111., 111., 111., 111., 111., 111., 110., 111., 110., 111., 111., 111., 111., 111., 111., 111., 111., 110., 111., 111., 111., 110., 123., 112., 111., 112., 111., 111., 111., 112., 112., 110., 111.}","{393., 361., 316., 311., 307., 308., 308., 316., 310., 308., 306., 324., 312., 309., 310., 309., 311., 309., 311., 309., 311., 310., 309., 311., 322., 312., 311., 309., 310., 310., 312., 311., 308., 310., 311., 311., 310., 319., 310., 319., 311., 310., 310., 310., 312., 309., 310., 309., 309., 325.}",""
