"model_name","instance_type","start_index","end_index","sequence_length","num_runs","start_name","end_name","sequence_name","start_layer_kind","end_layer_kind","sequence_layer_kind","start_layer_path_time","mean_path_time","end_layer_path_time","raw_path_time"
"YOLO V2 Trained on MS-COCO Data","c5n.xlarge",1,6,5,50,"Conv/conv32/1","Conv/conv64/3","Conv/conv32/1-Conv/conv32/2-Conv/conv32/3-Conv/conv64/1-Conv/conv64/2-Conv/conv64/3","Convolution","Convolution","Convolution-BatchNormalization-Elementwise-Padding-Pooling-Convolution",58465.,59387.,158299.,"{158299., 58646., 59378., 59131., 59529., 59251., 59131., 59032., 58864., 59117., 58567., 58576., 58496., 58501., 58892., 59319., 58917., 59637., 59509., 59475., 59503., 59972., 59508., 59315., 58551., 58465., 58984., 60269., 60459., 60467., 60011., 59896., 59360., 59691., 59149., 58949., 59877., 59689., 60178., 60039., 59736., 59667., 59805., 59231., 59783., 59678., 59488., 59313., 58994., 59258.}"
"YOLO V2 Trained on MS-COCO Data","c5n.xlarge",7,12,5,50,"Conv/conv64/4","Conv/conv128/4","Conv/conv64/4-Conv/conv64/5-Conv/conv128/1-Conv/conv128/2-Conv/conv128/3-Conv/conv128/4","BatchNormalization","BatchNormalization","BatchNormalization-Elementwise-Padding-Pooling-Convolution-BatchNormalization",24999.,25440.2,45441.,"{45441., 25658., 25448., 25298., 25257., 25359., 25447., 25327., 25062., 25078., 25135., 25023., 25093., 25020., 25129., 25043., 25439., 25675., 25495., 25876., 25812., 25726., 25369., 25421., 25375., 25409., 25567., 25547., 25799., 25514., 25691., 25769., 26064., 26124., 26286., 25499., 25284., 25521., 25386., 25563., 25571., 25522., 25652., 25700., 25451., 24999., 25070., 25010., 25197., 25100.}"
"YOLO V2 Trained on MS-COCO Data","c5n.xlarge",13,18,5,50,"Conv/conv128/5","Conv/conv128/10","Conv/conv128/5-Conv/conv128/6-Conv/conv128/7-Conv/conv128/8-Conv/conv128/9-Conv/conv128/10","Elementwise","BatchNormalization","Elementwise-Convolution-BatchNormalization-Elementwise-Convolution-BatchNormalization",18028.,18211.5333,29351.,"{29351., 18241., 18206., 18217., 18337., 18311., 18316., 18278., 18168., 18164., 18326., 18293., 18232., 18235., 18132., 18142., 18246., 18173., 18151., 18131., 18218., 18172., 18351., 18188., 18109., 18056., 18096., 18131., 18064., 18295., 18028., 18077., 18113., 18107., 18105., 18063., 18101., 18159., 18354., 18358., 18365., 18298., 18233., 18273., 18330., 18290., 18281., 18191., 18203., 18292.}"
"YOLO V2 Trained on MS-COCO Data","c5n.xlarge",19,24,5,50,"Conv/conv128/11","Conv/conv256/5","Conv/conv128/11-Conv/conv256/1-Conv/conv256/2-Conv/conv256/3-Conv/conv256/4-Conv/conv256/5","Elementwise","Elementwise","Elementwise-Padding-Pooling-Convolution-BatchNormalization-Elementwise",15825.,15995.7,20208.,"{20208., 16085., 16158., 16162., 16189., 16056., 16140., 16281., 15969., 15932., 16063., 15905., 16011., 15992., 16042., 16099., 16034., 16056., 16106., 15993., 15991., 16017., 16133., 16113., 15956., 16111., 15986., 15970., 16018., 15946., 15965., 15909., 16049., 16036., 15951., 16130., 15951., 15870., 15935., 15840., 15910., 15847., 15934., 15905., 15825., 15899., 15874., 15909., 15859., 15875.}"
"YOLO V2 Trained on MS-COCO Data","c5n.xlarge",25,30,5,50,"Conv/conv256/6","Conv/conv256/11","Conv/conv256/6-Conv/conv256/7-Conv/conv256/8-Conv/conv256/9-Conv/conv256/10-Conv/conv256/11","Convolution","Elementwise","Convolution-BatchNormalization-Elementwise-Convolution-BatchNormalization-Elementwise",11825.,12063.2667,12439.,"{12439., 12086., 12099., 12030., 12055., 12005., 12081., 12052., 12098., 12057., 12073., 12183., 12189., 12152., 12132., 12140., 12182., 12082., 12044., 11944., 12004., 11999., 12069., 12218., 12093., 12090., 12118., 12102., 12044., 11963., 11949., 11998., 12223., 11954., 12051., 12140., 12056., 11966., 11963., 12040., 12065., 12024., 12090., 12012., 12116., 12103., 12060., 11928., 11825., 11856.}"
"YOLO V2 Trained on MS-COCO Data","c5n.xlarge",31,36,5,50,"Conv/conv512/1","Conv/conv512/6","Conv/conv512/1-Conv/conv512/2-Conv/conv512/3-Conv/conv512/4-Conv/conv512/5-Conv/conv512/6","Padding","Convolution","Padding-Pooling-Convolution-BatchNormalization-Elementwise-Convolution",9902.,9990.133300000001,10670.,"{10670., 10185., 10076., 10034., 10017., 9993., 10014., 9946., 10061., 9946., 9976., 9959., 9992., 9984., 9991., 9982., 10026., 9944., 10040., 9964., 10003., 9967., 9968., 9981., 10009., 9998., 9988., 9956., 10006., 9950., 9981., 9966., 9982., 9987., 10000., 9973., 9954., 9902., 9963., 10010., 10114., 9971., 10008., 9975., 10063., 10042., 10011., 10027., 9968., 9977.}"
"YOLO V2 Trained on MS-COCO Data","c5n.xlarge",37,42,5,50,"Conv/conv512/7","Conv/conv512/12","Conv/conv512/7-Conv/conv512/8-Conv/conv512/9-Conv/conv512/10-Conv/conv512/11-Conv/conv512/12","BatchNormalization","Convolution","BatchNormalization-Elementwise-Convolution-BatchNormalization-Elementwise-Convolution",8899.,8990.7333,9419.,"{9419., 9149., 9158., 9102., 9036., 8952., 8948., 8942., 8939., 8921., 8899., 8979., 9076., 9051., 9041., 9000., 9030., 9004., 8974., 8973., 8990., 8928., 8959., 9034., 9002., 9018., 9003., 9000., 9019., 8997., 8924., 8981., 9005., 8999., 9007., 8982., 8975., 8930., 8953., 8992., 8904., 8919., 8946., 9048., 9053., 9003., 8961., 8952., 8994., 9075.}"
"YOLO V2 Trained on MS-COCO Data","c5n.xlarge",43,48,5,50,"Conv/conv512/13","Conv/conv_final_2/1","Conv/conv512/13-Conv/conv512/14-Conv/conv512/15-Conv/conv512/16-Conv/conv512/17-Conv/conv_final_2/1","BatchNormalization","Convolution","BatchNormalization-Elementwise-Convolution-BatchNormalization-Elementwise-Convolution",8404.,8535.566700000001,8990.,"{8990., 8812., 8741., 8665., 8555., 8505., 8510., 8513., 8509., 8533., 8499., 8434., 8421., 8465., 8488., 8493., 8472., 8474., 8435., 8425., 8423., 8479., 8507., 8482., 8427., 8404., 8495., 8536., 8525., 8508., 8544., 8533., 8618., 8620., 8587., 8596., 8615., 8566., 8530., 8558., 8559., 8593., 8588., 8625., 8601., 8499., 8593., 8583., 8611., 8634.}"
"YOLO V2 Trained on MS-COCO Data","c5n.xlarge",49,49,0,50,"Conv/conv_final_2/2","Conv/conv_final_2/2","Conv/conv_final_2/2","BatchNormalization","BatchNormalization","BatchNormalization",45.,46.7,81.,"{81., 52., 48., 47., 47., 47., 47., 47., 47., 46., 46., 47., 46., 46., 47., 68., 49., 47., 47., 46., 47., 45., 47., 47., 47., 47., 47., 46., 46., 46., 47., 46., 46., 54., 48., 47., 46., 46., 47., 47., 46., 46., 46., 46., 47., 46., 46., 47., 47., 48.}"
"YOLO V2 Trained on MS-COCO Data","c5n.xlarge",50,50,0,50,"Conv/conv_final_2/3","Conv/conv_final_2/3","Conv/conv_final_2/3","Elementwise","Elementwise","Elementwise",102.,103.30000000000001,142.,"{142., 109., 104., 104., 105., 104., 104., 104., 103., 103., 103., 114., 105., 104., 103., 102., 103., 104., 103., 122., 108., 104., 104., 104., 103., 104., 103., 103., 103., 104., 103., 103., 102., 103., 102., 102., 102., 103., 103., 103., 102., 103., 102., 103., 103., 103., 102., 102., 103., 103.}"
