"model_name","instance_type","start_index","end_index","sequence_length","num_runs","start_name","end_name","sequence_name","start_layer_kind","end_layer_kind","sequence_layer_kind","start_layer_path_time","mean_path_time","end_layer_path_time","raw_path_time"
"Wolfram ImageIdentify Net V1","c5.xlarge",1,9,8,50,"conv_1","bn_2","conv_1-bn_1-relu_1-pool_1-conv_2_red-bn_2_red-relu_2_red-conv_2-bn_2","Convolution","BatchNormalization","Convolution-BatchNormalization-Elementwise-Pooling-Convolution-BatchNormalization-Elementwise-Convolution-BatchNormalization",10318.,10416.300000000001,12002.,"{11610., 10771., 11991., 10569., 10518., 10437., 10425., 10432., 10362., 10418., 10422., 10391., 10366., 10433., 10499., 10521., 10448., 10383., 10440., 10418., 10355., 10355., 10386., 10403., 10378., 10425., 10395., 10389., 10368., 10520., 10396., 10471., 12002., 10437., 10433., 10375., 10398., 10464., 10467., 10478., 10413., 10345., 10407., 10318., 10344., 10463., 10367., 10339., 10374., 10341.}"
"Wolfram ImageIdentify Net V1","c5.xlarge",10,10,0,50,"relu_2","relu_2","relu_2","Elementwise","Elementwise","Elementwise",218.,227.3667,422.,"{408., 331., 232., 222., 222., 235., 247., 224., 222., 221., 221., 221., 221., 222., 222., 222., 221., 221., 221., 221., 219., 220., 219., 231., 220., 219., 219., 219., 219., 218., 219., 219., 221., 221., 219., 243., 220., 219., 219., 219., 219., 362., 408., 410., 410., 421., 422., 407., 410., 410.}"
"Wolfram ImageIdentify Net V1","c5.xlarge",11,11,0,50,"pool_2","pool_2","pool_2","Pooling","Pooling","Pooling",1100.,1113.2333,1144.,"{1136., 1112., 1100., 1124., 1136., 1103., 1118., 1134., 1125., 1101., 1101., 1100., 1144., 1102., 1101., 1134., 1118., 1102., 1100., 1125., 1102., 1122., 1120., 1101., 1113., 1131., 1127., 1102., 1101., 1119., 1124., 1102., 1101., 1138., 1119., 1101., 1101., 1121., 1101., 1123., 1126., 1101., 1141., 1109., 1120., 1112., 1105., 1125., 1124., 1103.}"
"Wolfram ImageIdentify Net V1","c5.xlarge",12,12,0,50,"3a/conv1x1","3a/conv1x1","3a/conv1x1","Convolution","Convolution","Convolution",124.,126.60000000000001,1689.,"{1689., 151., 128., 126., 127., 125., 125., 125., 124., 124., 126., 125., 125., 137., 125., 126., 125., 124., 125., 125., 148., 128., 125., 124., 125., 130., 127., 129., 125., 143., 128., 127., 127., 126., 127., 128., 128., 127., 125., 128., 127., 128., 127., 128., 126., 128., 127., 127., 127., 128.}"
"Wolfram ImageIdentify Net V1","c5.xlarge",13,13,0,50,"3a/bn1x1","3a/bn1x1","3a/bn1x1","BatchNormalization","BatchNormalization","BatchNormalization",35.,36.1333,68.,"{68., 38., 37., 36., 36., 37., 37., 37., 36., 36., 38., 36., 37., 36., 36., 36., 36., 36., 36., 36., 36., 36., 37., 37., 36., 36., 36., 36., 37., 37., 37., 35., 37., 36., 36., 36., 36., 36., 36., 36., 36., 36., 36., 36., 36., 36., 36., 36., 36., 35.}"
"Wolfram ImageIdentify Net V1","c5.xlarge",14,14,0,50,"3a/relu1x1","3a/relu1x1","3a/relu1x1","Elementwise","Elementwise","Elementwise",30.,31.1,60.,"{53., 32., 32., 31., 31., 31., 31., 32., 31., 32., 31., 31., 32., 31., 31., 32., 31., 31., 31., 31., 31., 31., 31., 31., 31., 31., 31., 31., 31., 31., 31., 31., 31., 30., 32., 31., 31., 31., 31., 31., 32., 31., 32., 31., 31., 31., 60., 35., 31., 32.}"
"Wolfram ImageIdentify Net V1","c5.xlarge",15,15,0,50,"3a/conv3x3_reduce","3a/conv3x3_reduce","3a/conv3x3_reduce","Convolution","Convolution","Convolution",124.,126.83330000000001,1819.,"{1819., 174., 127., 126., 127., 126., 125., 160., 125., 126., 125., 125., 125., 126., 126., 125., 126., 125., 124., 125., 126., 126., 126., 126., 124., 129., 127., 127., 127., 144., 127., 128., 128., 128., 127., 127., 127., 129., 129., 127., 128., 127., 127., 127., 127., 127., 128., 129., 128., 130.}"
"Wolfram ImageIdentify Net V1","c5.xlarge",16,16,0,50,"3a/bn3x3_reduce","3a/bn3x3_reduce","3a/bn3x3_reduce","BatchNormalization","BatchNormalization","BatchNormalization",35.,36.2,65.,"{65., 38., 36., 37., 36., 36., 37., 36., 36., 36., 36., 36., 36., 36., 36., 36., 37., 36., 36., 36., 36., 36., 36., 37., 35., 36., 36., 37., 36., 35., 35., 37., 36., 36., 37., 36., 37., 36., 37., 37., 36., 36., 36., 37., 36., 37., 37., 36., 36., 37.}"
"Wolfram ImageIdentify Net V1","c5.xlarge",17,17,0,50,"3a/relu3x3_reduce","3a/relu3x3_reduce","3a/relu3x3_reduce","Elementwise","Elementwise","Elementwise",31.,31.2667,60.,"{54., 33., 31., 31., 31., 32., 32., 31., 60., 35., 31., 31., 32., 31., 31., 32., 31., 31., 31., 32., 31., 31., 31., 31., 31., 31., 31., 32., 32., 31., 32., 31., 31., 31., 33., 32., 31., 32., 31., 31., 31., 31., 32., 32., 31., 31., 31., 31., 31., 32.}"
"Wolfram ImageIdentify Net V1","c5.xlarge",18,18,0,50,"3a/conv3x3","3a/conv3x3","3a/conv3x3","Convolution","Convolution","Convolution",663.,674.,3194.,"{3194., 675., 682., 681., 670., 671., 696., 667., 694., 668., 667., 679., 689., 666., 674., 664., 663., 675., 666., 664., 673., 683., 674., 706., 672., 668., 696., 671., 699., 698., 667., 667., 666., 665., 668., 755., 678., 695., 667., 671., 685., 696., 671., 711., 669., 667., 676., 665., 668., 665.}"
