"model_name","instance_type","start_index","end_index","sequence_length","num_runs","start_name","end_name","sequence_name","start_layer_kind","end_layer_kind","sequence_layer_kind","start_layer_path_time","mean_path_time","end_layer_path_time","raw_path_time"
"OpenFace Face Recognition Net Trained on CASIA-WebFace and FaceScrub Data","c5.large",1,12,11,50,"1","12","1-2-3-4-5-6-7-8-9-10-11-12","Convolution","LocalResponseNormalization","Convolution-BatchNormalization-Elementwise-Pooling-LocalResponseNormalization-Convolution-BatchNormalization-Elementwise-Convolution-BatchNormalization-Elementwise-LocalResponseNormalization",5726.,5788.900000000001,10011.,"{10011., 5864., 5834., 5805., 5790., 5753., 5802., 5796., 5797., 5859., 5789., 5777., 5819., 5767., 5781., 5780., 5778., 5790., 5769., 5800., 5747., 5804., 5774., 5802., 5783., 5809., 5806., 5778., 5798., 5785., 5822., 5771., 5787., 5783., 5772., 5818., 5777., 5797., 5775., 5795., 5761., 5792., 5726., 5789., 5780., 5772., 5799., 5813., 5784., 5752.}"
"OpenFace Face Recognition Net Trained on CASIA-WebFace and FaceScrub Data","c5.large",13,13,0,50,"13","13","13","Pooling","Pooling","Pooling",228.,229.5667,263.,"{258., 263., 234., 231., 239., 231., 229., 230., 230., 230., 229., 229., 229., 229., 228., 229., 229., 230., 253., 231., 229., 229., 229., 245., 233., 229., 228., 229., 251., 234., 229., 229., 229., 229., 251., 231., 228., 229., 229., 229., 229., 229., 228., 229., 229., 229., 238., 230., 229., 229.}"
"OpenFace Face Recognition Net Trained on CASIA-WebFace and FaceScrub Data","c5.large",14,14,0,50,"14/1/1","14/1/1","14/1/1","Convolution","Convolution","Convolution",75.,75.10000000000001,145.,"{145., 80., 76., 75., 75., 75., 75., 75., 75., 75., 75., 75., 75., 75., 75., 76., 75., 75., 75., 103., 78., 76., 75., 75., 75., 75., 76., 76., 75., 85., 75., 75., 75., 75., 75., 75., 76., 75., 75., 76., 75., 75., 76., 75., 75., 75., 75., 75., 75., 75.}"
"OpenFace Face Recognition Net Trained on CASIA-WebFace and FaceScrub Data","c5.large",15,15,0,50,"14/1/2","14/1/2","14/1/2","BatchNormalization","BatchNormalization","BatchNormalization",29.,30.1,50.,"{50., 33., 31., 31., 31., 30., 31., 30., 30., 30., 30., 31., 30., 31., 30., 30., 30., 30., 30., 31., 30., 30., 30., 30., 30., 30., 30., 30., 30., 30., 31., 30., 30., 30., 29., 30., 30., 31., 30., 30., 30., 30., 31., 30., 30., 31., 30., 30., 30., 30.}"
"OpenFace Face Recognition Net Trained on CASIA-WebFace and FaceScrub Data","c5.large",16,16,0,50,"14/1/3","14/1/3","14/1/3","Elementwise","Elementwise","Elementwise",26.,26.6,54.,"{42., 28., 27., 27., 26., 48., 28., 27., 27., 27., 27., 27., 26., 26., 26., 27., 26., 27., 26., 27., 26., 27., 26., 27., 26., 27., 26., 35., 54., 30., 27., 27., 26., 27., 26., 27., 26., 26., 26., 26., 26., 26., 27., 26., 27., 26., 27., 26., 27., 26.}"
"OpenFace Face Recognition Net Trained on CASIA-WebFace and FaceScrub Data","c5.large",17,17,0,50,"14/1/4","14/1/4","14/1/4","Convolution","Convolution","Convolution",350.,356.93330000000003,474.,"{474., 370., 384., 359., 376., 360., 354., 354., 373., 359., 356., 383., 356., 355., 353., 353., 353., 353., 365., 355., 354., 354., 383., 358., 354., 354., 354., 355., 353., 353., 353., 368., 357., 369., 354., 377., 360., 355., 354., 355., 354., 353., 354., 377., 356., 351., 363., 352., 350., 393.}"
"OpenFace Face Recognition Net Trained on CASIA-WebFace and FaceScrub Data","c5.large",18,18,0,50,"14/1/5","14/1/5","14/1/5","BatchNormalization","BatchNormalization","BatchNormalization",31.,32.,57.,"{57., 37., 33., 32., 33., 32., 32., 32., 32., 31., 32., 32., 31., 31., 32., 31., 31., 32., 32., 32., 32., 32., 31., 32., 32., 32., 32., 32., 31., 31., 32., 32., 32., 32., 32., 32., 32., 32., 32., 32., 32., 32., 32., 32., 32., 32., 32., 32., 32., 31.}"
"OpenFace Face Recognition Net Trained on CASIA-WebFace and FaceScrub Data","c5.large",19,19,0,50,"14/1/6","14/1/6","14/1/6","Elementwise","Elementwise","Elementwise",27.,28.0667,50.,"{50., 31., 30., 29., 28., 28., 29., 28., 28., 28., 29., 28., 28., 28., 29., 28., 28., 28., 28., 28., 28., 28., 27., 27., 28., 28., 28., 28., 28., 28., 30., 39., 29., 29., 28., 28., 28., 28., 28., 28., 28., 28., 28., 28., 28., 28., 28., 28., 29., 28.}"
"OpenFace Face Recognition Net Trained on CASIA-WebFace and FaceScrub Data","c5.large",20,20,0,50,"14/6","14/6","14/6","Elementwise","Elementwise","Elementwise",18.,19.,65.,"{65., 23., 20., 19., 19., 20., 20., 19., 18., 20., 19., 19., 19., 19., 19., 19., 19., 19., 19., 18., 50., 21., 19., 19., 19., 19., 19., 19., 19., 19., 19., 18., 19., 19., 19., 19., 19., 19., 19., 19., 19., 18., 19., 19., 19., 19., 18., 19., 19., 19.}"
"OpenFace Face Recognition Net Trained on CASIA-WebFace and FaceScrub Data","c5.large",21,21,0,50,"14/2/1","14/2/1","14/2/1","Convolution","Convolution","Convolution",37.,37.9667,87.,"{87., 42., 39., 39., 38., 38., 38., 38., 38., 38., 38., 39., 38., 37., 37., 38., 38., 38., 37., 64., 39., 38., 38., 38., 38., 38., 38., 37., 38., 38., 38., 37., 37., 37., 38., 37., 37., 38., 38., 38., 38., 38., 38., 37., 38., 38., 38., 38., 38., 37.}"
"OpenFace Face Recognition Net Trained on CASIA-WebFace and FaceScrub Data","c5.large",22,22,0,50,"14/2/2","14/2/2","14/2/2","BatchNormalization","BatchNormalization","BatchNormalization",18.,19.,44.,"{43., 23., 20., 19., 20., 18., 20., 18., 19., 19., 19., 19., 19., 19., 20., 20., 19., 19., 19., 19., 19., 18., 19., 19., 19., 19., 19., 19., 19., 19., 19., 19., 19., 19., 18., 19., 44., 19., 19., 19., 19., 19., 19., 19., 19., 19., 19., 19., 18., 19.}"
"OpenFace Face Recognition Net Trained on CASIA-WebFace and FaceScrub Data","c5.large",23,23,0,50,"14/2/3","14/2/3","14/2/3","Elementwise","Elementwise","Elementwise",17.,18.,40.,"{40., 20., 18., 19., 18., 18., 18., 18., 18., 18., 18., 18., 17., 18., 18., 18., 18., 18., 18., 17., 18., 17., 18., 18., 17., 18., 18., 18., 18., 18., 18., 18., 18., 18., 18., 18., 18., 18., 18., 18., 19., 18., 18., 18., 18., 18., 18., 17., 18., 18.}"
"OpenFace Face Recognition Net Trained on CASIA-WebFace and FaceScrub Data","c5.large",24,24,0,50,"14/2/4","14/2/4","14/2/4","Convolution","Convolution","Convolution",116.,116.83330000000001,188.,"{188., 122., 118., 117., 117., 118., 117., 117., 117., 116., 117., 117., 117., 117., 117., 117., 117., 117., 117., 116., 117., 164., 124., 118., 117., 117., 116., 117., 116., 117., 117., 117., 116., 154., 120., 116., 117., 117., 117., 116., 116., 116., 117., 116., 116., 116., 116., 116., 117., 116.}"
"OpenFace Face Recognition Net Trained on CASIA-WebFace and FaceScrub Data","c5.large",25,25,0,50,"14/2/5","14/2/5","14/2/5","BatchNormalization","BatchNormalization","BatchNormalization",19.,19.5667,44.,"{44., 29., 22., 20., 20., 20., 20., 19., 20., 20., 19., 20., 19., 19., 20., 20., 19., 20., 20., 19., 20., 19., 20., 19., 20., 19., 20., 20., 19., 37., 29., 21., 19., 19., 20., 20., 19., 19., 19., 20., 19., 19., 19., 19., 20., 19., 19., 20., 19., 19.}"
"OpenFace Face Recognition Net Trained on CASIA-WebFace and FaceScrub Data","c5.large",26,26,0,50,"14/2/6","14/2/6","14/2/6","Elementwise","Elementwise","Elementwise",18.,18.6,40.,"{40., 21., 19., 19., 19., 19., 18., 19., 20., 18., 19., 18., 19., 18., 19., 18., 19., 19., 18., 19., 19., 18., 19., 18., 19., 19., 18., 19., 18., 18., 19., 18., 18., 19., 18., 19., 19., 18., 18., 19., 19., 18., 18., 18., 18., 19., 19., 18., 19., 18.}"
"OpenFace Face Recognition Net Trained on CASIA-WebFace and FaceScrub Data","c5.large",27,27,0,50,"14/7","14/7","14/7","Elementwise","Elementwise","Elementwise",17.,18.,37.,"{37., 20., 19., 18., 18., 18., 18., 17., 18., 18., 18., 18., 18., 18., 18., 18., 18., 19., 18., 18., 18., 18., 18., 18., 18., 18., 18., 18., 18., 18., 18., 17., 18., 18., 18., 18., 18., 18., 18., 19., 18., 18., 18., 18., 18., 18., 19., 18., 18., 18.}"
"OpenFace Face Recognition Net Trained on CASIA-WebFace and FaceScrub Data","c5.large",28,28,0,50,"14/3/1","14/3/1","14/3/1","Pooling","Pooling","Pooling",63.,64.10000000000001,89.,"{81., 67., 65., 64., 64., 69., 68., 64., 64., 63., 64., 64., 64., 64., 65., 64., 64., 63., 64., 64., 64., 64., 64., 64., 65., 65., 64., 64., 84., 66., 64., 64., 89., 65., 64., 64., 64., 64., 64., 64., 64., 64., 64., 65., 64., 64., 64., 64., 64., 64.}"
"OpenFace Face Recognition Net Trained on CASIA-WebFace and FaceScrub Data","c5.large",29,29,0,50,"14/3/2","14/3/2","14/3/2","Convolution","Convolution","Convolution",34.,34.4667,89.,"{89., 38., 36., 35., 34., 35., 35., 34., 35., 34., 34., 34., 35., 59., 38., 35., 35., 34., 53., 35., 34., 35., 34., 35., 34., 34., 35., 34., 34., 35., 34., 35., 34., 34., 35., 34., 35., 34., 34., 34., 34., 35., 34., 35., 34., 34., 35., 34., 34., 34.}"
"OpenFace Face Recognition Net Trained on CASIA-WebFace and FaceScrub Data","c5.large",30,30,0,50,"14/3/3","14/3/3","14/3/3","BatchNormalization","BatchNormalization","BatchNormalization",18.,19.,43.,"{43., 22., 19., 20., 19., 19., 18., 19., 19., 19., 19., 19., 19., 19., 18., 19., 19., 19., 19., 19., 19., 18., 19., 19., 19., 18., 19., 19., 19., 20., 19., 19., 19., 19., 43., 19., 19., 18., 19., 18., 19., 19., 19., 18., 19., 19., 19., 18., 19., 18.}"
"OpenFace Face Recognition Net Trained on CASIA-WebFace and FaceScrub Data","c5.large",31,31,0,50,"14/3/4","14/3/4","14/3/4","Elementwise","Elementwise","Elementwise",17.,17.7,70.,"{38., 20., 18., 18., 18., 17., 18., 18., 18., 17., 18., 17., 18., 17., 18., 18., 17., 18., 17., 70., 21., 18., 18., 17., 17., 18., 17., 18., 18., 17., 18., 17., 18., 18., 17., 18., 18., 18., 17., 17., 33., 18., 17., 18., 17., 17., 18., 18., 17., 17.}"
"OpenFace Face Recognition Net Trained on CASIA-WebFace and FaceScrub Data","c5.large",32,32,0,50,"14/8","14/8","14/8","Padding","Padding","Padding",26.,26.7667,54.,"{50., 30., 28., 27., 28., 27., 26., 26., 26., 27., 27., 26., 26., 27., 27., 27., 27., 28., 26., 27., 26., 54., 28., 26., 27., 27., 26., 27., 27., 27., 26., 26., 27., 26., 27., 26., 27., 27., 27., 26., 26., 26., 27., 27., 27., 27., 27., 26., 27., 27.}"
"OpenFace Face Recognition Net Trained on CASIA-WebFace and FaceScrub Data","c5.large",33,33,0,50,"14/4/1","14/4/1","14/4/1","Convolution","Convolution","Convolution",58.,58.900000000000006,125.,"{125., 63., 60., 86., 60., 59., 59., 59., 59., 59., 59., 59., 59., 58., 58., 58., 59., 59., 58., 59., 59., 59., 59., 59., 59., 58., 59., 59., 59., 58., 59., 58., 59., 59., 59., 58., 59., 59., 59., 58., 92., 60., 58., 59., 58., 59., 58., 59., 58., 59.}"
"OpenFace Face Recognition Net Trained on CASIA-WebFace and FaceScrub Data","c5.large",34,34,0,50,"14/4/2","14/4/2","14/4/2","BatchNormalization","BatchNormalization","BatchNormalization",28.,28.3667,49.,"{47., 32., 29., 28., 29., 28., 29., 28., 29., 28., 37., 29., 28., 29., 28., 28., 28., 28., 28., 28., 28., 29., 28., 28., 28., 29., 28., 28., 28., 28., 28., 28., 28., 29., 28., 29., 28., 29., 28., 29., 28., 29., 28., 29., 28., 49., 31., 29., 28., 29.}"
"OpenFace Face Recognition Net Trained on CASIA-WebFace and FaceScrub Data","c5.large",35,35,0,50,"14/4/3","14/4/3","14/4/3","Elementwise","Elementwise","Elementwise",18.,19.,43.,"{40., 22., 19., 19., 20., 18., 19., 19., 20., 18., 19., 19., 19., 19., 20., 19., 19., 18., 19., 19., 27., 19., 19., 18., 19., 19., 18., 19., 43., 19., 19., 19., 19., 19., 19., 19., 19., 19., 19., 19., 18., 19., 19., 19., 18., 19., 19., 40., 20., 18.}"
"OpenFace Face Recognition Net Trained on CASIA-WebFace and FaceScrub Data","c5.large",36,36,0,50,"14/9","14/9","14/9","Elementwise","Elementwise","Elementwise",18.,18.2333,43.,"{38., 22., 19., 18., 18., 19., 18., 18., 18., 18., 18., 19., 19., 43., 19., 18., 18., 18., 19., 19., 19., 19., 18., 18., 18., 18., 18., 18., 18., 18., 18., 18., 18., 19., 19., 18., 18., 18., 18., 18., 18., 18., 18., 18., 18., 18., 18., 19., 19., 19.}"
"OpenFace Face Recognition Net Trained on CASIA-WebFace and FaceScrub Data","c5.large",37,37,0,50,"14/5","14/5","14/5","Catenate","Catenate","Catenate",35.,36.1667,75.,"{75., 41., 38., 37., 36., 36., 37., 36., 65., 37., 37., 37., 52., 37., 37., 36., 37., 36., 36., 36., 36., 35., 36., 36., 36., 36., 36., 36., 36., 36., 36., 36., 36., 36., 35., 36., 36., 37., 35., 36., 36., 36., 36., 37., 36., 36., 36., 36., 36., 36.}"
"OpenFace Face Recognition Net Trained on CASIA-WebFace and FaceScrub Data","c5.large",38,38,0,50,"15/1/1","15/1/1","15/1/1","Convolution","Convolution","Convolution",85.,85.6333,157.,"{157., 90., 88., 107., 88., 86., 85., 86., 85., 86., 86., 85., 85., 85., 85., 85., 85., 85., 85., 85., 86., 117., 87., 86., 86., 86., 86., 85., 86., 86., 86., 86., 86., 86., 86., 85., 86., 85., 85., 111., 87., 85., 85., 85., 85., 85., 86., 86., 87., 85.}"
"OpenFace Face Recognition Net Trained on CASIA-WebFace and FaceScrub Data","c5.large",39,39,0,50,"15/1/2","15/1/2","15/1/2","BatchNormalization","BatchNormalization","BatchNormalization",29.,30.2667,63.,"{51., 34., 32., 30., 30., 31., 30., 31., 30., 30., 30., 30., 31., 30., 30., 30., 30., 30., 30., 31., 30., 30., 30., 31., 30., 31., 30., 31., 31., 31., 30., 31., 30., 63., 31., 30., 30., 30., 30., 30., 31., 30., 52., 31., 29., 30., 30., 30., 30., 30.}"
"OpenFace Face Recognition Net Trained on CASIA-WebFace and FaceScrub Data","c5.large",40,40,0,50,"15/1/3","15/1/3","15/1/3","Elementwise","Elementwise","Elementwise",26.,26.400000000000002,43.,"{43., 29., 28., 26., 27., 27., 27., 26., 27., 26., 28., 26., 26., 27., 26., 26., 27., 26., 27., 27., 27., 26., 26., 26., 27., 26., 27., 27., 26., 26., 26., 27., 26., 26., 27., 26., 27., 26., 27., 26., 26., 26., 26., 27., 26., 26., 26., 26., 27., 26.}"
"OpenFace Face Recognition Net Trained on CASIA-WebFace and FaceScrub Data","c5.large",41,41,0,50,"15/1/4","15/1/4","15/1/4","Convolution","Convolution","Convolution",372.,378.8333,448.,"{448., 387., 376., 375., 420., 378., 375., 399., 379., 376., 375., 396., 378., 373., 405., 377., 399., 377., 375., 375., 375., 391., 376., 373., 417., 378., 373., 374., 373., 372., 373., 374., 373., 373., 372., 407., 378., 396., 381., 378., 377., 382., 388., 378., 379., 407., 379., 391., 379., 378.}"
"OpenFace Face Recognition Net Trained on CASIA-WebFace and FaceScrub Data","c5.large",42,42,0,50,"15/1/5","15/1/5","15/1/5","BatchNormalization","BatchNormalization","BatchNormalization",31.,32.5,56.,"{51., 37., 33., 33., 33., 32., 54., 35., 32., 32., 33., 33., 33., 32., 34., 33., 33., 32., 33., 33., 32., 32., 32., 33., 56., 37., 32., 33., 33., 32., 33., 32., 33., 32., 32., 33., 32., 33., 32., 32., 32., 31., 32., 32., 32., 32., 32., 32., 33., 32.}"
"OpenFace Face Recognition Net Trained on CASIA-WebFace and FaceScrub Data","c5.large",43,43,0,50,"15/1/6","15/1/6","15/1/6","Elementwise","Elementwise","Elementwise",28.,29.,50.,"{44., 31., 29., 29., 28., 29., 29., 29., 28., 29., 28., 29., 29., 29., 29., 28., 28., 50., 31., 29., 29., 29., 29., 29., 29., 29., 29., 29., 29., 29., 29., 29., 29., 29., 29., 29., 29., 29., 28., 28., 28., 28., 29., 29., 29., 29., 29., 43., 30., 29.}"
"OpenFace Face Recognition Net Trained on CASIA-WebFace and FaceScrub Data","c5.large",44,44,0,50,"15/6","15/6","15/6","Elementwise","Elementwise","Elementwise",18.,19.,41.,"{41., 23., 20., 20., 20., 19., 19., 19., 20., 19., 19., 19., 19., 19., 19., 19., 19., 19., 18., 18., 19., 19., 19., 19., 19., 19., 19., 18., 19., 19., 19., 19., 18., 19., 19., 19., 19., 18., 19., 18., 19., 19., 19., 19., 18., 19., 19., 19., 18., 19.}"
"OpenFace Face Recognition Net Trained on CASIA-WebFace and FaceScrub Data","c5.large",45,45,0,50,"15/2/1","15/2/1","15/2/1","Convolution","Convolution","Convolution",50.,51.066700000000004,113.,"{113., 55., 52., 52., 51., 51., 51., 63., 52., 51., 52., 51., 51., 51., 51., 51., 51., 51., 50., 51., 51., 51., 51., 51., 51., 51., 51., 51., 76., 53., 52., 51., 51., 51., 52., 52., 50., 51., 51., 51., 51., 51., 51., 51., 51., 51., 50., 51., 51., 50.}"
"OpenFace Face Recognition Net Trained on CASIA-WebFace and FaceScrub Data","c5.large",46,46,0,50,"15/2/2","15/2/2","15/2/2","BatchNormalization","BatchNormalization","BatchNormalization",19.,19.8667,45.,"{45., 23., 20., 20., 20., 20., 20., 20., 20., 20., 19., 20., 20., 19., 20., 20., 20., 19., 20., 20., 20., 20., 19., 20., 19., 19., 20., 19., 20., 19., 20., 19., 20., 19., 20., 20., 20., 20., 40., 21., 20., 20., 19., 20., 19., 20., 19., 20., 19., 20.}"
"OpenFace Face Recognition Net Trained on CASIA-WebFace and FaceScrub Data","c5.large",47,47,0,50,"15/2/3","15/2/3","15/2/3","Elementwise","Elementwise","Elementwise",18.,18.133300000000002,43.,"{37., 21., 19., 18., 18., 18., 18., 18., 18., 18., 18., 18., 18., 18., 18., 19., 19., 18., 18., 18., 18., 18., 18., 18., 18., 19., 19., 18., 18., 18., 18., 18., 18., 18., 18., 43., 21., 18., 19., 18., 19., 19., 19., 19., 18., 18., 18., 18., 18., 18.}"
"OpenFace Face Recognition Net Trained on CASIA-WebFace and FaceScrub Data","c5.large",48,48,0,50,"15/2/4","15/2/4","15/2/4","Convolution","Convolution","Convolution",243.,245.66670000000002,307.,"{307., 254., 246., 246., 245., 244., 245., 244., 244., 245., 243., 275., 247., 245., 244., 244., 263., 249., 244., 244., 243., 243., 244., 269., 250., 245., 280., 248., 245., 258., 246., 245., 244., 245., 243., 244., 244., 244., 244., 244., 243., 243., 273., 251., 248., 248., 248., 249., 248., 247.}"
"OpenFace Face Recognition Net Trained on CASIA-WebFace and FaceScrub Data","c5.large",49,49,0,50,"15/2/5","15/2/5","15/2/5","BatchNormalization","BatchNormalization","BatchNormalization",27.,28.2667,55.,"{46., 32., 29., 55., 30., 28., 29., 28., 28., 29., 28., 28., 28., 28., 28., 28., 28., 29., 28., 28., 28., 29., 28., 28., 28., 29., 29., 28., 28., 29., 28., 28., 28., 29., 28., 28., 29., 28., 29., 28., 28., 28., 29., 28., 27., 28., 28., 29., 28., 29.}"
"OpenFace Face Recognition Net Trained on CASIA-WebFace and FaceScrub Data","c5.large",50,50,0,50,"15/2/6","15/2/6","15/2/6","Elementwise","Elementwise","Elementwise",18.,19.,48.,"{40., 21., 20., 19., 19., 19., 19., 40., 20., 19., 19., 19., 19., 19., 18., 19., 19., 19., 18., 19., 19., 18., 19., 19., 19., 19., 18., 19., 19., 19., 19., 18., 19., 19., 18., 19., 48., 20., 19., 19., 18., 19., 19., 19., 19., 19., 19., 19., 19., 19.}"
"OpenFace Face Recognition Net Trained on CASIA-WebFace and FaceScrub Data","c5.large",51,51,0,50,"15/7","15/7","15/7","Elementwise","Elementwise","Elementwise",18.,18.2,38.,"{38., 21., 19., 19., 18., 19., 19., 18., 18., 18., 18., 18., 18., 18., 18., 18., 18., 19., 18., 19., 19., 19., 18., 18., 18., 18., 19., 19., 19., 18., 18., 19., 19., 19., 18., 18., 18., 18., 18., 18., 18., 18., 18., 18., 18., 18., 18., 18., 18., 18.}"
"OpenFace Face Recognition Net Trained on CASIA-WebFace and FaceScrub Data","c5.large",52,52,0,50,"15/3/1","15/3/1","15/3/1","Elementwise","Elementwise","Elementwise",34.,34.4333,58.,"{58., 39., 36., 35., 35., 34., 34., 35., 35., 35., 34., 34., 34., 35., 34., 35., 34., 34., 34., 35., 34., 35., 34., 34., 35., 34., 35., 35., 34., 34., 35., 34., 35., 34., 34., 35., 34., 35., 35., 35., 34., 34., 34., 35., 34., 35., 34., 34., 34., 34.}"
"OpenFace Face Recognition Net Trained on CASIA-WebFace and FaceScrub Data","c5.large",53,53,0,50,"15/3/2","15/3/2","15/3/2","Pooling","Pooling","Pooling",74.,74.8,111.,"{111., 79., 77., 75., 75., 75., 74., 76., 75., 74., 74., 75., 75., 74., 74., 75., 75., 75., 75., 75., 76., 75., 74., 75., 74., 75., 75., 75., 75., 75., 74., 75., 74., 74., 75., 74., 75., 75., 75., 74., 98., 76., 74., 74., 75., 75., 74., 75., 74., 75.}"
"OpenFace Face Recognition Net Trained on CASIA-WebFace and FaceScrub Data","c5.large",54,54,0,50,"15/3/3","15/3/3","15/3/3","Elementwise","Elementwise","Elementwise",17.,18.,46.,"{46., 22., 19., 18., 18., 18., 18., 18., 18., 18., 18., 18., 18., 18., 18., 18., 30., 19., 19., 18., 18., 18., 18., 18., 19., 18., 18., 18., 18., 18., 19., 18., 18., 18., 18., 18., 18., 18., 18., 18., 18., 18., 18., 19., 18., 18., 18., 18., 17., 18.}"
"OpenFace Face Recognition Net Trained on CASIA-WebFace and FaceScrub Data","c5.large",55,55,0,50,"15/3/4","15/3/4","15/3/4","Elementwise","Elementwise","Elementwise",36.,36.533300000000004,59.,"{59., 39., 37., 37., 37., 36., 37., 36., 36., 36., 37., 36., 37., 37., 51., 38., 36., 37., 37., 36., 37., 37., 36., 36., 36., 36., 36., 37., 36., 37., 36., 37., 38., 36., 36., 36., 37., 37., 36., 37., 36., 37., 36., 36., 37., 37., 36., 36., 37., 36.}"
"OpenFace Face Recognition Net Trained on CASIA-WebFace and FaceScrub Data","c5.large",56,56,0,50,"15/3/5","15/3/5","15/3/5","Convolution","Convolution","Convolution",36.,36.3333,82.,"{82., 38., 46., 37., 37., 37., 36., 36., 36., 36., 37., 36., 37., 36., 36., 37., 36., 37., 36., 36., 36., 37., 36., 37., 36., 37., 37., 36., 36., 37., 36., 37., 36., 37., 36., 36., 38., 36., 36., 36., 36., 36., 37., 36., 36., 36., 36., 36., 36., 37.}"
"OpenFace Face Recognition Net Trained on CASIA-WebFace and FaceScrub Data","c5.large",57,57,0,50,"15/3/6","15/3/6","15/3/6","BatchNormalization","BatchNormalization","BatchNormalization",18.,19.,45.,"{45., 23., 20., 19., 20., 19., 19., 19., 20., 20., 19., 19., 19., 19., 19., 19., 20., 19., 19., 19., 19., 18., 20., 19., 19., 19., 19., 19., 19., 19., 19., 19., 19., 19., 19., 19., 20., 19., 19., 19., 19., 19., 19., 19., 20., 19., 19., 19., 19., 19.}"
