"model_name","instance_type","start_index","end_index","sequence_length","num_runs","start_name","end_name","sequence_name","start_layer_kind","end_layer_kind","sequence_layer_kind","start_layer_path_time","mean_path_time","end_layer_path_time","raw_path_time"
"CycleGAN Photo-to-Van Gogh Translation","c5.large",1,3,2,50,"1","3","1-2-3","Elementwise","Convolution","Elementwise-Padding-Convolution",22956.,23397.4333,46194.,"{46194., 23149., 22956., 23018., 22974., 23043., 23223., 23098., 23129., 23331., 23101., 23315., 23526., 23536., 23442., 23606., 23639., 23543., 23546., 23399., 23558., 23455., 23498., 23396., 23384., 23596., 23706., 23973., 23574., 23404., 23447., 23484., 23286., 23419., 23329., 23236., 23444., 23415., 23360., 23241., 23289., 23517., 23753., 23448., 23337., 23212., 23337., 23720., 23221., 23336.}"
"CycleGAN Photo-to-Van Gogh Translation","c5.large",4,6,2,50,"4","6","4-5-6","Normalization","Padding","Normalization-Elementwise-Padding",108310.,108445.7333,112100.,"{112100., 108365., 108328., 108412., 108491., 108471., 108439., 108420., 108390., 108409., 108533., 108398., 108482., 108554., 108485., 108473., 108445., 108482., 108455., 108458., 108310., 108409., 108393., 108345., 108345., 108371., 108398., 108433., 108498., 108448., 108310., 108436., 108533., 108410., 108478., 108464., 108436., 108426., 108453., 108472., 109877., 108455., 108736., 108415., 108441., 108529., 108539., 110153., 108399., 108477.}"
"CycleGAN Photo-to-Van Gogh Translation","c5.large",7,9,2,50,"7","9","7-8-9","Convolution","Elementwise","Convolution-Normalization-Elementwise",69355.,70055.1667,78023.,"{78023., 70049., 70372., 69710., 69990., 70493., 69578., 70316., 69890., 69767., 70799., 70237., 70529., 70302., 70056., 69579., 70346., 70018., 69984., 70203., 69707., 69910., 69355., 69406., 69572., 69712., 70290., 69634., 69686., 71445., 69868., 70155., 69787., 69984., 69972., 69960., 70468., 70536., 70439., 70401., 70626., 70658., 70162., 70408., 70461., 69751., 69544., 69735., 69779., 69812.}"
"CycleGAN Photo-to-Van Gogh Translation","c5.large",10,12,2,50,"10","12","10-11-12","Padding","Normalization","Padding-Convolution-Normalization",38730.,39005.6,40822.,"{40822., 39046., 38845., 38816., 39020., 39163., 39335., 38730., 38798., 39243., 39080., 39042., 39068., 38764., 39154., 38886., 38759., 39381., 38877., 39133., 38867., 38899., 38812., 39008., 39349., 39346., 39064., 39053., 39200., 38962., 39016., 39254., 38816., 38796., 39225., 39126., 38802., 39147., 39010., 38821., 39413., 39122., 39367., 39129., 39061., 38830., 38832., 38860., 38847., 38805.}"
"CycleGAN Photo-to-Van Gogh Translation","c5.large",13,15,2,50,"13","14/1/2","13-14/1/1-14/1/2","Elementwise","Convolution","Elementwise-Padding-Convolution",24842.,25391.033300000003,34381.,"{34381., 24980., 25511., 25025., 25048., 25384., 25845., 25317., 25344., 24995., 25408., 25012., 25190., 25345., 25574., 25035., 24842., 25389., 25733., 25151., 25543., 25550., 25591., 25534., 25514., 25813., 26135., 25781., 25600., 25495., 24928., 25729., 25177., 25068., 24899., 25513., 25187., 25087., 25483., 25376., 24973., 24932., 25020., 25074., 25940., 26299., 26055., 26326., 25922., 26511.}"
"CycleGAN Photo-to-Van Gogh Translation","c5.large",16,18,2,50,"14/1/3","14/1/5","14/1/3-14/1/4-14/1/5","Normalization","Padding","Normalization-Elementwise-Padding",27107.,27183.2667,27284.,"{27260., 27171., 27192., 27194., 27223., 27240., 27173., 27169., 27179., 27211., 27228., 27171., 27159., 27206., 27177., 27214., 27175., 27214., 27249., 27192., 27161., 27141., 27133., 27166., 27145., 27167., 27133., 27155., 27190., 27159., 27190., 27199., 27204., 27264., 27239., 27228., 27178., 27186., 27167., 27253., 27284., 27226., 27195., 27144., 27141., 27133., 27149., 27161., 27136., 27107.}"
"CycleGAN Photo-to-Van Gogh Translation","c5.large",19,19,0,50,"14/1/6","14/1/6","14/1/6","Convolution","Convolution","Convolution",23738.,24103.9667,25514.,"{25514., 24462., 24465., 25145., 24661., 24366., 23999., 23927., 23875., 23891., 24211., 23970., 24049., 24383., 23989., 23996., 23900., 23982., 23952., 23946., 23891., 24048., 24056., 24873., 24162., 24229., 24636., 24187., 24574., 24421., 23851., 24067., 23902., 23878., 24119., 24006., 24139., 23959., 23988., 23948., 24133., 24681., 24765., 24328., 23921., 23738., 24048., 23956., 24235., 24247.}"
"CycleGAN Photo-to-Van Gogh Translation","c5.large",20,20,0,50,"14/1/7","14/1/7","14/1/7","Normalization","Normalization","Normalization",26121.,26184.2667,26276.,"{26226., 26160., 26191., 26178., 26216., 26187., 26229., 26233., 26243., 26242., 26251., 26230., 26276., 26242., 26195., 26177., 26219., 26249., 26187., 26173., 26192., 26175., 26193., 26169., 26171., 26172., 26149., 26156., 26186., 26183., 26173., 26229., 26135., 26179., 26121., 26173., 26172., 26182., 26143., 26190., 26158., 26181., 26162., 26162., 26193., 26158., 26192., 26168., 26173., 26131.}"
"CycleGAN Photo-to-Van Gogh Translation","c5.large",21,23,2,50,"14/2","15/1/2","14/2-15/1/1-15/1/2","Total","Convolution","Total-Padding-Convolution",24727.,25041.6667,26574.,"{26574., 25224., 25064., 24759., 24920., 25001., 24954., 25215., 25217., 25207., 24727., 24845., 24811., 24827., 25194., 25097., 24954., 25121., 25091., 25146., 24986., 25299., 24900., 25159., 24955., 24815., 25164., 24935., 25061., 25552., 25636., 24983., 24825., 24793., 24929., 24949., 25000., 24865., 24940., 25217., 25183., 25376., 25012., 25097., 25117., 25210., 24978., 24976., 24954., 25123.}"
"CycleGAN Photo-to-Van Gogh Translation","c5.large",24,26,2,50,"15/1/3","15/1/5","15/1/3-15/1/4-15/1/5","Normalization","Padding","Normalization-Elementwise-Padding",27094.,27147.9333,27246.,"{27246., 27171., 27182., 27162., 27171., 27166., 27213., 27207., 27196., 27209., 27157., 27155., 27175., 27172., 27118., 27161., 27112., 27145., 27132., 27123., 27120., 27115., 27128., 27149., 27132., 27191., 27169., 27140., 27155., 27170., 27123., 27133., 27157., 27131., 27136., 27094., 27156., 27130., 27138., 27130., 27104., 27158., 27139., 27175., 27139., 27130., 27150., 27133., 27143., 27119.}"
