"model_name","instance_type","start_index","end_index","sequence_length","num_runs","start_name","end_name","sequence_name","start_layer_kind","end_layer_kind","sequence_layer_kind","start_layer_path_time","mean_path_time","end_layer_path_time","raw_path_time"
"Age Estimation VGG-16 Trained on IMDB-WIKI and Looking at People Data","c4.2xlarge",1,1,0,50,"conv1_1","conv1_1","conv1_1","Convolution","Convolution","Convolution",3214.,3343.1667,11993.,"{11993., 5992., 5993., 6166., 6174., 6169., 6036., 6090., 4496., 3547., 3499., 3458., 3434., 3388., 3377., 3423., 3453., 3401., 3464., 3399., 3337., 3372., 3309., 3332., 3307., 3326., 3287., 3315., 3244., 3244., 3305., 3295., 3244., 3268., 3227., 3244., 3335., 3292., 3248., 3265., 3297., 3294., 3295., 3254., 3223., 3240., 3214., 3248., 3260., 3254.}"
"Age Estimation VGG-16 Trained on IMDB-WIKI and Looking at People Data","c4.2xlarge",2,2,0,50,"relu1_1","relu1_1","relu1_1","Elementwise","Elementwise","Elementwise",1659.,2144.3,8336.,"{8336., 2014., 1968., 1924., 1927., 1886., 1905., 1891., 1931., 1904., 1939., 1897., 1914., 1874., 1659., 1767., 1709., 1801., 1715., 1761., 1705., 1699., 1799., 1755., 1864., 2111., 2427., 2500., 2483., 2505., 2395., 2494., 2517., 2364., 2497., 2442., 2396., 2427., 2333., 2412., 2385., 2485., 2479., 2555., 2570., 2496., 2309., 2337., 2096., 2095.}"
"Age Estimation VGG-16 Trained on IMDB-WIKI and Looking at People Data","c4.2xlarge",3,3,0,50,"conv1_2","conv1_2","conv1_2","Convolution","Convolution","Convolution",47368.,47532.,107062.,"{107062., 47635., 47668., 47598., 47463., 47559., 47587., 47451., 47473., 47500., 47555., 47585., 47563., 47486., 47502., 47401., 47619., 48137., 48113., 48276., 48203., 48732., 48256., 48078., 47841., 47585., 47464., 47501., 47431., 47431., 47542., 47398., 47471., 47697., 47630., 47532., 47450., 47458., 47429., 47475., 47368., 47455., 47473., 47455., 47443., 47484., 47536., 47502., 47480., 47579.}"
"Age Estimation VGG-16 Trained on IMDB-WIKI and Looking at People Data","c4.2xlarge",4,4,0,50,"relu1_2","relu1_2","relu1_2","Elementwise","Elementwise","Elementwise",1658.,1816.2333,2985.,"{2985., 2587., 2474., 2482., 2485., 2413., 2486., 2490., 2421., 2434., 2398., 2155., 1768., 1837., 1717., 1848., 1739., 1864., 1767., 1763., 1683., 1678., 1826., 1836., 1843., 1687., 1764., 1683., 1741., 1724., 1710., 1685., 1688., 1829., 1746., 1746., 1675., 1823., 1832., 1812., 1826., 1720., 1804., 1693., 1798., 1718., 1721., 1671., 1658., 1812.}"
"Age Estimation VGG-16 Trained on IMDB-WIKI and Looking at People Data","c4.2xlarge",5,5,0,50,"pool1","pool1","pool1","Pooling","Pooling","Pooling",4457.,4472.4667,7247.,"{7247., 4546., 4477., 4475., 4475., 4473., 4469., 4478., 4489., 4478., 4478., 4467., 4479., 4473., 4471., 4469., 4485., 4469., 4473., 4521., 4475., 4479., 4468., 4465., 4475., 4473., 4472., 4481., 4471., 4471., 4471., 4466., 4482., 4473., 4468., 4472., 4470., 4463., 4469., 4461., 4457., 4468., 4463., 4469., 4474., 4473., 4470., 4470., 4466., 4480.}"
"Age Estimation VGG-16 Trained on IMDB-WIKI and Looking at People Data","c4.2xlarge",6,6,0,50,"conv2_1","conv2_1","conv2_1","Convolution","Convolution","Convolution",13977.,14153.7667,33198.,"{33198., 21259., 14269., 14404., 14431., 14431., 14333., 14468., 14523., 14524., 14393., 14310., 14391., 14526., 14343., 14340., 14288., 14221., 14168., 14158., 14085., 14038., 14082., 14080., 14078., 14029., 14177., 14094., 14074., 14078., 14079., 14132., 14036., 14106., 14060., 14116., 14064., 14102., 14075., 14115., 14121., 14034., 14010., 14019., 14008., 13994., 14022., 14016., 14017., 13977.}"
"Age Estimation VGG-16 Trained on IMDB-WIKI and Looking at People Data","c4.2xlarge",7,7,0,50,"relu2_1","relu2_1","relu2_1","Elementwise","Elementwise","Elementwise",697.,705.0333,997.,"{997., 762., 702., 715., 740., 726., 706., 708., 705., 713., 701., 698., 698., 702., 698., 721., 700., 715., 705., 704., 703., 711., 703., 703., 702., 702., 719., 700., 699., 699., 697., 706., 740., 709., 705., 708., 705., 723., 700., 698., 698., 699., 698., 724., 702., 713., 702., 700., 723., 701.}"
"Age Estimation VGG-16 Trained on IMDB-WIKI and Looking at People Data","c4.2xlarge",8,8,0,50,"conv2_2","conv2_2","conv2_2","Convolution","Convolution","Convolution",27236.,27350.1333,52316.,"{52316., 27241., 27281., 27326., 27298., 27318., 27390., 27320., 27297., 27372., 27356., 27366., 27397., 27369., 27329., 27319., 27360., 27319., 27312., 27336., 27236., 27355., 27350., 27333., 27364., 27392., 27329., 27302., 27307., 27343., 27350., 27367., 27339., 27314., 27327., 27366., 27359., 27291., 27378., 27412., 27438., 27518., 27679., 27678., 27636., 29372., 27328., 27367., 27467., 27377.}"
"Age Estimation VGG-16 Trained on IMDB-WIKI and Looking at People Data","c4.2xlarge",9,9,0,50,"relu2_2","relu2_2","relu2_2","Elementwise","Elementwise","Elementwise",716.,722.0667000000001,985.,"{985., 766., 717., 716., 756., 732., 723., 718., 717., 719., 756., 720., 716., 717., 717., 746., 718., 717., 720., 728., 720., 728., 718., 718., 717., 717., 748., 722., 722., 721., 723., 749., 731., 723., 721., 720., 720., 745., 724., 721., 721., 727., 751., 723., 727., 723., 720., 723., 718., 720.}"
"Age Estimation VGG-16 Trained on IMDB-WIKI and Looking at People Data","c4.2xlarge",10,10,0,50,"pool2","pool2","pool2","Pooling","Pooling","Pooling",2284.,2304.4667,2379.,"{2379., 2320., 2284., 2315., 2287., 2313., 2319., 2289., 2315., 2286., 2315., 2286., 2318., 2315., 2285., 2317., 2290., 2315., 2315., 2285., 2319., 2284., 2317., 2284., 2316., 2319., 2285., 2314., 2285., 2321., 2287., 2300., 2319., 2289., 2314., 2284., 2316., 2314., 2288., 2317., 2286., 2314., 2288., 2316., 2315., 2287., 2322., 2285., 2315., 2285.}"
"Age Estimation VGG-16 Trained on IMDB-WIKI and Looking at People Data","c4.2xlarge",11,11,0,50,"conv3_1","conv3_1","conv3_1","Convolution","Convolution","Convolution",9813.,9865.566700000001,13791.,"{13791., 10055., 9953., 9927., 9906., 9911., 9876., 9891., 9876., 9896., 9840., 9907., 9838., 9871., 9839., 9880., 9872., 9843., 9856., 9861., 9854., 9901., 9934., 9833., 9856., 9831., 9863., 9822., 9827., 9829., 9839., 9859., 9856., 9860., 9860., 9873., 9869., 9883., 9862., 9868., 9854., 9813., 9896., 9881., 9858., 9892., 9842., 9853., 9814., 9862.}"
"Age Estimation VGG-16 Trained on IMDB-WIKI and Looking at People Data","c4.2xlarge",12,12,0,50,"relu3_1","relu3_1","relu3_1","Elementwise","Elementwise","Elementwise",369.,371.93330000000003,528.,"{528., 377., 372., 370., 371., 370., 370., 370., 370., 369., 370., 398., 371., 370., 370., 369., 370., 372., 372., 371., 371., 397., 371., 370., 369., 369., 370., 371., 369., 370., 369., 396., 378., 373., 374., 375., 374., 375., 374., 373., 374., 373., 387., 374., 374., 375., 373., 373., 374., 373.}"
"Age Estimation VGG-16 Trained on IMDB-WIKI and Looking at People Data","c4.2xlarge",13,13,0,50,"conv3_2","conv3_2","conv3_2","Convolution","Convolution","Convolution",20114.,20246.9,20350.,"{20280., 20265., 20292., 20303., 20252., 20277., 20255., 20269., 20257., 20270., 20279., 20350., 20348., 20289., 20308., 20278., 20256., 20223., 20176., 20178., 20196., 20204., 20203., 20185., 20187., 20227., 20239., 20241., 20259., 20264., 20282., 20226., 20207., 20219., 20210., 20230., 20308., 20230., 20206., 20216., 20219., 20229., 20204., 20253., 20313., 20322., 20321., 20292., 20114., 20174.}"
"Age Estimation VGG-16 Trained on IMDB-WIKI and Looking at People Data","c4.2xlarge",14,14,0,50,"relu3_2","relu3_2","relu3_2","Elementwise","Elementwise","Elementwise",359.,362.70000000000005,487.,"{487., 385., 366., 365., 366., 364., 366., 382., 362., 360., 361., 361., 359., 362., 361., 360., 359., 401., 361., 362., 362., 360., 361., 361., 361., 361., 361., 360., 403., 362., 360., 361., 362., 363., 361., 359., 359., 360., 409., 369., 365., 365., 363., 364., 366., 365., 364., 365., 363., 409.}"
"Age Estimation VGG-16 Trained on IMDB-WIKI and Looking at People Data","c4.2xlarge",15,15,0,50,"conv3_3","conv3_3","conv3_3","Convolution","Convolution","Convolution",20015.,20264.333300000002,20611.,"{20573., 20566., 20537., 20611., 20533., 20534., 20580., 20570., 20461., 20389., 20342., 20254., 20273., 20218., 20207., 20170., 20224., 20292., 20269., 20259., 20252., 20212., 20223., 20246., 20298., 20239., 20295., 20321., 20236., 20267., 20283., 20282., 20227., 20289., 20261., 20285., 20283., 20283., 20282., 20209., 20266., 20153., 20174., 20201., 20205., 20226., 20231., 20191., 20224., 20015.}"
"Age Estimation VGG-16 Trained on IMDB-WIKI and Looking at People Data","c4.2xlarge",16,16,0,50,"relu3_3","relu3_3","relu3_3","Elementwise","Elementwise","Elementwise",358.,359.2667,429.,"{429., 365., 361., 380., 364., 360., 360., 359., 359., 359., 359., 358., 360., 359., 383., 360., 359., 359., 360., 359., 360., 359., 359., 359., 359., 370., 360., 358., 358., 358., 359., 359., 359., 359., 359., 374., 361., 358., 359., 359., 358., 358., 358., 358., 359., 359., 382., 360., 358., 359.}"
"Age Estimation VGG-16 Trained on IMDB-WIKI and Looking at People Data","c4.2xlarge",17,17,0,50,"pool3","pool3","pool3","Pooling","Pooling","Pooling",1209.,1218.9333000000001,1245.,"{1230., 1215., 1213., 1241., 1213., 1210., 1239., 1213., 1212., 1237., 1213., 1214., 1236., 1213., 1211., 1209., 1239., 1212., 1210., 1244., 1216., 1216., 1244., 1216., 1214., 1242., 1217., 1218., 1214., 1235., 1215., 1215., 1244., 1216., 1216., 1245., 1216., 1215., 1243., 1214., 1217., 1220., 1217., 1218., 1214., 1245., 1215., 1214., 1242., 1216.}"
"Age Estimation VGG-16 Trained on IMDB-WIKI and Looking at People Data","c4.2xlarge",18,18,0,50,"conv4_1","conv4_1","conv4_1","Convolution","Convolution","Convolution",8177.,8218.9667,8350.,"{8350., 8243., 8242., 8231., 8214., 8261., 8221., 8235., 8222., 8204., 8239., 8227., 8219., 8196., 8197., 8221., 8201., 8332., 8220., 8203., 8190., 8231., 8228., 8214., 8228., 8215., 8239., 8238., 8223., 8249., 8202., 8201., 8220., 8198., 8189., 8199., 8177., 8207., 8228., 8236., 8204., 8222., 8252., 8217., 8253., 8210., 8199., 8200., 8227., 8197.}"
"Age Estimation VGG-16 Trained on IMDB-WIKI and Looking at People Data","c4.2xlarge",19,19,0,50,"relu4_1","relu4_1","relu4_1","Elementwise","Elementwise","Elementwise",210.,212.0333,251.,"{251., 216., 214., 213., 213., 213., 213., 213., 212., 212., 212., 212., 239., 213., 212., 212., 211., 211., 212., 212., 212., 211., 213., 211., 212., 212., 212., 211., 212., 236., 214., 211., 211., 211., 212., 212., 211., 211., 213., 212., 211., 211., 212., 212., 212., 211., 210., 223., 213., 211.}"
"Age Estimation VGG-16 Trained on IMDB-WIKI and Looking at People Data","c4.2xlarge",20,20,0,50,"conv4_2","conv4_2","conv4_2","Convolution","Convolution","Convolution",16140.,16438.2,16992.,"{16421., 16228., 16204., 16179., 16140., 16175., 16260., 16214., 16195., 16186., 16199., 16192., 16375., 16170., 16205., 16227., 16155., 16172., 16204., 16182., 16197., 16702., 16336., 16230., 16488., 16913., 16981., 16992., 16838., 16826., 16963., 16957., 16779., 16850., 16836., 16891., 16897., 16839., 16908., 16896., 16881., 16838., 16800., 16300., 16256., 16281., 16278., 16398., 16299., 16238.}"
"Age Estimation VGG-16 Trained on IMDB-WIKI and Looking at People Data","c4.2xlarge",21,21,0,50,"relu4_2","relu4_2","relu4_2","Elementwise","Elementwise","Elementwise",216.,218.3333,250.,"{250., 223., 219., 219., 219., 219., 220., 219., 219., 219., 218., 217., 218., 234., 221., 218., 217., 218., 218., 219., 217., 217., 217., 218., 218., 218., 219., 218., 218., 217., 218., 245., 218., 220., 218., 218., 219., 218., 217., 216., 220., 218., 218., 217., 218., 218., 218., 218., 230., 219.}"
"Age Estimation VGG-16 Trained on IMDB-WIKI and Looking at People Data","c4.2xlarge",22,22,0,50,"conv4_3","conv4_3","conv4_3","Convolution","Convolution","Convolution",16311.,16452.866700000002,16762.,"{16635., 16365., 16391., 16412., 16393., 16359., 16396., 16377., 16355., 16411., 16370., 16326., 16349., 16397., 16393., 16557., 16445., 16762., 16755., 16664., 16578., 16452., 16386., 16723., 16702., 16659., 16517., 16481., 16453., 16612., 16505., 16452., 16398., 16462., 16458., 16533., 16536., 16546., 16499., 16571., 16392., 16393., 16329., 16343., 16311., 16371., 16449., 16441., 16553., 16508.}"
