"model_name","instance_type","start_index","end_index","sequence_length","num_runs","start_name","end_name","sequence_name","start_layer_kind","end_layer_kind","sequence_layer_kind","start_layer_path_time","mean_path_time","end_layer_path_time","raw_path_time"
<<<<<<< HEAD
"CycleGAN Photo-to-Monet Translation","c5.2xlarge",1,4,3,50,"1","4","1-2-3-4","Elementwise","Normalization","Elementwise-Padding-Convolution-Normalization",114676.,114866.5,139678.,"{139678., 115020., 114965., 114877., 114969., 114822., 114970., 114711., 115008., 114780., 114853., 114869., 114846., 115079., 114724., 114708., 114979., 114772., 114856., 114912., 114835., 114854., 114837., 114808., 114926., 114821., 114886., 114768., 114954., 114813., 114845., 114916., 114836., 114845., 114932., 114853., 114841., 114890., 114869., 114755., 114676., 114822., 114963., 114907., 114758., 114875., 114699., 114877., 114930., 114942.}"
"CycleGAN Photo-to-Monet Translation","c5.2xlarge",5,8,3,50,"5","8","5-6-7-8","Elementwise","Elementwise","Elementwise-Convolution-Normalization-Elementwise",59590.,59729.366700000006,68600.,"{68600., 59915., 59739., 59749., 59691., 59761., 59731., 59730., 59784., 59698., 59837., 59689., 59652., 59684., 59734., 59659., 59690., 59686., 59771., 59665., 59713., 59874., 59767., 59886., 59746., 59895., 59860., 59904., 59752., 59795., 59824., 59795., 59694., 59719., 59688., 59610., 59650., 59770., 59747., 59759., 59696., 59737., 59724., 59736., 59679., 59663., 59660., 59679., 59590., 59701.}"
"CycleGAN Photo-to-Monet Translation","c5.2xlarge",9,12,3,50,"9","12/1/1","9-10-11-12/1/1","Convolution","Padding","Convolution-Normalization-Elementwise-Padding",29870.,29971.066700000003,34722.,"{34722., 30279., 30097., 30016., 30004., 30038., 29982., 29970., 30011., 29945., 29892., 29953., 29997., 29893., 29958., 29940., 29935., 30016., 29874., 29969., 29870., 30002., 29944., 29919., 29881., 29964., 29891., 29962., 30019., 29970., 29950., 29973., 29931., 29956., 29992., 29970., 29994., 29998., 29991., 30011., 29923., 29967., 29934., 30018., 29949., 30014., 30009., 29975., 29954., 29948.}"
"CycleGAN Photo-to-Monet Translation","c5.2xlarge",13,16,3,50,"12/1/2","12/1/5","12/1/2-12/1/3-12/1/4-12/1/5","Convolution","Padding","Convolution-Normalization-Elementwise-Padding",32749.,32868.9,41478.,"{41478., 33152., 32974., 32901., 33014., 32823., 32902., 32931., 32991., 32840., 32853., 32958., 32810., 32761., 32866., 32907., 32932., 32862., 32968., 32847., 32829., 32905., 32749., 32849., 32800., 32991., 32866., 32814., 32970., 32836., 32801., 32810., 32933., 32856., 32821., 33006., 32835., 32774., 32794., 32904., 32783., 32807., 32971., 32797., 32909., 32830., 32927., 32800., 32795., 32904.}"
"CycleGAN Photo-to-Monet Translation","c5.2xlarge",17,17,0,50,"12/1/6","12/1/6","12/1/6","Convolution","Convolution","Convolution",5684.,5766.8333,6477.,"{6477., 6312., 5895., 5865., 5863., 5853., 5882., 5784., 5719., 5802., 5736., 5848., 5765., 5757., 5745., 5744., 5906., 5735., 5880., 5719., 5684., 5704., 5704., 5816., 5754., 5865., 5741., 5730., 5704., 5731., 5838., 5765., 5797., 5774., 5710., 5741., 5732., 5845., 5713., 5754., 5728., 5708., 5741., 5734., 5850., 5751., 5696., 5736., 5706., 5812.}"
"CycleGAN Photo-to-Monet Translation","c5.2xlarge",18,18,0,50,"12/1/7","12/1/7","12/1/7","Normalization","Normalization","Normalization",25945.,26034.5,26135.,"{26135., 26033., 25996., 26088., 26074., 26088., 26026., 25999., 26067., 26011., 26027., 26077., 26067., 26053., 26050., 25952., 26001., 26045., 26048., 26061., 26031., 25974., 26068., 26024., 25964., 25983., 25962., 26029., 26071., 26024., 26030., 26060., 25945., 26079., 25966., 26035., 26068., 26023., 26074., 26073., 26026., 26079., 25964., 26021., 25967., 26068., 26054., 25999., 25991., 25951.}"
"CycleGAN Photo-to-Monet Translation","c5.2xlarge",19,22,3,50,"12/2","13/1/3","12/2-13/1/1-13/1/2-13/1/3","Total","Normalization","Total-Padding-Convolution-Normalization",32844.,32989.1333,33740.,"{33740., 33325., 33094., 33086., 33026., 33082., 32941., 33097., 33048., 32977., 32999., 33049., 33078., 32953., 33069., 32981., 32958., 32949., 33097., 32925., 32945., 33176., 32903., 32890., 32950., 32950., 32848., 32866., 33108., 32905., 32914., 32988., 33019., 32931., 32934., 33087., 32926., 32908., 33078., 33015., 32844., 32945., 32947., 32949., 32955., 33104., 33006., 32920., 33092., 32940.}"
"CycleGAN Photo-to-Monet Translation","c5.2xlarge",23,26,3,50,"13/1/4","13/1/7","13/1/4-13/1/5-13/1/6-13/1/7","Elementwise","Normalization","Elementwise-Padding-Convolution-Normalization",32665.,32769.200000000004,41418.,"{41418., 33017., 32913., 32903., 33014., 32729., 32829., 32831., 32781., 32759., 32829., 32909., 32745., 32756., 32851., 32750., 32753., 32741., 32920., 32706., 32698., 32716., 32921., 32695., 32747., 32822., 32679., 32750., 32675., 32865., 32771., 32744., 32861., 32761., 32686., 32737., 32790., 32713., 32741., 32736., 32731., 32678., 32677., 32871., 32665., 32801., 32712., 32890., 32670., 32724.}"
"CycleGAN Photo-to-Monet Translation","c5.2xlarge",27,30,3,50,"13/2","14/1/3","13/2-14/1/1-14/1/2-14/1/3","Total","Normalization","Total-Padding-Convolution-Normalization",32897.,33012.966700000004,33682.,"{33682., 33418., 33146., 33135., 33115., 32979., 33043., 33155., 32941., 33091., 33146., 33089., 32982., 33038., 33065., 32918., 32975., 33137., 32898., 32982., 33050., 32913., 32954., 33076., 33041., 33042., 32942., 33040., 32955., 32947., 33145., 32935., 32907., 33091., 32897., 33028., 32960., 33055., 33052., 32903., 33047., 32991., 32979., 33092., 32946., 32911., 32974., 32984., 32973., 32960.}"
"CycleGAN Photo-to-Monet Translation","c5.2xlarge",31,34,3,50,"14/1/4","14/1/7","14/1/4-14/1/5-14/1/6-14/1/7","Elementwise","Normalization","Elementwise-Padding-Convolution-Normalization",32657.,32826.433300000004,33340.,"{33340., 33153., 32962., 32885., 32802., 32944., 32860., 32801., 32813., 32957., 32720., 32787., 32892., 32714., 32786., 32807., 32872., 32820., 32757., 32891., 32794., 32764., 32792., 32883., 32789., 32830., 32968., 32828., 32658., 32729., 32900., 32749., 32768., 32946., 32672., 32916., 32675., 32869., 32724., 32787., 32806., 32908., 32657., 32852., 32857., 32799., 32850., 32774., 32861., 32874.}"
"CycleGAN Photo-to-Monet Translation","c5.2xlarge",35,38,3,50,"14/2","15/1/3","14/2-15/1/1-15/1/2-15/1/3","Total","Normalization","Total-Padding-Convolution-Normalization",32863.,33040.933300000004,33584.,"{33584., 33568., 33219., 33180., 33216., 33036., 33098., 33117., 32914., 33129., 32995., 33177., 32993., 32982., 33204., 32939., 33022., 33194., 33016., 33102., 33141., 33064., 33052., 33007., 33129., 33023., 32923., 33154., 33043., 32928., 33210., 32958., 33027., 33039., 32863., 33019., 32965., 33006., 33055., 32988., 33100., 32958., 32922., 33116., 32916., 32906., 33061., 32960., 32985., 32918.}"
"CycleGAN Photo-to-Monet Translation","c5.2xlarge",39,42,3,50,"15/1/4","15/1/7","15/1/4-15/1/5-15/1/6-15/1/7","Elementwise","Normalization","Elementwise-Padding-Convolution-Normalization",32670.,32840.5,33427.,"{33427., 33164., 33054., 32929., 32858., 33114., 32872., 32811., 32872., 32827., 32687., 32866., 32917., 32765., 32860., 32846., 32977., 32772., 32807., 32940., 32769., 32739., 32909., 32826., 32846., 32670., 32890., 32884., 32801., 32785., 32881., 32689., 32870., 32905., 32719., 32755., 32839., 32899., 32726., 32804., 32994., 32707., 32701., 32888., 32973., 32751., 32789., 32898., 32821., 32711.}"
"CycleGAN Photo-to-Monet Translation","c5.2xlarge",43,46,3,50,"15/2","16/1/3","15/2-16/1/1-16/1/2-16/1/3","Total","Normalization","Total-Padding-Convolution-Normalization",32878.,33022.5667,33572.,"{33572., 33548., 33282., 33141., 33184., 33068., 33003., 33083., 33070., 32973., 33066., 33007., 32994., 32983., 33077., 33047., 33007., 33060., 32993., 33069., 33099., 32982., 33006., 32989., 32974., 33021., 32964., 33117., 32913., 33012., 33119., 32919., 32942., 33036., 32974., 33046., 33018., 33110., 32962., 32898., 33224., 32898., 32910., 33052., 32994., 33012., 33050., 33011., 32927., 32878.}"
"CycleGAN Photo-to-Monet Translation","c5.2xlarge",47,50,3,50,"16/1/4","16/1/7","16/1/4-16/1/5-16/1/6-16/1/7","Elementwise","Normalization","Elementwise-Padding-Convolution-Normalization",32652.,32797.200000000004,33323.,"{33323., 33049., 33110., 32865., 32835., 32898., 32805., 32757., 32755., 32884., 32796., 32738., 32887., 32720., 32843., 32722., 32800., 32743., 32726., 32773., 32766., 32738., 32847., 32879., 32743., 32743., 32765., 32781., 32776., 32796., 32969., 32767., 32705., 32805., 32924., 32702., 32789., 32954., 32910., 32759., 32752., 32910., 32704., 32734., 32891., 32652., 32854., 32729., 32856., 32757.}"
"CycleGAN Photo-to-Monet Translation","c5.2xlarge",51,54,3,50,"16/2","17/1/3","16/2-17/1/1-17/1/2-17/1/3","Total","Normalization","Total-Padding-Convolution-Normalization",32838.,33004.2333,33645.,"{33645., 33371., 33231., 33066., 33013., 33051., 33083., 32986., 33129., 33068., 32944., 33086., 32900., 32914., 33004., 33063., 32912., 32948., 33151., 32906., 33015., 33075., 32996., 33026., 32991., 32989., 33018., 32993., 33048., 32972., 33025., 33020., 33046., 32951., 33114., 32916., 32938., 33013., 33038., 32948., 32943., 33094., 32902., 32928., 33011., 32859., 32897., 32925., 33090., 32838.}"
"CycleGAN Photo-to-Monet Translation","c5.2xlarge",55,58,3,50,"17/1/4","17/1/7","17/1/4-17/1/5-17/1/6-17/1/7","Elementwise","Normalization","Elementwise-Padding-Convolution-Normalization",32681.,32805.3333,33542.,"{33542., 33071., 32924., 32981., 32770., 32835., 32896., 32827., 32800., 32748., 32923., 32758., 32744., 32882., 32690., 32859., 32760., 32888., 32739., 32833., 32773., 32771., 32746., 32753., 32871., 32733., 32786., 32822., 32823., 32737., 32835., 32864., 32713., 32681., 32847., 32842., 32781., 32725., 32956., 32753., 32817., 32694., 32909., 32813., 32798., 32946., 32690., 32798., 32740., 32851.}"
"CycleGAN Photo-to-Monet Translation","c5.2xlarge",59,62,3,50,"17/2","18/1/3","17/2-18/1/1-18/1/2-18/1/3","Total","Normalization","Total-Padding-Convolution-Normalization",32877.,33012.,33617.,"{33617., 33245., 33263., 33097., 33069., 33063., 33024., 33001., 32955., 33097., 33090., 33015., 33143., 33019., 32951., 33043., 32938., 33040., 33018., 33049., 33111., 32993., 33020., 32918., 33066., 33125., 32978., 32930., 33036., 32951., 32995., 32932., 33061., 32927., 32915., 33109., 32942., 32877., 32993., 32987., 32942., 32910., 33117., 32953., 32971., 33050., 33055., 32920., 32981., 32991.}"
"CycleGAN Photo-to-Monet Translation","c5.2xlarge",63,66,3,50,"18/1/4","18/1/7","18/1/4-18/1/5-18/1/6-18/1/7","Elementwise","Normalization","Elementwise-Padding-Convolution-Normalization",32677.,32795.1667,33531.,"{33531., 33043., 32861., 32867., 32938., 32787., 32883., 32899., 32808., 32765., 32740., 32800., 32765., 32778., 32872., 32754., 32774., 32751., 32941., 32737., 32807., 32898., 32716., 32753., 32750., 32889., 32702., 32729., 32860., 32755., 32765., 32746., 32966., 32728., 32749., 32828., 32829., 32747., 32771., 32894., 32677., 32721., 32815., 32913., 32711., 32710., 32945., 32817., 32683., 32769.}"
