"model_name","instance_type","start_index","end_index","sequence_length","num_runs","start_name","end_name","sequence_name","start_layer_kind","end_layer_kind","sequence_layer_kind","start_layer_path_time","mean_path_time","end_layer_path_time","raw_path_time"
"Pix2pix Street-Map-to-Photo Translation","c5n.xlarge",1,7,6,50,"56","36","56-50-41-43-45-34-36","Elementwise","Convolution","Elementwise-Convolution-Elementwise-Convolution-Normalization-Elementwise-Convolution",44999.,45929.2667,96007.,"{96007., 78400., 69123., 65220., 65349., 73330., 77648., 77811., 63611., 45640., 46213., 46341., 46107., 45721., 45989., 46083., 45586., 45473., 46043., 45565., 45126., 45598., 45823., 45576., 45185., 45216., 45519., 45792., 45736., 45683., 45494., 45469., 45479., 46282., 45617., 45358., 45240., 45218., 44999., 45115., 45488., 46008., 46056., 46042., 46063., 46124., 46466., 46700., 47044., 47124.}"
"Pix2pix Street-Map-to-Photo Translation","c5n.xlarge",8,14,6,50,"38","24","38-27-29-31-20-22-24","Normalization","Normalization","Normalization-Elementwise-Convolution-Normalization-Elementwise-Convolution-Normalization",30531.,30690.366700000002,31196.,"{31196., 30912., 30894., 30788., 30694., 30692., 30699., 30666., 30761., 30786., 30841., 30864., 30789., 30669., 30596., 30542., 30574., 30563., 30546., 30572., 30576., 30691., 30725., 30631., 30628., 30550., 30579., 30531., 30691., 30741., 30809., 30789., 30807., 30753., 30739., 30725., 30743., 30709., 30659., 30667., 30711., 30859., 30807., 30664., 30580., 30619., 30573., 30613., 30613., 30669.}"
"Pix2pix Street-Map-to-Photo Translation","c5n.xlarge",15,21,6,50,"12","1","12-14-16-4-6-8-1","Elementwise","Elementwise","Elementwise-Convolution-Normalization-Elementwise-Convolution-Normalization-Elementwise",3029.,3110.4667,3619.,"{3619., 3327., 3239., 3141., 3209., 3117., 3122., 3099., 3144., 3254., 3199., 3149., 3205., 3133., 3200., 3096., 3124., 3146., 3106., 3096., 3122., 3049., 3085., 3089., 3074., 3052., 3029., 3093., 3144., 3076., 3070., 3103., 3109., 3049., 3090., 3040., 3133., 3201., 3076., 3047., 3153., 3130., 3096., 3105., 3041., 3076., 3164., 3065., 3079., 3082.}"
"Pix2pix Street-Map-to-Photo Translation","c5n.xlarge",22,22,0,50,"2","2","2","Convolution","Convolution","Convolution",470.,478.1333,752.,"{752., 671., 528., 522., 476., 470., 473., 472., 478., 472., 477., 499., 475., 476., 478., 476., 491., 488., 480., 500., 475., 474., 470., 471., 474., 474., 475., 475., 517., 476., 481., 474., 475., 475., 472., 474., 515., 481., 495., 479., 480., 479., 479., 476., 510., 478., 486., 475., 478., 478.}"
"Pix2pix Street-Map-to-Photo Translation","c5n.xlarge",23,23,0,50,"3","3","3","Elementwise","Elementwise","Elementwise",24.,24.666700000000002,71.,"{71., 28., 26., 25., 25., 25., 24., 25., 25., 24., 25., 25., 50., 25., 24., 24., 25., 24., 25., 25., 25., 24., 25., 24., 25., 24., 25., 25., 25., 25., 24., 25., 24., 25., 24., 25., 24., 25., 24., 25., 24., 25., 24., 25., 24., 25., 24., 24., 24., 24.}"
"Pix2pix Street-Map-to-Photo Translation","c5n.xlarge",24,24,0,50,"5","5","5","Deconvolution","Deconvolution","Deconvolution",1079.,1111.9,1237.,"{1237., 1195., 1176., 1119., 1097., 1115., 1131., 1096., 1113., 1119., 1101., 1092., 1079., 1121., 1093., 1094., 1128., 1106., 1085., 1094., 1135., 1110., 1096., 1110., 1132., 1101., 1132., 1130., 1114., 1100., 1099., 1129., 1099., 1107., 1126., 1131., 1111., 1093., 1130., 1107., 1099., 1133., 1102., 1097., 1128., 1124., 1106., 1109., 1121., 1106.}"
"Pix2pix Street-Map-to-Photo Translation","c5n.xlarge",25,25,0,50,"7","7","7","Normalization","Normalization","Normalization",153.,154.63330000000002,180.,"{180., 158., 155., 155., 154., 155., 155., 155., 155., 155., 155., 155., 176., 156., 155., 154., 154., 154., 155., 154., 155., 155., 154., 155., 155., 154., 154., 154., 155., 154., 154., 154., 154., 154., 155., 155., 155., 170., 156., 155., 155., 155., 154., 154., 155., 154., 154., 154., 153., 154.}"
"Pix2pix Street-Map-to-Photo Translation","c5n.xlarge",26,26,0,50,"9","9","9","Dropout","Dropout","Dropout",24.,24.400000000000002,55.,"{55., 27., 25., 24., 24., 24., 25., 25., 24., 25., 24., 25., 24., 24., 25., 24., 24., 24., 25., 25., 24., 24., 25., 24., 24., 24., 25., 24., 25., 24., 24., 34., 25., 24., 25., 25., 24., 24., 25., 24., 25., 24., 25., 24., 24., 25., 24., 24., 25., 24.}"
"Pix2pix Street-Map-to-Photo Translation","c5n.xlarge",27,27,0,50,"10","10","10","Catenate","Catenate","Catenate",41.,41.7,75.,"{75., 45., 42., 42., 42., 41., 41., 41., 41., 62., 42., 42., 41., 41., 42., 41., 41., 41., 41., 41., 42., 41., 42., 41., 41., 42., 41., 41., 42., 41., 41., 42., 42., 42., 42., 42., 42., 42., 42., 42., 42., 42., 42., 42., 42., 42., 43., 41., 42., 42.}"
"Pix2pix Street-Map-to-Photo Translation","c5n.xlarge",28,28,0,50,"11","11","11","Elementwise","Elementwise","Elementwise",24.,25.,46.,"{46., 28., 26., 25., 25., 25., 25., 25., 25., 25., 24., 25., 25., 25., 25., 25., 25., 24., 25., 25., 25., 25., 25., 25., 25., 25., 25., 25., 25., 25., 25., 25., 25., 25., 25., 25., 25., 25., 25., 24., 25., 24., 25., 25., 25., 25., 25., 25., 25., 24.}"
