"model_name","instance_type","start_index","end_index","sequence_length","num_runs","start_name","end_name","sequence_name","start_layer_kind","end_layer_kind","sequence_layer_kind","start_layer_path_time","mean_path_time","end_layer_path_time","raw_path_time"
"Very Deep Net for Super-Resolution","c5n.xlarge",1,2,1,50,"conv1","relu2","conv1-relu2","Convolution","Elementwise","Convolution-Elementwise",5208.,5323.9667,19317.,"{19317., 10882., 10652., 7664., 5330., 5282., 5314., 5257., 5395., 5458., 5331., 5264., 5280., 5287., 5217., 5248., 5233., 5306., 5241., 5271., 5305., 5353., 5281., 5314., 5208., 5388., 5329., 5327., 5298., 5329., 5391., 5370., 5352., 5297., 5332., 5378., 5369., 5328., 5390., 5268., 5379., 5315., 5317., 5305., 5296., 5303., 5290., 5314., 5425., 5573.}"
"Very Deep Net for Super-Resolution","c5n.xlarge",3,4,1,50,"conv2","relu3","conv2-relu3","Convolution","Elementwise","Convolution-Elementwise",86555.,87823.,154808.,"{154808., 88492., 86863., 86555., 86670., 87794., 88076., 88428., 88329., 88470., 88194., 87315., 86939., 87125., 87935., 87774., 87761., 88433., 87736., 87576., 88232., 88603., 88275., 88148., 87620., 86792., 86666., 87662., 87835., 87743., 87863., 88350., 88512., 86912., 87032., 86866., 87013., 87619., 88508., 88161., 88294., 87932., 87498., 86958., 87156., 88163., 87809., 87843., 88190., 88608.}"
"Very Deep Net for Super-Resolution","c5n.xlarge",5,6,1,50,"conv3","relu4","conv3-relu4","Convolution","Elementwise","Convolution-Elementwise",86672.,87928.2,152125.,"{152125., 88619., 87694., 87168., 87503., 87637., 88114., 87992., 87965., 88427., 87513., 88231., 87741., 87749., 88230., 89019., 88954., 89206., 89137., 88347., 88028., 87522., 87896., 88051., 87931., 88026., 88331., 87501., 88576., 88640., 88414., 88419., 87758., 87014., 86925., 87707., 87999., 87971., 88194., 88559., 87526., 87609., 87425., 87148., 87373., 87219., 87020., 86932., 86672., 88247.}"
"Very Deep Net for Super-Resolution","c5n.xlarge",7,8,1,50,"conv4","relu5","conv4-relu5","Convolution","Elementwise","Convolution-Elementwise",89223.,90464.76670000001,154404.,"{154404., 90704., 89912., 89226., 89356., 90235., 90514., 90529., 90502., 90834., 89730., 89448., 90495., 90929., 90977., 90657., 91183., 90781., 89524., 90177., 90647., 90645., 90681., 90808., 90739., 89851., 89223., 89690., 89944., 90768., 90898., 90734., 90610., 89913., 89423., 90000., 90504., 90334., 90406., 91070., 90267., 91000., 91024., 90672., 90811., 90269., 89498., 89763., 90939., 90938.}"
"Very Deep Net for Super-Resolution","c5n.xlarge",9,10,1,50,"conv5","relu6","conv5-relu6","Convolution","Elementwise","Convolution-Elementwise",89050.,90364.6,154970.,"{154970., 89913., 89179., 89259., 89329., 89393., 90922., 90725., 90509., 90518., 90034., 89321., 89790., 90279., 90439., 90183., 90409., 90191., 90750., 90875., 91262., 91040., 90315., 89875., 89809., 90100., 91141., 91184., 90442., 90820., 89965., 89369., 89050., 90421., 90035., 90846., 90859., 90744., 90404., 89712., 90808., 89902., 90254., 90045., 90234., 90910., 90587., 91004., 90592., 90599.}"
"Very Deep Net for Super-Resolution","c5n.xlarge",11,12,1,50,"conv6","relu7","conv6-relu7","Convolution","Elementwise","Convolution-Elementwise",86787.,88026.8667,89501.,"{88329., 87461., 87596., 88250., 87785., 87736., 88003., 88635., 87201., 87499., 86787., 86830., 87274., 88435., 88462., 88507., 88103., 87539., 86882., 87699., 87911., 87784., 87928., 88187., 88487., 89170., 89501., 88853., 88253., 87871., 87323., 87250., 88080., 87852., 87994., 88130., 88055., 87590., 87428., 88086., 87987., 87944., 88934., 89082., 88414., 88226., 88293., 88284., 88607., 88486.}"
"Very Deep Net for Super-Resolution","c5n.xlarge",13,14,1,50,"conv7","relu8","conv7-relu8","Convolution","Elementwise","Convolution-Elementwise",86382.,88097.2333,89404.,"{88110., 88089., 88534., 87614., 87595., 88502., 88660., 89190., 88910., 88669., 88589., 87853., 88099., 88024., 87898., 88200., 88683., 87434., 87800., 88246., 88419., 88241., 88160., 88136., 87994., 88617., 87543., 87042., 86382., 86973., 87053., 86565., 88066., 87895., 86590., 86571., 87540., 87064., 88306., 88498., 87699., 87901., 88408., 89404., 89358., 89366., 89098., 88837., 88278., 87603.}"
"Very Deep Net for Super-Resolution","c5n.xlarge",15,16,1,50,"conv8","relu9","conv8-relu9","Convolution","Elementwise","Convolution-Elementwise",90511.,91272.70000000001,91988.,"{90687., 90638., 90660., 91276., 90643., 90511., 91017., 91206., 91581., 91739., 91720., 91673., 91265., 91483., 91356., 90738., 90997., 90924., 91244., 91988., 90890., 91560., 91693., 91611., 91571., 91505., 91183., 91132., 91185., 91203., 91229., 91310., 91778., 90795., 90636., 90808., 90968., 91489., 91805., 91698., 91445., 91343., 91438., 91306., 91130., 91230., 91053., 91181., 91835., 91371.}"
"Very Deep Net for Super-Resolution","c5n.xlarge",17,18,1,50,"conv9","relu10","conv9-relu10","Convolution","Elementwise","Convolution-Elementwise",90054.,90714.03330000001,91460.,"{90894., 90522., 90860., 90891., 91432., 91405., 91460., 91194., 91458., 90556., 91026., 90875., 91005., 91094., 90848., 90834., 90401., 90467., 90694., 90822., 90593., 90464., 90523., 90623., 90965., 91187., 90893., 90104., 90256., 90279., 90453., 90465., 90396., 90842., 90601., 90349., 90654., 90480., 90449., 90361., 90054., 90657., 90650., 90903., 90951., 90694., 91087., 91054., 90630., 90565.}"
"Very Deep Net for Super-Resolution","c5n.xlarge",19,20,1,50,"conv10","relu11","conv10-relu11","Convolution","Elementwise","Convolution-Elementwise",87971.,88721.9333,91204.,"{88356., 88541., 88323., 88384., 87971., 88582., 89104., 91204., 89127., 88793., 88791., 88576., 88601., 88454., 88703., 88514., 88665., 89325., 89248., 88953., 89277., 88789., 88821., 88476., 88568., 88545., 88211., 88481., 88960., 88654., 88426., 88133., 88162., 88105., 88875., 89124., 89090., 88995., 89184., 89117., 88858., 88752., 88577., 88305., 88501., 89176., 88473., 88914., 89341., 89052.}"
"Very Deep Net for Super-Resolution","c5n.xlarge",21,22,1,50,"conv11","relu12","conv11-relu12","Convolution","Elementwise","Convolution-Elementwise",86942.,88678.1667,89675.,"{89283., 89155., 88609., 88852., 88789., 88958., 88743., 88658., 89675., 87457., 87249., 86942., 87082., 87433., 88660., 88703., 88441., 88360., 87508., 87189., 88720., 88680., 88586., 88570., 88598., 89457., 89265., 89327., 89190., 88774., 89125., 88685., 88502., 88573., 88725., 88221., 88622., 88112., 87593., 87347., 87416., 88488., 89170., 89268., 89218., 89010., 88708., 89248., 88820., 88898.}"
"Very Deep Net for Super-Resolution","c5n.xlarge",23,24,1,50,"conv12","relu13","conv12-relu13","Convolution","Elementwise","Convolution-Elementwise",89597.,91013.8333,91995.,"{91026., 90921., 91409., 91444., 90743., 90578., 91675., 91964., 91995., 91792., 91017., 90995., 91055., 91185., 91234., 90726., 91139., 91239., 91142., 90969., 90686., 90410., 90910., 91500., 91625., 91730., 91359., 90992., 91355., 91024., 91100., 90974., 90984., 91248., 90592., 90673., 90395., 90928., 90597., 90721., 90491., 90546., 90629., 91016., 91475., 91518., 91016., 90603., 90288., 89597.}"
"Very Deep Net for Super-Resolution","c5n.xlarge",25,26,1,50,"conv13","relu14","conv13-relu14","Convolution","Elementwise","Convolution-Elementwise",90255.,90974.4667,91666.,"{90284., 90990., 90814., 90968., 91530., 90541., 91015., 90737., 90360., 90571., 91512., 91604., 91610., 91154., 91221., 91433., 91112., 90996., 90986., 90687., 90948., 91309., 91639., 91666., 91502., 91023., 90692., 90475., 90825., 90853., 90893., 90873., 91174., 90694., 90501., 90255., 90275., 90393., 91382., 91527., 91587., 91264., 90894., 90794., 90964., 90874., 90638., 90870., 90795., 91547.}"
"Very Deep Net for Super-Resolution","c5n.xlarge",27,28,1,50,"conv14","relu15","conv14-relu15","Convolution","Elementwise","Convolution-Elementwise",86772.,88293.03330000001,89326.,"{89079., 88926., 88925., 88684., 88183., 88172., 88256., 88570., 88393., 88469., 88704., 88810., 88660., 88308., 88163., 88161., 88521., 89326., 89242., 88976., 88954., 88612., 88257., 88500., 88542., 88607., 88485., 88677., 88100., 88220., 88320., 87803., 87958., 88048., 87793., 88010., 87926., 87885., 87861., 88176., 88175., 88008., 88084., 88046., 88110., 87909., 87852., 87744., 87661., 86772.}"
"Very Deep Net for Super-Resolution","c5n.xlarge",29,30,1,50,"conv15","relu16","conv15-relu16","Convolution","Elementwise","Convolution-Elementwise",86880.,88315.2333,89424.,"{87775., 87297., 87044., 86880., 88497., 88556., 88368., 88211., 87868., 88081., 88394., 88232., 88118., 88080., 88105., 88369., 88424., 88194., 88348., 88106., 88443., 88141., 88225., 88118., 88127., 88097., 88501., 88590., 88286., 88222., 88125., 88194., 88236., 88182., 88794., 88200., 88494., 88540., 88305., 88414., 88985., 89231., 89424., 89338., 88939., 89103., 89006., 88403., 88652., 88684.}"
"Very Deep Net for Super-Resolution","c5n.xlarge",31,32,1,50,"conv16","relu17","conv16-relu17","Convolution","Elementwise","Convolution-Elementwise",89614.,91301.03330000001,92357.,"{91044., 91970., 91837., 91814., 91771., 91450., 91128., 91211., 91117., 91285., 90702., 90653., 91012., 90013., 89755., 89614., 90858., 90955., 91563., 91897., 91695., 91667., 91467., 91856., 91277., 91097., 91038., 91332., 91529., 92357., 92135., 91786., 91547., 91497., 91221., 91207., 91328., 91078., 91079., 90921., 91417., 91295., 91230., 90879., 90892., 90543., 91051., 91696., 91596., 91618.}"
"Very Deep Net for Super-Resolution","c5n.xlarge",33,34,1,50,"conv17","relu18","conv17-relu18","Convolution","Elementwise","Convolution-Elementwise",90245.,91130.1,94125.,"{91765., 94125., 91689., 91269., 90898., 90808., 90678., 91428., 91732., 91857., 91613., 91233., 91011., 91083., 91107., 90931., 90819., 90786., 90751., 91399., 90565., 90413., 90485., 90670., 90829., 91656., 91637., 91936., 91205., 90850., 91081., 91185., 91107., 91168., 90925., 91746., 91584., 91586., 91808., 91381., 91401., 90846., 90893., 90761., 90833., 90695., 91020., 91624., 90262., 90245.}"
"Very Deep Net for Super-Resolution","c5n.xlarge",35,36,1,50,"conv18","relu19","conv18-relu19","Convolution","Elementwise","Convolution-Elementwise",87026.,88599.03330000001,89472.,"{88239., 88104., 88454., 88989., 89112., 89032., 88719., 87626., 87026., 87092., 87844., 87719., 88159., 88279., 88358., 88235., 88640., 88941., 88936., 88701., 89018., 88830., 88589., 88442., 88257., 88405., 88378., 88504., 88832., 88446., 88117., 88220., 88312., 88367., 89041., 89096., 89052., 88908., 89131., 89472., 88725., 89044., 88537., 88470., 88152., 89278., 88846., 88991., 88871., 88770.}"
"Very Deep Net for Super-Resolution","c5n.xlarge",37,38,1,50,"conv19","relu20","conv19-relu20","Convolution","Elementwise","Convolution-Elementwise",86865.,88243.,89283.,"{89139., 88220., 89082., 88832., 88500., 88521., 88555., 88877., 88600., 88525., 88020., 88194., 88157., 88061., 88027., 87696., 88333., 88254., 88391., 87831., 86865., 87415., 88832., 88659., 88632., 88860., 88570., 87376., 87141., 88177., 87961., 88058., 88025., 88461., 87509., 86994., 87212., 87308., 88190., 89283., 88789., 88623., 88320., 87725., 87036., 87562., 88200., 88347., 88116., 88883.}"
