"model_name","instance_type","start_index","end_index","sequence_length","num_runs","start_name","end_name","sequence_name","start_layer_kind","end_layer_kind","sequence_layer_kind","start_layer_path_time","mean_path_time","end_layer_path_time","raw_path_time"
"ColorNet Image Colorization Trained on Places Data","c5.xlarge",1,6,5,50,"1/1","1/6","1/1-1/2-1/3-1/4-1/5-1/6","Convolution","Elementwise","Convolution-Elementwise-Convolution-Elementwise-Convolution-Elementwise",22836.,23401.366700000002,43116.,"{43116., 23775., 23557., 23570., 23460., 23562., 23549., 23590., 23391., 23691., 23345., 23288., 23700., 23135., 23681., 23307., 23502., 23550., 23369., 23363., 23615., 23761., 23161., 23071., 23516., 23577., 23010., 23301., 23497., 23018., 23356., 23349., 23344., 23302., 23428., 23297., 23904., 23590., 23381., 23419., 23319., 23244., 23389., 23127., 22982., 23150., 23256., 23058., 22836., 23253.}"
"ColorNet Image Colorization Trained on Places Data","c5.xlarge",7,12,5,50,"1/7","1/12","1/7-1/8-1/9-1/10-1/11-1/12","Convolution","Elementwise","Convolution-Elementwise-Convolution-Elementwise-Convolution-Elementwise",24030.,24273.0667,32686.,"{32686., 24298., 24502., 24196., 24496., 24167., 24309., 24112., 24152., 24282., 24261., 24511., 24313., 24194., 24134., 24290., 24277., 24030., 24439., 24385., 24586., 24369., 24169., 24231., 24099., 24290., 24353., 24182., 24371., 24228., 24220., 24287., 24555., 24588., 24167., 24255., 24271., 24391., 24387., 24283., 24469., 24271., 24091., 24246., 24169., 24160., 24140., 24211., 24237., 24357.}"
"ColorNet Image Colorization Trained on Places Data","c5.xlarge",13,13,0,50,"1/13","1/13","1/13","Convolution","Convolution","Convolution",16297.,16432.866700000002,23562.,"{23562., 16725., 16746., 16390., 16389., 16465., 16324., 16467., 16391., 16433., 16397., 16400., 16324., 16600., 16340., 16455., 16456., 16398., 16405., 16515., 16310., 16403., 16316., 16500., 16356., 16411., 16453., 16398., 16672., 16600., 16495., 16481., 16449., 16420., 16433., 16297., 16466., 16355., 16414., 16354., 16435., 16326., 16697., 16463., 16494., 16649., 16513., 16448., 16421., 16330.}"
"ColorNet Image Colorization Trained on Places Data","c5.xlarge",14,14,0,50,"1/14","1/14","1/14","Elementwise","Elementwise","Elementwise",172.,172.7333,229.,"{229., 183., 174., 173., 174., 174., 173., 173., 172., 173., 173., 172., 172., 186., 173., 191., 173., 174., 173., 172., 173., 173., 172., 173., 172., 173., 174., 174., 172., 173., 172., 172., 173., 172., 172., 173., 173., 183., 172., 172., 173., 172., 173., 173., 172., 172., 172., 172., 173., 172.}"
"ColorNet Image Colorization Trained on Places Data","c5.xlarge",15,15,0,50,"1/15","1/15","1/15","Convolution","Convolution","Convolution",9572.,9707.2667,16991.,"{16991., 9991., 9885., 9823., 9799., 9766., 9696., 9763., 9773., 9706., 9741., 9674., 9694., 9641., 9800., 9706., 9758., 9865., 9815., 9755., 9728., 9696., 9618., 9768., 9660., 9647., 9651., 9611., 9682., 9669., 9650., 9649., 9668., 9746., 9651., 9772., 9633., 9674., 9702., 9667., 9781., 9752., 9817., 9669., 9631., 9723., 9636., 9572., 9600., 9658.}"
"ColorNet Image Colorization Trained on Places Data","c5.xlarge",16,16,0,50,"1/16","1/16","1/16","Elementwise","Elementwise","Elementwise",98.,99.1333,141.,"{141., 103., 100., 100., 111., 99., 100., 99., 99., 99., 100., 99., 99., 99., 99., 99., 99., 99., 99., 99., 98., 99., 99., 99., 99., 120., 98., 99., 99., 99., 99., 100., 99., 99., 99., 99., 100., 99., 99., 99., 100., 100., 99., 99., 99., 99., 100., 99., 99., 100.}"
"ColorNet Image Colorization Trained on Places Data","c5.xlarge",17,22,5,50,"2/1","2/6","2/1-2/2-2/3-2/4-2/5-2/6","Resize","Convolution","Resize-Convolution-Elementwise-Convolution-Elementwise-Convolution",24372.,24731.2333,26208.,"{26208., 24792., 24716., 24581., 24475., 24728., 24849., 25257., 24515., 24526., 24443., 24718., 24860., 24566., 24538., 24751., 24457., 24539., 24592., 24534., 24397., 24520., 24583., 24793., 24776., 24702., 24581., 24697., 24448., 24504., 24584., 24372., 24421., 24813., 24961., 24757., 24991., 24725., 25006., 24808., 24965., 24951., 24960., 25008., 25048., 25126., 25154., 25042., 25128., 25093.}"
"ColorNet Image Colorization Trained on Places Data","c5.xlarge",23,28,5,50,"2/7","2/12","2/7-2/8-2/9-2/10-2/11-2/12","Elementwise","Convolution","Elementwise-Convolution-Elementwise-Convolution-Elementwise-Convolution",24646.,25076.5,25522.,"{25309., 25253., 24783., 24646., 24723., 25306., 24908., 24856., 24813., 25522., 24943., 25027., 24912., 24967., 24828., 24900., 25229., 25105., 24792., 24933., 24968., 25264., 24877., 24908., 25223., 25186., 25234., 24954., 25047., 25085., 25304., 25201., 25132., 25065., 25179., 25295., 25305., 25180., 25098., 25004., 24996., 25518., 25229., 25140., 25039., 25080., 25144., 25082., 25155., 25084.}"
"ColorNet Image Colorization Trained on Places Data","c5.xlarge",29,34,5,50,"2/13","2/18","2/13-2/14-2/15-2/16-2/17-2/18","Elementwise","Convolution","Elementwise-Convolution-Elementwise-Convolution-Elementwise-Convolution",11624.,11776.2333,11930.,"{11930., 11732., 11759., 11697., 11851., 11787., 11799., 11755., 11765., 11748., 11789., 11757., 11778., 11849., 11742., 11809., 11760., 11755., 11807., 11811., 11624., 11792., 11758., 11772., 11782., 11845., 11789., 11801., 11750., 11744., 11830., 11714., 11713., 11766., 11817., 11806., 11725., 11822., 11890., 11776., 11641., 11757., 11768., 11756., 11826., 11783., 11747., 11793., 11783., 11787.}"
"ColorNet Image Colorization Trained on Places Data","c5.xlarge",35,40,5,50,"2/19","2/24","2/19-2/20-2/21-2/22-2/23-2/24","Elementwise","Elementwise","Elementwise-Convolution-Elementwise-Flatten-Linear-Elementwise",6055.,6156.6333,6482.,"{6482., 6314., 6161., 6231., 6217., 6157., 6203., 6096., 6207., 6143., 6095., 6130., 6115., 6121., 6203., 6075., 6202., 6177., 6095., 6185., 6068., 6131., 6121., 6055., 6127., 6134., 6157., 6190., 6140., 6223., 6277., 6210., 6230., 6131., 6195., 6167., 6144., 6192., 6143., 6151., 6169., 6121., 6124., 6091., 6153., 6173., 6130., 6305., 6145., 6080.}"
