"model_name","instance_type","start_index","end_index","sequence_length","num_runs","start_name","end_name","sequence_name","start_layer_kind","end_layer_kind","sequence_layer_kind","start_layer_path_time","mean_path_time","end_layer_path_time","raw_path_time"
"U-Net Trained on Glioblastoma-Astrocytoma U373 Cells on a Polyacrylamide Substrate Data","c5.large",1,5,4,50,"contract_1/conv_1","contract_1/cropping","contract_1/conv_1-contract_1/relu_1-contract_1/conv_2-contract_1/relu_2-contract_1/cropping","Convolution","Part","Convolution-Elementwise-Convolution-Elementwise-Part",467814.,468913.1667,856807.,"{856807., 468815., 469006., 468257., 468116., 467814., 468516., 469210., 468800., 469327., 469197., 470027., 468519., 502250., 469310., 468546., 468095., 469891., 469147., 468385., 469285., 468527., 468452., 468631., 469077., 469159., 468200., 467929., 468655., 468900., 469334., 468840., 471672., 469535., 490269., 469104., 468914., 469488., 468868., 468855., 468377., 468973., 468864., 469403., 468337., 468540., 469493., 469652., 467981., 468621.}"
"U-Net Trained on Glioblastoma-Astrocytoma U373 Cells on a Polyacrylamide Substrate Data","c5.large",6,10,4,50,"contract_1/pooling","contract_2/relu_2","contract_1/pooling-contract_2/conv_1-contract_2/relu_1-contract_2/conv_2-contract_2/relu_2","Pooling","Elementwise","Pooling-Convolution-Elementwise-Convolution-Elementwise",471422.,473700.96670000005,742037.,"{742037., 473508., 475142., 473346., 472590., 473789., 472407., 471984., 472889., 473241., 474690., 472215., 475350., 474963., 478132., 473854., 472079., 474264., 472914., 471422., 471425., 473362., 473566., 473559., 474266., 472090., 472839., 471995., 473157., 485003., 481421., 474019., 475445., 472134., 475051., 473099., 472379., 475072., 473996., 473566., 476752., 475782., 473332., 472465., 472908., 476164., 474650., 471496., 474946., 474721.}"
"U-Net Trained on Glioblastoma-Astrocytoma U373 Cells on a Polyacrylamide Substrate Data","c5.large",11,11,0,50,"contract_2/cropping","contract_2/cropping","contract_2/cropping","Part","Part","Part",8179.,8374.7333,27095.,"{27095., 8782., 8550., 8346., 8407., 8533., 8539., 8391., 8248., 8356., 8249., 8201., 8394., 8384., 8276., 8304., 8342., 8364., 8306., 8296., 8382., 8367., 8244., 8228., 8278., 8441., 8304., 8319., 8261., 8244., 8340., 8396., 8423., 8439., 8454., 8516., 8642., 8565., 8461., 8430., 8422., 8696., 8572., 8408., 8375., 8236., 8179., 8313., 8450., 8350.}"
"U-Net Trained on Glioblastoma-Astrocytoma U373 Cells on a Polyacrylamide Substrate Data","c5.large",12,16,4,50,"contract_2/pooling","contract_3/relu_2","contract_2/pooling-contract_3/conv_1-contract_3/relu_1-contract_3/conv_2-contract_3/relu_2","Pooling","Elementwise","Pooling-Convolution-Elementwise-Convolution-Elementwise",314655.,315822.5,449208.,"{449208., 316232., 315849., 315663., 315652., 315507., 315131., 316030., 316699., 315630., 315525., 315601., 315045., 315569., 317383., 316270., 316325., 315135., 315630., 314855., 315296., 318159., 315809., 315354., 316993., 316279., 316811., 315779., 314655., 315241., 316184., 316615., 316999., 315843., 316329., 315571., 315726., 315429., 316521., 315257., 315352., 316522., 315979., 317634., 314681., 315396., 315482., 316084., 315865., 315562.}"
"U-Net Trained on Glioblastoma-Astrocytoma U373 Cells on a Polyacrylamide Substrate Data","c5.large",17,17,0,50,"contract_3/cropping","contract_3/cropping","contract_3/cropping","Part","Part","Part",3715.,3924.8,4849.,"{4849., 4631., 4328., 4226., 4062., 3974., 3935., 4001., 3996., 3994., 4043., 4073., 4018., 4027., 3895., 3935., 3932., 3934., 3926., 3908., 3878., 3853., 3970., 4160., 4029., 3917., 3857., 3815., 3876., 3966., 3964., 3942., 3918., 3950., 3854., 3797., 3832., 3814., 3835., 3784., 3810., 3852., 3889., 3824., 3823., 3715., 3851., 3907., 3939., 3913.}"
"U-Net Trained on Glioblastoma-Astrocytoma U373 Cells on a Polyacrylamide Substrate Data","c5.large",18,22,4,50,"contract_3/pooling","contract_4/relu_2","contract_3/pooling-contract_4/conv_1-contract_4/relu_1-contract_4/conv_2-contract_4/relu_2","Pooling","Elementwise","Pooling-Convolution-Elementwise-Convolution-Elementwise",234165.,235005.06670000002,289382.,"{289382., 235216., 237397., 235234., 234821., 234391., 234187., 235656., 236656., 235605., 234591., 234717., 234689., 234906., 236459., 235318., 235048., 234624., 234165., 234582., 235643., 235940., 234989., 234710., 234357., 234275., 234890., 234660., 235765., 234973., 235774., 234437., 235045., 234592., 234701., 234845., 234652., 235132., 235015., 234789., 235073., 235134., 240255., 235036., 236896., 236286., 234878., 234850., 234763., 235164.}"
"U-Net Trained on Glioblastoma-Astrocytoma U373 Cells on a Polyacrylamide Substrate Data","c5.large",23,23,0,50,"contract_4/drop","contract_4/drop","contract_4/drop","Dropout","Dropout","Dropout",766.,825.7667,1457.,"{1457., 1418., 1220., 955., 852., 849., 787., 829., 831., 832., 852., 846., 865., 844., 844., 794., 788., 774., 772., 813., 775., 770., 767., 766., 814., 801., 793., 783., 800., 838., 823., 834., 825., 810., 858., 830., 834., 836., 879., 822., 806., 798., 796., 854., 859., 857., 832., 815., 856., 819.}"
"U-Net Trained on Glioblastoma-Astrocytoma U373 Cells on a Polyacrylamide Substrate Data","c5.large",24,24,0,50,"contract_4/cropping","contract_4/cropping","contract_4/cropping","Part","Part","Part",1582.,1768.9667000000002,2551.,"{2551., 2301., 2060., 1895., 1893., 1836., 1877., 1816., 1873., 1825., 1832., 1742., 1842., 1796., 1774., 1845., 1789., 1826., 1814., 1862., 1801., 1864., 1786., 1845., 1786., 1843., 1768., 1710., 1730., 1665., 1703., 1674., 1704., 1685., 1699., 1723., 1714., 1754., 1710., 1760., 1715., 1642., 1727., 1685., 1676., 1670., 1699., 1608., 1582., 1622.}"
"U-Net Trained on Glioblastoma-Astrocytoma U373 Cells on a Polyacrylamide Substrate Data","c5.large",25,29,4,50,"contract_4/pooling","ubase/ramp_2","contract_4/pooling-ubase/conv_1-ubase/ramp_1-ubase/conv_2-ubase/ramp_2","Pooling","Elementwise","Pooling-Convolution-Elementwise-Convolution-Elementwise",162672.,162902.2667,163660.,"{163138., 162845., 163051., 162800., 162722., 162913., 162960., 162984., 163068., 163224., 162962., 163660., 162886., 162838., 162956., 162923., 162870., 163239., 162887., 162823., 162996., 162772., 163013., 162763., 162963., 163015., 162932., 162856., 162935., 162964., 162875., 162995., 162672., 162775., 162685., 162753., 162874., 162738., 162729., 163097., 163152., 162836., 163007., 162747., 162961., 162722., 162838., 162684., 163115., 162829.}"
"U-Net Trained on Glioblastoma-Astrocytoma U373 Cells on a Polyacrylamide Substrate Data","c5.large",30,30,0,50,"ubase/drop","ubase/drop","ubase/drop","Dropout","Dropout","Dropout",285.,288.90000000000003,513.,"{513., 443., 332., 292., 286., 287., 285., 286., 287., 308., 288., 286., 311., 288., 286., 287., 287., 287., 298., 287., 285., 286., 286., 286., 286., 314., 288., 301., 291., 289., 289., 290., 290., 289., 289., 289., 289., 289., 316., 289., 289., 288., 304., 289., 289., 290., 289., 294., 289., 289.}"
