"model_name","instance_type","start_index","end_index","sequence_length","num_runs","start_name","end_name","sequence_name","start_layer_kind","end_layer_kind","sequence_layer_kind","start_layer_path_time","mean_path_time","end_layer_path_time","raw_path_time"
"CapsNet Trained on MNIST Data","c5.xlarge",1,9,8,50,"ReLUConv1/1","PrimaryCaps/4/4","ReLUConv1/1-ReLUConv1/2-PrimaryCaps/1-PrimaryCaps/2-PrimaryCaps/3-PrimaryCaps/4/1-PrimaryCaps/4/2-PrimaryCaps/4/3-PrimaryCaps/4/4","Convolution","Replicate","Convolution-Elementwise-Convolution-Transpose-Reshape-Elementwise-Aggregation-Elementwise-Replicate",4636.,4720.6333,5312.,"{5312., 4951., 4791., 4749., 4675., 4753., 4748., 4737., 4759., 4675., 4720., 4686., 4702., 4652., 4666., 4701., 5309., 4794., 4748., 4745., 4685., 4636., 4708., 4648., 4672., 4714., 4677., 4736., 4691., 4699., 4669., 4674., 4738., 4714., 4771., 4736., 4684., 4732., 4674., 4727., 4822., 4805., 4897., 4808., 4829., 4696., 4682., 4681., 4766., 4734.}"
"CapsNet Trained on MNIST Data","c5.xlarge",10,10,0,50,"PrimaryCaps/4/5","PrimaryCaps/4/5","PrimaryCaps/4/5","Threading","Threading","Threading",23.,23.9667,52.,"{52., 26., 25., 24., 24., 23., 24., 24., 24., 24., 23., 24., 24., 24., 24., 24., 24., 24., 23., 24., 23., 24., 24., 24., 24., 23., 24., 24., 24., 24., 24., 23., 24., 24., 24., 24., 23., 24., 24., 24., 23., 24., 23., 24., 24., 35., 24., 25., 23., 23.}"
"CapsNet Trained on MNIST Data","c5.xlarge",11,11,0,50,"PrimaryPredVects/2","PrimaryPredVects/2","PrimaryPredVects/2","ConstantArray","ConstantArray","ConstantArray",14988.,15040.400000000001,15286.,"{15286., 15239., 15100., 15082., 15025., 15099., 15119., 15152., 15115., 15087., 15079., 15067., 15138., 15025., 15037., 15026., 15063., 15053., 15021., 15028., 15046., 15112., 15008., 15059., 15023., 14994., 14995., 15003., 15035., 15019., 15022., 15008., 15026., 15104., 15089., 15046., 15019., 14988., 15083., 14994., 14999., 15003., 15004., 15004., 15008., 15022., 15024., 15022., 15045., 15023.}"
"CapsNet Trained on MNIST Data","c5.xlarge",12,12,0,50,"PrimaryPredVects/1","PrimaryPredVects/1","PrimaryPredVects/1","Replicate","Replicate","Replicate",44749.,44780.6667,44890.,"{44817., 44784., 44763., 44804., 44802., 44770., 44788., 44783., 44778., 44772., 44773., 44815., 44771., 44833., 44807., 44764., 44890., 44796., 44775., 44773., 44790., 44765., 44767., 44788., 44773., 44770., 44816., 44783., 44775., 44773., 44783., 44887., 44799., 44803., 44788., 44785., 44887., 44795., 44752., 44768., 44778., 44761., 44764., 44785., 44749., 44767., 44770., 44756., 44764., 44785.}"
"CapsNet Trained on MNIST Data","c5.xlarge",13,13,0,50,"PrimaryPredVects/3","PrimaryPredVects/3","PrimaryPredVects/3","Threading","Threading","Threading",841.,859.3000000000001,1502.,"{1502., 1408., 1149., 960., 875., 857., 854., 908., 854., 852., 855., 853., 884., 848., 851., 853., 880., 850., 874., 856., 851., 907., 850., 846., 848., 843., 869., 855., 848., 850., 892., 846., 849., 845., 841., 874., 859., 857., 860., 860., 883., 854., 867., 859., 891., 855., 856., 853., 853., 887.}"
"CapsNet Trained on MNIST Data","c5.xlarge",14,14,0,50,"PrimaryPredVects/4","PrimaryPredVects/4","PrimaryPredVects/4","Aggregation","Aggregation","Aggregation",29885.,29959.333300000002,30023.,"{29990., 29966., 29943., 30016., 29965., 29965., 29885., 29936., 29956., 30023., 29978., 29972., 29962., 29954., 29927., 30003., 29977., 29973., 29917., 29948., 29948., 29992., 29904., 29980., 29947., 29977., 29943., 29965., 29952., 30002., 29946., 29983., 29997., 29972., 29890., 29965., 29901., 29928., 29974., 29961., 29939., 29929., 29986., 29951., 29999., 29931., 29997., 29951., 29892., 29906.}"
"CapsNet Trained on MNIST Data","c5.xlarge",15,15,0,50,"DynamicRouting/1","DynamicRouting/1","DynamicRouting/1","Replicate","Replicate","Replicate",10710.,10721.6,10790.,"{10790., 10719., 10712., 10734., 10710., 10721., 10714., 10716., 10721., 10719., 10716., 10739., 10723., 10719., 10724., 10719., 10724., 10723., 10719., 10723., 10715., 10723., 10735., 10731., 10720., 10728., 10717., 10720., 10728., 10711., 10728., 10725., 10719., 10722., 10724., 10729., 10713., 10723., 10716., 10718., 10722., 10720., 10725., 10757., 10729., 10716., 10722., 10736., 10715., 10722.}"
"CapsNet Trained on MNIST Data","c5.xlarge",16,16,0,50,"DynamicRouting/2/Net/capsule/c/1","DynamicRouting/2/Net/capsule/c/1","DynamicRouting/2/Net/capsule/c/1","Reshape","Reshape","Reshape",22.,25.,49.,"{49., 26., 26., 25., 25., 25., 26., 25., 26., 24., 26., 25., 25., 26., 25., 25., 25., 25., 25., 25., 25., 25., 25., 25., 25., 26., 26., 25., 25., 25., 25., 25., 25., 25., 25., 25., 25., 25., 26., 44., 23., 22., 23., 22., 23., 22., 23., 23., 23., 22.}"
"CapsNet Trained on MNIST Data","c5.xlarge",17,17,0,50,"DynamicRouting/2/Net/capsule/c/2","DynamicRouting/2/Net/capsule/c/2","DynamicRouting/2/Net/capsule/c/2","Softmax","Softmax","Softmax",228.,230.9,248.,"{248., 230., 239., 230., 229., 229., 229., 229., 229., 229., 229., 228., 228., 229., 229., 229., 229., 229., 229., 241., 230., 230., 229., 229., 229., 229., 241., 243., 232., 233., 232., 232., 232., 233., 233., 243., 244., 232., 232., 232., 231., 232., 232., 232., 232., 235., 234., 232., 233., 232.}"
"CapsNet Trained on MNIST Data","c5.xlarge",18,18,0,50,"DynamicRouting/2/Net/capsule/s/1","DynamicRouting/2/Net/capsule/s/1","DynamicRouting/2/Net/capsule/s/1","Replicate","Replicate","Replicate",5365.,5407.900000000001,5495.,"{5436., 5410., 5406., 5413., 5402., 5403., 5409., 5422., 5400., 5495., 5406., 5406., 5404., 5410., 5415., 5400., 5410., 5409., 5426., 5400., 5414., 5399., 5408., 5409., 5411., 5403., 5419., 5408., 5401., 5415., 5401., 5396., 5365., 5393., 5406., 5408., 5413., 5416., 5412., 5401., 5416., 5406., 5411., 5411., 5412., 5400., 5419., 5398., 5414., 5398.}"
"CapsNet Trained on MNIST Data","c5.xlarge",19,19,0,50,"DynamicRouting/2/Net/capsule/s/2","DynamicRouting/2/Net/capsule/s/2","DynamicRouting/2/Net/capsule/s/2","Threading","Threading","Threading",108.,108.30000000000001,160.,"{160., 124., 108., 108., 109., 108., 109., 108., 108., 108., 109., 108., 108., 108., 109., 108., 108., 108., 108., 108., 108., 108., 109., 109., 109., 118., 108., 125., 109., 109., 108., 108., 110., 108., 109., 108., 108., 109., 108., 108., 144., 108., 108., 108., 109., 108., 108., 108., 108., 109.}"
"CapsNet Trained on MNIST Data","c5.xlarge",20,20,0,50,"DynamicRouting/2/Net/capsule/s/3","DynamicRouting/2/Net/capsule/s/3","DynamicRouting/2/Net/capsule/s/3","Aggregation","Aggregation","Aggregation",3454.,3471.1000000000004,3543.,"{3541., 3543., 3472., 3481., 3471., 3470., 3490., 3460., 3464., 3481., 3469., 3466., 3476., 3469., 3479., 3460., 3473., 3476., 3469., 3466., 3477., 3469., 3455., 3476., 3471., 3476., 3482., 3468., 3466., 3477., 3456., 3463., 3478., 3470., 3466., 3479., 3467., 3473., 3455., 3466., 3478., 3468., 3466., 3475., 3469., 3454., 3474., 3467., 3469., 3479.}"
"CapsNet Trained on MNIST Data","c5.xlarge",21,21,0,50,"DynamicRouting/2/Net/capsule/v/1","DynamicRouting/2/Net/capsule/v/1","DynamicRouting/2/Net/capsule/v/1","Elementwise","Elementwise","Elementwise",14.,15.,40.,"{40., 17., 15., 15., 14., 16., 16., 15., 15., 15., 15., 15., 15., 15., 15., 14., 15., 15., 15., 15., 14., 15., 15., 15., 15., 15., 15., 15., 14., 15., 14., 15., 14., 15., 15., 15., 15., 15., 15., 15., 15., 15., 15., 15., 15., 15., 15., 16., 15., 15.}"
"CapsNet Trained on MNIST Data","c5.xlarge",22,22,0,50,"DynamicRouting/2/Net/capsule/v/2","DynamicRouting/2/Net/capsule/v/2","DynamicRouting/2/Net/capsule/v/2","Aggregation","Aggregation","Aggregation",24.,25.,38.,"{38., 27., 25., 26., 25., 25., 26., 25., 25., 25., 25., 25., 25., 25., 25., 26., 26., 25., 25., 25., 25., 26., 25., 25., 25., 26., 25., 25., 25., 25., 25., 25., 25., 25., 25., 25., 25., 25., 25., 25., 25., 25., 24., 25., 25., 25., 25., 25., 25., 25.}"
"CapsNet Trained on MNIST Data","c5.xlarge",23,23,0,50,"DynamicRouting/2/Net/capsule/v/3","DynamicRouting/2/Net/capsule/v/3","DynamicRouting/2/Net/capsule/v/3","Elementwise","Elementwise","Elementwise",22.,23.,45.,"{45., 25., 23., 23., 23., 24., 22., 23., 23., 23., 23., 23., 23., 23., 23., 23., 23., 23., 22., 23., 22., 23., 22., 23., 22., 38., 23., 23., 23., 23., 24., 22., 23., 22., 23., 23., 23., 23., 23., 23., 22., 23., 22., 23., 22., 23., 23., 23., 23., 23.}"
"CapsNet Trained on MNIST Data","c5.xlarge",24,24,0,50,"DynamicRouting/2/Net/capsule/v/4","DynamicRouting/2/Net/capsule/v/4","DynamicRouting/2/Net/capsule/v/4","Replicate","Replicate","Replicate",26.,27.,51.,"{51., 29., 27., 27., 28., 27., 27., 40., 27., 27., 27., 27., 26., 27., 27., 27., 27., 27., 27., 27., 27., 27., 27., 27., 27., 27., 27., 27., 28., 27., 27., 27., 27., 26., 27., 27., 27., 27., 27., 36., 28., 27., 27., 27., 27., 27., 27., 27., 26., 26.}"
"CapsNet Trained on MNIST Data","c5.xlarge",25,25,0,50,"DynamicRouting/2/Net/capsule/v/5","DynamicRouting/2/Net/capsule/v/5","DynamicRouting/2/Net/capsule/v/5","Threading","Threading","Threading",15.,15.466700000000001,33.,"{33., 16., 15., 16., 16., 15., 15., 16., 23., 17., 15., 16., 16., 24., 17., 16., 15., 15., 16., 15., 15., 16., 15., 15., 16., 15., 15., 15., 15., 15., 15., 15., 15., 16., 15., 15., 16., 15., 16., 23., 16., 15., 16., 16., 16., 15., 16., 15., 15., 15.}"
"CapsNet Trained on MNIST Data","c5.xlarge",26,26,0,50,"DynamicRouting/2/Net/dots/1","DynamicRouting/2/Net/dots/1","DynamicRouting/2/Net/dots/1","Replicate","Replicate","Replicate",5391.,5401.6,5427.,"{5427., 5401., 5405., 5401., 5401., 5405., 5392., 5414., 5394., 5401., 5405., 5414., 5393., 5409., 5404., 5395., 5405., 5393., 5405., 5403., 5408., 5394., 5412., 5391., 5404., 5401., 5404., 5411., 5399., 5401., 5400., 5403., 5391., 5405., 5399., 5401., 5399., 5401., 5392., 5408., 5407., 5394., 5407., 5397., 5403., 5394., 5402., 5400., 5403., 5395.}"
"CapsNet Trained on MNIST Data","c5.xlarge",27,27,0,50,"DynamicRouting/2/Net/dots/2","DynamicRouting/2/Net/dots/2","DynamicRouting/2/Net/dots/2","Threading","Threading","Threading",108.,108.80000000000001,172.,"{172., 132., 111., 109., 109., 109., 108., 109., 109., 108., 108., 109., 145., 108., 108., 109., 109., 108., 109., 111., 109., 109., 109., 109., 109., 109., 109., 118., 108., 109., 109., 109., 108., 108., 109., 109., 108., 109., 108., 108., 109., 108., 109., 108., 108., 109., 109., 129., 108., 109.}"
"CapsNet Trained on MNIST Data","c5.xlarge",28,28,0,50,"DynamicRouting/2/Net/dots/3","DynamicRouting/2/Net/dots/3","DynamicRouting/2/Net/dots/3","Aggregation","Aggregation","Aggregation",3531.,3556.5667000000003,3665.,"{3580., 3552., 3568., 3532., 3561., 3562., 3566., 3544., 3541., 3555., 3550., 3553., 3532., 3570., 3564., 3543., 3564., 3556., 3558., 3549., 3552., 3531., 3613., 3665., 3569., 3565., 3557., 3558., 3567., 3546., 3546., 3537., 3567., 3560., 3570., 3560., 3555., 3555., 3546., 3559., 3531., 3563., 3574., 3558., 3557., 3565., 3547., 3553., 3551., 3533.}"
"CapsNet Trained on MNIST Data","c5.xlarge",29,29,0,50,"DynamicRouting/2/Net/dots_flatten","DynamicRouting/2/Net/dots_flatten","DynamicRouting/2/Net/dots_flatten","Flatten","Flatten","Flatten",19.,22.700000000000003,56.,"{46., 19., 56., 24., 23., 23., 23., 22., 22., 23., 22., 22., 23., 23., 22., 23., 23., 23., 23., 22., 23., 23., 23., 22., 22., 22., 23., 23., 23., 22., 22., 23., 23., 23., 23., 24., 24., 22., 23., 23., 23., 22., 22., 22., 23., 22., 23., 22., 22., 23.}"
"CapsNet Trained on MNIST Data","c5.xlarge",30,30,0,50,"DynamicRouting/2/Net/new_b","DynamicRouting/2/Net/new_b","DynamicRouting/2/Net/new_b","Threading","Threading","Threading",25.,25.7333,44.,"{44., 27., 26., 25., 26., 25., 26., 25., 26., 25., 26., 26., 25., 26., 25., 26., 26., 26., 25., 25., 26., 26., 26., 25., 26., 26., 26., 25., 26., 33., 26., 25., 26., 25., 26., 26., 25., 25., 26., 26., 25., 26., 26., 26., 25., 25., 26., 25., 26., 26.}"
"CapsNet Trained on MNIST Data","c5.xlarge",31,31,0,50,"DynamicRouting/3","DynamicRouting/3","DynamicRouting/3","SequenceLast","SequenceLast","SequenceLast",226.,227.5333,271.,"{271., 229., 228., 227., 227., 227., 227., 227., 227., 235., 227., 227., 227., 227., 227., 227., 227., 227., 227., 227., 227., 227., 226., 228., 227., 227., 237., 239., 229., 228., 227., 227., 237., 229., 227., 227., 227., 228., 228., 227., 226., 227., 235., 239., 229., 228., 229., 231., 229., 229.}"
"CapsNet Trained on MNIST Data","c5.xlarge",32,32,0,50,"DigitCaps/c/1","DigitCaps/c/1","DigitCaps/c/1","Reshape","Reshape","Reshape",22.,25.,46.,"{39., 27., 25., 26., 25., 25., 25., 25., 25., 25., 25., 25., 25., 24., 25., 25., 25., 25., 25., 25., 25., 25., 25., 25., 25., 25., 25., 25., 25., 25., 25., 24., 25., 25., 25., 25., 26., 25., 25., 26., 25., 25., 25., 46., 23., 23., 23., 22., 22., 22.}"
"CapsNet Trained on MNIST Data","c5.xlarge",33,33,0,50,"DigitCaps/c/2","DigitCaps/c/2","DigitCaps/c/2","Softmax","Softmax","Softmax",228.,230.16670000000002,252.,"{244., 231., 229., 229., 229., 228., 229., 229., 252., 231., 229., 229., 228., 229., 229., 229., 230., 230., 229., 229., 230., 229., 229., 232., 233., 242., 229., 238., 231., 229., 229., 229., 239., 231., 229., 229., 229., 229., 229., 229., 229., 237., 242., 234., 234., 233., 233., 234., 234., 233.}"
"CapsNet Trained on MNIST Data","c5.xlarge",34,34,0,50,"DigitCaps/s/1","DigitCaps/s/1","DigitCaps/s/1","Replicate","Replicate","Replicate",5380.,5406.933300000001,5427.,"{5426., 5401., 5412., 5409., 5413., 5400., 5408., 5404., 5406., 5396., 5415., 5407., 5395., 5410., 5401., 5410., 5407., 5427., 5415., 5413., 5399., 5412., 5400., 5402., 5414., 5400., 5406., 5404., 5413., 5408., 5415., 5401., 5381., 5380., 5406., 5409., 5403., 5404., 5409., 5414., 5401., 5421., 5403., 5411., 5408., 5410., 5401., 5416., 5410., 5397.}"
"CapsNet Trained on MNIST Data","c5.xlarge",35,35,0,50,"DigitCaps/s/2","DigitCaps/s/2","DigitCaps/s/2","Threading","Threading","Threading",108.,108.30000000000001,168.,"{168., 126., 110., 109., 108., 109., 108., 120., 109., 108., 109., 108., 109., 108., 108., 109., 108., 108., 108., 108., 108., 108., 108., 108., 109., 108., 108., 108., 108., 108., 108., 108., 108., 108., 108., 108., 109., 108., 109., 108., 108., 109., 129., 109., 148., 111., 108., 108., 109., 108.}"
"CapsNet Trained on MNIST Data","c5.xlarge",36,36,0,50,"DigitCaps/s/3","DigitCaps/s/3","DigitCaps/s/3","Aggregation","Aggregation","Aggregation",3454.,3469.7000000000003,3576.,"{3537., 3494., 3479., 3478., 3467., 3576., 3467., 3482., 3466., 3465., 3474., 3468., 3454., 3480., 3466., 3474., 3469., 3463., 3480., 3459., 3465., 3478., 3467., 3464., 3483., 3474., 3466., 3461., 3466., 3463., 3484., 3470., 3468., 3477., 3467., 3454., 3483., 3464., 3471., 3468., 3463., 3477., 3454., 3463., 3473., 3468., 3463., 3480., 3471., 3464.}"
"CapsNet Trained on MNIST Data","c5.xlarge",37,37,0,50,"DigitCaps/v/1","DigitCaps/v/1","DigitCaps/v/1","Elementwise","Elementwise","Elementwise",14.,15.,41.,"{41., 18., 16., 15., 15., 15., 14., 15., 15., 16., 15., 15., 15., 15., 15., 15., 15., 14., 15., 15., 15., 15., 15., 14., 16., 15., 16., 15., 15., 15., 14., 15., 15., 15., 14., 15., 15., 15., 15., 15., 15., 15., 15., 15., 15., 15., 15., 15., 15., 15.}"
"CapsNet Trained on MNIST Data","c5.xlarge",38,38,0,50,"DigitCaps/v/2","DigitCaps/v/2","DigitCaps/v/2","Aggregation","Aggregation","Aggregation",24.,25.,38.,"{38., 27., 26., 26., 25., 25., 25., 25., 25., 25., 25., 25., 25., 25., 25., 24., 26., 25., 25., 25., 24., 25., 25., 25., 25., 25., 25., 25., 25., 25., 25., 25., 25., 25., 25., 25., 25., 25., 25., 25., 25., 25., 25., 26., 26., 25., 25., 25., 25., 25.}"
"CapsNet Trained on MNIST Data","c5.xlarge",39,39,0,50,"DigitCaps/v/3","DigitCaps/v/3","DigitCaps/v/3","Elementwise","Elementwise","Elementwise",22.,23.,44.,"{44., 25., 23., 23., 23., 24., 23., 23., 23., 23., 23., 23., 23., 23., 23., 23., 23., 23., 23., 23., 23., 23., 23., 23., 23., 23., 23., 23., 23., 24., 23., 23., 23., 23., 23., 23., 23., 23., 22., 24., 23., 23., 22., 23., 23., 23., 22., 23., 23., 23.}"
"CapsNet Trained on MNIST Data","c5.xlarge",40,40,0,50,"DigitCaps/v/4","DigitCaps/v/4","DigitCaps/v/4","Replicate","Replicate","Replicate",26.,27.,43.,"{43., 29., 27., 27., 27., 27., 27., 27., 26., 27., 27., 28., 27., 27., 27., 27., 26., 27., 27., 27., 26., 27., 27., 27., 27., 27., 27., 28., 27., 27., 27., 27., 27., 28., 27., 28., 27., 28., 27., 27., 27., 27., 27., 27., 27., 27., 28., 27., 27., 27.}"
"CapsNet Trained on MNIST Data","c5.xlarge",41,41,0,50,"DigitCaps/v/5","DigitCaps/v/5","DigitCaps/v/5","Threading","Threading","Threading",15.,15.933300000000001,36.,"{34., 17., 16., 16., 16., 23., 15., 15., 15., 15., 16., 16., 16., 16., 17., 15., 16., 17., 24., 16., 17., 15., 23., 15., 16., 16., 16., 24., 15., 24., 16., 17., 36., 16., 15., 15., 15., 16., 16., 17., 16., 16., 15., 15., 16., 16., 16., 15., 15., 16.}"
"CapsNet Trained on MNIST Data","c5.xlarge",42,42,0,50,"Norm/1","Norm/1","Norm/1","Elementwise","Elementwise","Elementwise",14.,15.,42.,"{31., 18., 15., 15., 15., 15., 16., 15., 15., 14., 15., 15., 15., 15., 15., 15., 15., 15., 15., 15., 15., 38., 15., 15., 15., 42., 16., 14., 15., 15., 15., 15., 15., 14., 15., 14., 15., 15., 15., 15., 15., 14., 15., 15., 15., 15., 14., 15., 15., 14.}"
"CapsNet Trained on MNIST Data","c5.xlarge",43,43,0,50,"Norm/2","Norm/2","Norm/2","Aggregation","Aggregation","Aggregation",24.,25.,45.,"{37., 26., 25., 26., 25., 24., 45., 26., 25., 25., 25., 25., 25., 25., 25., 25., 24., 25., 24., 25., 25., 25., 25., 26., 27., 25., 25., 25., 25., 25., 24., 25., 25., 25., 25., 25., 25., 24., 25., 25., 25., 24., 25., 25., 25., 25., 25., 25., 24., 25.}"
"CapsNet Trained on MNIST Data","c5.xlarge",44,44,0,50,"Norm/3","Norm/3","Norm/3","Elementwise","Elementwise","Elementwise",14.,15.,30.,"{30., 17., 16., 16., 15., 15., 15., 15., 15., 15., 15., 15., 15., 15., 15., 15., 15., 15., 15., 15., 15., 15., 15., 15., 15., 14., 15., 14., 15., 15., 15., 15., 15., 15., 15., 15., 15., 15., 15., 15., 15., 14., 15., 15., 15., 15., 15., 15., 15., 15.}"
"CapsNet Trained on MNIST Data","c5.xlarge",45,45,0,50,"Pick/1","Pick/1","Pick/1","Ordering","Ordering","Ordering",14.,16.7,46.,"{46., 17., 15., 15., 23., 15., 22., 15., 23., 17., 16., 15., 16., 15., 16., 15., 16., 17., 16., 15., 16., 16., 16., 15., 16., 16., 17., 16., 16., 22., 16., 17., 23., 23., 22., 23., 22., 16., 16., 16., 16., 14., 15., 16., 22., 16., 23., 23., 16., 15.}"
