"model_name","instance_type","start_index","end_index","sequence_length","num_runs","start_name","end_name","sequence_name","start_layer_kind","end_layer_kind","sequence_layer_kind","start_layer_path_time","mean_path_time","end_layer_path_time","raw_path_time"
"CycleGAN Photo-to-Van Gogh Translation","c5.xlarge",1,7,6,50,"1","7","1-2-3-4-5-6-7","Elementwise","Convolution","Elementwise-Padding-Convolution-Normalization-Elementwise-Padding-Convolution",130858.,131256.7333,158563.,"{158563., 131939., 132027., 131845., 131867., 132092., 132273., 132086., 132247., 131993., 131882., 131351., 131342., 130968., 130858., 131210., 130994., 130978., 131027., 130972., 131106., 131384., 131379., 131154., 131204., 131238., 130925., 131113., 131380., 131079., 131142., 131068., 131157., 130886., 131668., 131205., 131161., 131123., 131423., 131229., 131350., 131270., 130970., 131159., 131017., 131355., 131104., 131209., 131123., 131171.}"
"CycleGAN Photo-to-Van Gogh Translation","c5.xlarge",8,14,6,50,"8","14/1/1","8-9-10-11-12-13-14/1/1","Normalization","Padding","Normalization-Elementwise-Padding-Convolution-Normalization-Elementwise-Padding",85903.,86178.03330000001,90715.,"{90715., 86344., 86106., 86072., 85959., 86265., 85954., 86134., 86062., 86110., 86058., 86040., 86122., 86115., 86062., 86047., 86285., 86118., 86038., 85909., 86077., 85925., 86082., 86079., 86144., 86261., 86227., 85992., 86359., 85903., 86083., 86005., 86247., 86134., 86257., 86185., 86126., 89197., 86324., 86645., 86585., 86352., 86306., 86435., 86372., 86404., 86245., 86763., 86710., 86480.}"
"CycleGAN Photo-to-Van Gogh Translation","c5.xlarge",15,15,0,50,"14/1/2","14/1/2","14/1/2","Convolution","Convolution","Convolution",8970.,9087.6,18129.,"{18129., 9266., 9213., 9114., 9131., 8993., 9009., 9011., 9096., 9070., 9224., 9202., 9281., 9288., 9051., 9149., 9075., 9111., 9119., 9064., 9155., 9165., 9063., 9131., 9055., 9040., 9034., 9064., 9008., 9027., 9191., 9038., 9159., 9032., 9123., 9073., 9073., 9044., 9013., 8970., 9081., 9132., 9116., 9182., 9093., 9073., 9063., 9038., 9019., 8998.}"
"CycleGAN Photo-to-Van Gogh Translation","c5.xlarge",16,16,0,50,"14/1/3","14/1/3","14/1/3","Normalization","Normalization","Normalization",26011.,26093.300000000003,26209.,"{26125., 26040., 26083., 26077., 26073., 26120., 26111., 26067., 26129., 26128., 26036., 26122., 26090., 26071., 26073., 26043., 26103., 26059., 26131., 26031., 26130., 26160., 26070., 26122., 26066., 26139., 26209., 26029., 26114., 26011., 26048., 26154., 26113., 26053., 26127., 26128., 26061., 26112., 26055., 26128., 26125., 26052., 26068., 26073., 26131., 26068., 26150., 26071., 26090., 26089.}"
"CycleGAN Photo-to-Van Gogh Translation","c5.xlarge",17,17,0,50,"14/1/4","14/1/4","14/1/4","Elementwise","Elementwise","Elementwise",202.,203.2333,385.,"{385., 264., 212., 204., 203., 203., 203., 203., 203., 203., 203., 203., 202., 203., 203., 204., 203., 203., 203., 229., 203., 203., 203., 202., 203., 203., 226., 205., 203., 203., 204., 203., 203., 203., 203., 203., 203., 229., 203., 204., 204., 204., 220., 203., 203., 204., 203., 204., 203., 204.}"
"CycleGAN Photo-to-Van Gogh Translation","c5.xlarge",18,18,0,50,"14/1/5","14/1/5","14/1/5","Padding","Padding","Padding",662.,666.2667,739.,"{739., 696., 671., 664., 663., 702., 664., 687., 665., 662., 663., 689., 677., 664., 662., 662., 675., 690., 663., 662., 662., 663., 675., 690., 665., 664., 663., 666., 666., 688., 664., 664., 664., 664., 664., 667., 664., 678., 666., 663., 688., 665., 666., 666., 663., 663., 688., 664., 664., 663.}"
"CycleGAN Photo-to-Van Gogh Translation","c5.xlarge",19,19,0,50,"14/1/6","14/1/6","14/1/6","Convolution","Convolution","Convolution",9020.,9125.2333,18213.,"{18213., 9573., 9607., 9402., 9424., 9305., 9192., 9140., 9106., 9077., 9143., 9095., 9127., 9201., 9085., 9140., 9077., 9225., 9152., 9125., 9020., 9193., 9041., 9073., 9040., 9177., 9026., 9065., 9119., 9177., 9179., 9199., 9077., 9287., 9082., 9087., 9083., 9158., 9050., 9214., 9097., 9160., 9089., 9184., 9041., 9047., 9023., 9055., 9099., 9028.}"
"CycleGAN Photo-to-Van Gogh Translation","c5.xlarge",20,20,0,50,"14/1/7","14/1/7","14/1/7","Normalization","Normalization","Normalization",26005.,26108.6333,26326.,"{26286., 26214., 26326., 26220., 26199., 26256., 26205., 26185., 26138., 26055., 26084., 26122., 26107., 26123., 26130., 26140., 26131., 26005., 26144., 26091., 26101., 26072., 26121., 26080., 26068., 26130., 26130., 26087., 26071., 26122., 26140., 26170., 26129., 26097., 26082., 26064., 26062., 26046., 26109., 26121., 26096., 26116., 26109., 26064., 26069., 26081., 26081., 26068., 26118., 26059.}"
"CycleGAN Photo-to-Van Gogh Translation","c5.xlarge",21,27,6,50,"14/2","15/1/6","14/2-15/1/1-15/1/2-15/1/3-15/1/4-15/1/5-15/1/6","Total","Convolution","Total-Padding-Convolution-Normalization-Elementwise-Padding-Convolution",46846.,47104.966700000004,47872.,"{47872., 47253., 47403., 47157., 47402., 47413., 47134., 47140., 47037., 47057., 47295., 47274., 47104., 46956., 47148., 47065., 47138., 47322., 47041., 47098., 47040., 46968., 47017., 47103., 47238., 47140., 46968., 46982., 47140., 46977., 46999., 47240., 47059., 47218., 46960., 47004., 47095., 47115., 47039., 47027., 47002., 47081., 46959., 46970., 47298., 47206., 47257., 47133., 47133., 46846.}"
"CycleGAN Photo-to-Van Gogh Translation","c5.xlarge",28,28,0,50,"15/1/7","15/1/7","15/1/7","Normalization","Normalization","Normalization",25974.,26073.100000000002,26229.,"{26229., 26154., 26195., 26095., 26216., 26148., 26143., 26088., 26039., 26098., 26088., 26068., 26107., 25986., 26019., 26019., 25981., 26066., 26081., 25997., 26046., 26098., 26052., 26035., 26092., 26036., 26054., 26144., 26100., 26139., 26028., 26082., 26105., 26093., 26041., 26075., 26038., 26088., 26091., 26000., 26091., 26077., 26034., 26073., 26065., 26125., 25991., 26060., 25974., 26078.}"
