"model_name","instance_type","start_index","end_index","sequence_length","num_runs","start_name","end_name","sequence_name","start_layer_kind","end_layer_kind","sequence_layer_kind","start_layer_path_time","mean_path_time","end_layer_path_time","raw_path_time"
<<<<<<< HEAD
"CycleGAN Photo-to-Cezanne Translation","c5.2xlarge",1,8,7,50,"1","8","1-2-3-4-5-6-7-8","Elementwise","Normalization","Elementwise-Padding-Convolution-Normalization-Elementwise-Padding-Convolution-Normalization",178172.,178653.0667,212722.,"{212722., 178767., 178718., 178546., 178841., 178650., 178337., 179883., 178695., 178764., 178508., 178549., 178613., 178833., 178344., 178483., 178618., 178473., 178507., 178570., 178570., 178271., 178557., 178361., 178655., 178908., 178633., 178220., 178687., 178493., 178777., 178530., 178172., 178890., 178639., 178697., 178978., 178791., 178633., 178682., 178689., 178819., 178636., 178773., 179020., 180081., 178639., 178919., 178591., 178596.}"
"CycleGAN Photo-to-Cezanne Translation","c5.2xlarge",9,16,7,50,"9","14/1/3","9-10-11-12-13-14/1/1-14/1/2-14/1/3","Elementwise","Normalization","Elementwise-Padding-Convolution-Normalization-Elementwise-Padding-Convolution-Normalization",65040.,65405.866700000006,78056.,"{78056., 65351., 65358., 65407., 65462., 65365., 65137., 65609., 65531., 65458., 65420., 65431., 65638., 66163., 65425., 65318., 65780., 65331., 65389., 65473., 65502., 65389., 65485., 65514., 65496., 65407., 65615., 65212., 66529., 65441., 65366., 65332., 65177., 65385., 65263., 65665., 65268., 65324., 65395., 65417., 65494., 65332., 65209., 65258., 65620., 65308., 65272., 65401., 65040., 65201.}"
"CycleGAN Photo-to-Cezanne Translation","c5.2xlarge",17,17,0,50,"14/1/4","14/1/4","14/1/4","Elementwise","Elementwise","Elementwise",225.,226.3333,343.,"{343., 281., 230., 227., 226., 226., 226., 250., 225., 227., 227., 226., 227., 226., 226., 226., 227., 226., 227., 226., 227., 226., 226., 227., 243., 227., 226., 226., 226., 226., 237., 226., 226., 226., 227., 226., 226., 226., 226., 227., 226., 243., 227., 226., 227., 226., 226., 225., 226., 226.}"
"CycleGAN Photo-to-Cezanne Translation","c5.2xlarge",18,18,0,50,"14/1/5","14/1/5","14/1/5","Padding","Padding","Padding",685.,690.1,724.,"{724., 724., 690., 687., 686., 687., 708., 688., 699., 686., 686., 686., 709., 687., 686., 686., 686., 687., 706., 687., 686., 686., 685., 711., 691., 690., 690., 689., 689., 709., 690., 690., 689., 689., 690., 705., 691., 699., 691., 691., 708., 693., 690., 689., 690., 690., 708., 691., 690., 689.}"
"CycleGAN Photo-to-Cezanne Translation","c5.2xlarge",19,19,0,50,"14/1/6","14/1/6","14/1/6","Convolution","Convolution","Convolution",6290.,6507.933300000001,15242.,"{15242., 6803., 6756., 6654., 6670., 6576., 6567., 6581., 6545., 6548., 6546., 6477., 6516., 6585., 6569., 6741., 6825., 6782., 6708., 6674., 6547., 6454., 6615., 6506., 6394., 6364., 6302., 6368., 6305., 6370., 6404., 6321., 6379., 6519., 6382., 6367., 6437., 6531., 6577., 6588., 6738., 6654., 6486., 6423., 6403., 6327., 6370., 6398., 6290., 6377.}"
"CycleGAN Photo-to-Cezanne Translation","c5.2xlarge",20,20,0,50,"14/1/7","14/1/7","14/1/7","Normalization","Normalization","Normalization",26024.,26116.5,26172.,"{26145., 26146., 26128., 26117., 26091., 26121., 26116., 26051., 26024., 26085., 26079., 26064., 26130., 26048., 26107., 26130., 26134., 26121., 26119., 26072., 26124., 26122., 26127., 26091., 26140., 26085., 26124., 26052., 26125., 26140., 26110., 26098., 26100., 26072., 26121., 26078., 26160., 26149., 26156., 26124., 26171., 26141., 26052., 26120., 26125., 26077., 26149., 26141., 26172., 26145.}"
"CycleGAN Photo-to-Cezanne Translation","c5.2xlarge",21,28,7,50,"14/2","15/1/7","14/2-15/1/1-15/1/2-15/1/3-15/1/4-15/1/5-15/1/6-15/1/7","Total","Normalization","Total-Padding-Convolution-Normalization-Elementwise-Padding-Convolution-Normalization",67162.,67581.5,76033.,"{76033., 67543., 67684., 67625., 67609., 67701., 67715., 67648., 67372., 68047., 67780., 67539., 67656., 67517., 67162., 67362., 67434., 67557., 67493., 67446., 67596., 67391., 67596., 67560., 67566., 67594., 67413., 67655., 67310., 67512., 67526., 67389., 67601., 67550., 67644., 67600., 67774., 67553., 67449., 67740., 67576., 67260., 67708., 67714., 67783., 67518., 67570., 67614., 67658., 67636.}"
"CycleGAN Photo-to-Cezanne Translation","c5.2xlarge",29,36,7,50,"15/2","16/1/7","15/2-16/1/1-16/1/2-16/1/3-16/1/4-16/1/5-16/1/6-16/1/7","Total","Normalization","Total-Padding-Convolution-Normalization-Elementwise-Padding-Convolution-Normalization",67127.,67562.26670000001,67885.,"{67878., 67543., 67388., 67625., 67651., 67863., 67541., 67538., 67552., 67650., 67472., 67791., 67683., 67544., 67481., 67464., 67559., 67336., 67281., 67540., 67794., 67701., 67724., 67779., 67885., 67493., 67390., 67573., 67339., 67430., 67835., 67497., 67565., 67703., 67573., 67512., 67357., 67127., 67647., 67475., 67612., 67537., 67633., 67369., 67395., 67570., 67549., 67447., 67641., 67710.}"
"CycleGAN Photo-to-Cezanne Translation","c5.2xlarge",37,44,7,50,"16/2","17/1/7","16/2-17/1/1-17/1/2-17/1/3-17/1/4-17/1/5-17/1/6-17/1/7","Total","Normalization","Total-Padding-Convolution-Normalization-Elementwise-Padding-Convolution-Normalization",67253.,67463.7,67916.,"{67916., 67396., 67308., 67608., 67502., 67662., 67817., 67354., 67588., 67348., 67451., 67480., 67391., 67422., 67705., 67517., 67413., 67577., 67570., 67514., 67253., 67416., 67455., 67509., 67374., 67328., 67653., 67480., 67380., 67514., 67515., 67415., 67256., 67383., 67288., 67386., 67488., 67352., 67487., 67413., 67297., 67495., 67578., 67646., 67472., 67639., 67489., 67575., 67432., 67331.}"
"CycleGAN Photo-to-Cezanne Translation","c5.2xlarge",45,52,7,50,"17/2","18/1/7","17/2-18/1/1-18/1/2-18/1/3-18/1/4-18/1/5-18/1/6-18/1/7","Total","Normalization","Total-Padding-Convolution-Normalization-Elementwise-Padding-Convolution-Normalization",67343.,67543.5,67925.,"{67784., 67591., 67597., 67535., 67434., 67466., 67467., 67620., 67617., 67710., 67820., 67736., 67826., 67524., 67360., 67459., 67539., 67387., 67602., 67343., 67371., 67459., 67518., 67448., 67634., 67449., 67925., 67657., 67499., 67550., 67459., 67590., 67608., 67553., 67365., 67497., 67552., 67525., 67346., 67545., 67669., 67782., 67560., 67615., 67522., 67736., 67518., 67635., 67447., 67354.}"
