"model_name","instance_type","start_index","end_index","sequence_length","num_runs","start_name","end_name","sequence_name","start_layer_kind","end_layer_kind","sequence_layer_kind","start_layer_path_time","mean_path_time","end_layer_path_time","raw_path_time"
"CycleGAN Photo-to-Monet Translation","g4dn.xlarge",1,3,2,50,"1","3","1-2-3","Elementwise","Convolution","Elementwise-Padding-Convolution",13151.,13522.5,36272.,"{36272., 13583., 13771., 13415., 13672., 13635., 13433., 13665., 13429., 13379., 13647., 13390., 13175., 13358., 13448., 13362., 13702., 13520., 13151., 13542., 13411., 13470., 13794., 14044., 14302., 14220., 13896., 13881., 14358., 14106., 13620., 13567., 13465., 13424., 13487., 13681., 13342., 13438., 13450., 13430., 13555., 13489., 13259., 13485., 13407., 13558., 13483., 13174., 13370., 13564.}"
"CycleGAN Photo-to-Monet Translation","g4dn.xlarge",4,6,2,50,"4","6","4-5-6","Normalization","Convolution","Normalization-Elementwise-Convolution",120949.,121256.7333,130423.,"{130423., 121290., 121293., 121597., 121645., 121497., 121217., 120957., 121298., 121216., 121473., 121302., 121403., 121191., 121068., 121070., 121079., 121144., 121409., 121092., 121471., 121079., 121147., 121280., 121159., 121262., 121378., 121436., 121422., 121024., 121028., 121275., 121132., 121232., 121325., 121248., 121306., 121535., 121252., 121359., 120949., 121447., 121200., 121357., 121129., 121410., 121196., 121129., 121010., 121163.}"
"CycleGAN Photo-to-Monet Translation","g4dn.xlarge",7,9,2,50,"7","9","7-8-9","Normalization","Convolution","Normalization-Elementwise-Convolution",61013.,61244.333300000006,65962.,"{65962., 65888., 61332., 61506., 61258., 61268., 61387., 61272., 61114., 61138., 61544., 61464., 61256., 61225., 61210., 61103., 61146., 61030., 61598., 61278., 61184., 61110., 61359., 61283., 61214., 61154., 61472., 61399., 61131., 61196., 61111., 61158., 61128., 61068., 61636., 61290., 61013., 61104., 61238., 61602., 61237., 61569., 61411., 61217., 61196., 61182., 61163., 61073., 61184., 61364.}"
"CycleGAN Photo-to-Monet Translation","g4dn.xlarge",10,12,2,50,"10","12/1/1","10-11-12/1/1","Normalization","Padding","Normalization-Elementwise-Padding",28920.,28978.1667,29906.,"{29227., 29020., 28989., 29080., 29060., 29081., 29036., 29050., 29022., 28952., 29906., 29194., 28944., 28968., 28936., 29022., 28993., 28975., 29010., 28977., 28985., 28958., 28929., 28920., 29021., 28962., 28952., 29016., 28976., 28920., 28962., 28956., 28994., 28961., 28937., 28949., 28999., 28950., 28940., 28941., 28942., 28939., 28941., 28954., 28963., 29185., 28953., 29018., 28986., 28980.}"
"CycleGAN Photo-to-Monet Translation","g4dn.xlarge",13,15,2,50,"12/1/2","12/1/4","12/1/2-12/1/3-12/1/4","Convolution","Elementwise","Convolution-Normalization-Elementwise",37039.,37370.933300000004,45911.,"{45911., 37585., 37249., 37225., 37365., 37202., 37075., 37421., 37383., 37214., 37095., 37375., 37388., 37274., 37097., 37548., 37143., 37084., 37305., 37287., 37168., 37267., 37548., 37426., 37162., 37135., 37435., 37221., 37048., 37342., 37178., 37184., 37039., 37392., 37283., 37191., 37456., 37695., 37602., 37697., 37751., 37910., 38086., 38154., 37882., 37449., 37638., 38505., 37903., 37931.}"
"CycleGAN Photo-to-Monet Translation","g4dn.xlarge",16,18,2,50,"12/1/5","12/1/7","12/1/5-12/1/6-12/1/7","Padding","Normalization","Padding-Convolution-Normalization",37331.,37607.6,38541.,"{38541., 38094., 38024., 37837., 37647., 37545., 37729., 37652., 37671., 37574., 37624., 37412., 37556., 37573., 37601., 37493., 37608., 37683., 37447., 37396., 37661., 37630., 37530., 37337., 37732., 37843., 37513., 37367., 37665., 37777., 37346., 37441., 37647., 37593., 37391., 37438., 37676., 37470., 37429., 37536., 37634., 37583., 37659., 37694., 37622., 38335., 38270., 38149., 37712., 37331.}"
"CycleGAN Photo-to-Monet Translation","g4dn.xlarge",19,21,2,50,"12/2","13/1/2","12/2-13/1/1-13/1/2","Total","Convolution","Total-Padding-Convolution",9667.,10035.9333,11059.,"{11059., 10296., 10086., 10060., 10001., 9969., 10015., 10136., 9874., 9945., 10077., 10061., 10066., 9891., 9948., 10140., 10346., 10249., 10515., 10415., 10274., 10444., 10459., 10341., 10153., 9907., 9857., 9685., 9667., 9798., 9788., 10036., 9776., 9799., 9777., 9930., 9982., 10084., 9966., 10167., 10007., 10006., 10086., 10095., 10014., 10020., 10046., 9938., 9983., 10154.}"
"CycleGAN Photo-to-Monet Translation","g4dn.xlarge",22,24,2,50,"13/1/3","13/1/5","13/1/3-13/1/4-13/1/5","Normalization","Padding","Normalization-Elementwise-Padding",28882.,28973.9,29217.,"{29217., 29056., 28999., 29066., 29033., 29069., 29025., 28945., 28983., 29022., 28965., 29009., 28942., 28943., 28899., 28955., 28978., 28959., 29009., 29192., 28947., 28948., 28997., 28988., 28970., 28926., 28941., 28963., 28977., 28970., 29000., 28995., 28899., 28947., 28998., 28950., 28937., 28930., 28973., 28939., 28979., 28992., 28991., 28965., 28882., 28978., 28973., 28987., 28998., 28947.}"
"CycleGAN Photo-to-Monet Translation","g4dn.xlarge",25,25,0,50,"13/1/6","13/1/6","13/1/6","Convolution","Convolution","Convolution",8580.,8747.1,17439.,"{17439., 8994., 9019., 9018., 9018., 8977., 8580., 8649., 8669., 8860., 8816., 8917., 8943., 8858., 8611., 8588., 8629., 8609., 8810., 8989., 8873., 8800., 8726., 8621., 8630., 8677., 8763., 8852., 8888., 8802., 8653., 8634., 8618., 8631., 8763., 8925., 8802., 8763., 8677., 8666., 8623., 8742., 8642., 8835., 8764., 8819., 8639., 8683., 8632., 8656.}"
"CycleGAN Photo-to-Monet Translation","g4dn.xlarge",26,26,0,50,"13/1/7","13/1/7","13/1/7","Normalization","Normalization","Normalization",27778.,27874.6667,28111.,"{27898., 27918., 27778., 27950., 27911., 27872., 27905., 27831., 27893., 27848., 27912., 27783., 27855., 27881., 27872., 27833., 27805., 27921., 27898., 27869., 27907., 27822., 28111., 27891., 27867., 27780., 27823., 27927., 27858., 27859., 27840., 27821., 27871., 27872., 27852., 27839., 27862., 27881., 27908., 27895., 27871., 27876., 27912., 27913., 27868., 27933., 27912., 27858., 27863., 27782.}"
