"model_name","instance_type","start_index","end_index","sequence_length","num_runs","start_name","end_name","sequence_name","start_layer_kind","end_layer_kind","sequence_layer_kind","start_layer_path_time","mean_path_time","end_layer_path_time","raw_path_time"
"Inception V1 Trained on Extended Salient Object Subitizing Data","c5n.xlarge",1,8,7,50,"conv1_7x7_s2","conv2_3x3","conv1_7x7_s2-conv1_relu_7x7-pool1_3x3_s2_pad-pool1_3x3_s2-pool1_norm1-conv2_3x3_reduce-conv2_relu_3x3_reduce-conv2_3x3","Convolution","Convolution","Convolution-Elementwise-Padding-Pooling-LocalResponseNormalization-Convolution-Elementwise-Convolution",14302.,14434.133300000001,15223.,"{15223., 14637., 14471., 14447., 14434., 14428., 14466., 14447., 14494., 14520., 14567., 14618., 14542., 14515., 14527., 14509., 14447., 14595., 14458., 14541., 14488., 14418., 14411., 14427., 14492., 14368., 14401., 14464., 14480., 14447., 14491., 14390., 14369., 14358., 14339., 14345., 14305., 14393., 14360., 14317., 14369., 14302., 14376., 14331., 14322., 14324., 14352., 14440., 14401., 14438.}"
"Inception V1 Trained on Extended Salient Object Subitizing Data","c5n.xlarge",9,9,0,50,"conv2_relu_3x3","conv2_relu_3x3","conv2_relu_3x3","Elementwise","Elementwise","Elementwise",218.,219.76670000000001,376.,"{376., 317., 233., 222., 220., 241., 219., 219., 218., 218., 219., 220., 219., 219., 219., 219., 219., 219., 218., 219., 219., 230., 241., 218., 229., 219., 219., 219., 219., 219., 219., 219., 219., 218., 218., 219., 218., 218., 218., 219., 242., 220., 220., 231., 223., 222., 223., 222., 222., 222.}"
"Inception V1 Trained on Extended Salient Object Subitizing Data","c5n.xlarge",10,10,0,50,"conv2_norm2","conv2_norm2","conv2_norm2","LocalResponseNormalization","LocalResponseNormalization","LocalResponseNormalization",10473.,10517.7667,10655.,"{10617., 10580., 10655., 10524., 10533., 10549., 10528., 10534., 10539., 10527., 10528., 10529., 10528., 10524., 10496., 10522., 10512., 10483., 10522., 10492., 10515., 10526., 10491., 10524., 10524., 10518., 10523., 10535., 10501., 10532., 10520., 10610., 10588., 10575., 10532., 10499., 10497., 10502., 10474., 10488., 10504., 10473., 10509., 10487., 10502., 10496., 10482., 10516., 10516., 10489.}"
"Inception V1 Trained on Extended Salient Object Subitizing Data","c5n.xlarge",11,11,0,50,"pool2_3x3_s2_pad","pool2_3x3_s2_pad","pool2_3x3_s2_pad","Padding","Padding","Padding",965.,972.1333000000001,1027.,"{1027., 977., 969., 967., 999., 968., 967., 966., 990., 967., 967., 966., 986., 967., 976., 967., 989., 967., 966., 965., 987., 966., 967., 965., 978., 991., 970., 970., 970., 987., 970., 970., 970., 985., 979., 969., 969., 988., 970., 970., 969., 989., 969., 969., 977., 988., 970., 970., 969., 990.}"
"Inception V1 Trained on Extended Salient Object Subitizing Data","c5n.xlarge",12,12,0,50,"pool2_3x3_s2","pool2_3x3_s2","pool2_3x3_s2","Pooling","Pooling","Pooling",1197.,1204.8,1227.,"{1227., 1204., 1210., 1221., 1197., 1198., 1222., 1198., 1197., 1221., 1201., 1202., 1200., 1220., 1201., 1199., 1217., 1200., 1198., 1226., 1201., 1199., 1215., 1200., 1200., 1198., 1216., 1213., 1201., 1218., 1201., 1198., 1220., 1199., 1198., 1211., 1215., 1200., 1200., 1216., 1201., 1199., 1215., 1209., 1199., 1218., 1200., 1199., 1199., 1218.}"
"Inception V1 Trained on Extended Salient Object Subitizing Data","c5n.xlarge",13,13,0,50,"inception_3a/1x1","inception_3a/1x1","inception_3a/1x1","Convolution","Convolution","Convolution",134.,135.5667,274.,"{274., 149., 141., 137., 136., 149., 138., 136., 136., 135., 135., 134., 136., 137., 136., 135., 135., 163., 141., 136., 136., 135., 135., 135., 135., 135., 134., 134., 145., 135., 134., 136., 135., 134., 134., 135., 135., 136., 135., 136., 135., 136., 135., 135., 135., 162., 140., 136., 135., 136.}"
"Inception V1 Trained on Extended Salient Object Subitizing Data","c5n.xlarge",14,14,0,50,"inception_3a/relu_1x1","inception_3a/relu_1x1","inception_3a/relu_1x1","Elementwise","Elementwise","Elementwise",37.,38.9,64.,"{64., 43., 41., 40., 40., 40., 40., 40., 39., 39., 39., 49., 40., 41., 40., 41., 40., 40., 40., 40., 59., 42., 39., 38., 38., 39., 38., 38., 37., 37., 38., 38., 38., 39., 38., 38., 38., 38., 39., 38., 38., 38., 38., 38., 39., 38., 38., 39., 38., 38.}"
"Inception V1 Trained on Extended Salient Object Subitizing Data","c5n.xlarge",15,15,0,50,"inception_3a/3x3_reduce","inception_3a/3x3_reduce","inception_3a/3x3_reduce","Convolution","Convolution","Convolution",179.,180.4,256.,"{256., 193., 183., 184., 195., 185., 181., 181., 181., 183., 181., 181., 180., 180., 180., 180., 181., 197., 183., 181., 181., 181., 180., 179., 179., 180., 180., 180., 180., 180., 180., 180., 179., 179., 180., 180., 180., 180., 205., 186., 181., 179., 181., 179., 179., 179., 179., 179., 179., 179.}"
"Inception V1 Trained on Extended Salient Object Subitizing Data","c5n.xlarge",16,16,0,50,"inception_3a/relu_3x3_reduce","inception_3a/relu_3x3_reduce","inception_3a/relu_3x3_reduce","Elementwise","Elementwise","Elementwise",45.,45.9333,77.,"{77., 53., 48., 46., 46., 46., 46., 46., 46., 45., 46., 46., 47., 45., 46., 45., 46., 46., 46., 45., 46., 46., 46., 46., 46., 46., 45., 46., 46., 45., 45., 46., 45., 46., 46., 46., 46., 45., 45., 46., 45., 46., 46., 46., 45., 46., 46., 46., 46., 46.}"
"Inception V1 Trained on Extended Salient Object Subitizing Data","c5n.xlarge",17,17,0,50,"inception_3a/3x3","inception_3a/3x3","inception_3a/3x3","Convolution","Convolution","Convolution",1340.,1376.1000000000001,1490.,"{1490., 1428., 1390., 1385., 1397., 1399., 1351., 1387., 1350., 1356., 1383., 1373., 1388., 1340., 1380., 1392., 1382., 1363., 1393., 1359., 1353., 1381., 1376., 1340., 1377., 1369., 1363., 1372., 1366., 1386., 1387., 1341., 1373., 1372., 1380., 1360., 1391., 1386., 1366., 1393., 1383., 1395., 1367., 1363., 1400., 1366., 1355., 1389., 1366., 1364.}"
