"model_name","instance_type","start_index","end_index","sequence_length","num_runs","start_name","end_name","sequence_name","start_layer_kind","end_layer_kind","sequence_layer_kind","start_layer_path_time","mean_path_time","end_layer_path_time","raw_path_time"
<<<<<<< HEAD
"Pix2pix Street-Map-to-Photo Translation","c5.2xlarge",1,6,5,50,"56","34","56-50-41-43-45-34","Elementwise","Elementwise","Elementwise-Convolution-Elementwise-Convolution-Normalization-Elementwise",37313.,37569.3333,54053.,"{51729., 37431., 37552., 37450., 37579., 37438., 37752., 37493., 37594., 37548., 37534., 37663., 37584., 37671., 37707., 37497., 39666., 37514., 37478., 37484., 37498., 37421., 37370., 37562., 37490., 37570., 37764., 37640., 37448., 37605., 37553., 37394., 37549., 37560., 37872., 37922., 38060., 37631., 37547., 37611., 54053., 37600., 37669., 37405., 37313., 37541., 37627., 37592., 37592., 37601.}"
"Pix2pix Street-Map-to-Photo Translation","c5.2xlarge",7,12,5,50,"36","20","36-38-27-29-31-20","Convolution","Elementwise","Convolution-Normalization-Elementwise-Convolution-Normalization-Elementwise",27916.,28198.033300000003,43565.,"{43565., 28273., 28047., 28147., 28376., 28402., 28328., 28325., 28104., 28263., 28429., 28358., 28394., 28276., 28184., 28213., 28266., 28236., 28384., 28145., 28080., 28020., 28222., 28073., 28283., 28343., 28275., 28114., 28434., 28215., 28246., 28118., 28104., 27996., 28087., 28129., 28164., 27916., 27968., 28182., 28356., 28021., 27992., 28044., 28119., 28112., 28242., 28221., 27959., 28268.}"
"Pix2pix Street-Map-to-Photo Translation","c5.2xlarge",13,18,5,50,"22","4","22-24-12-14-16-4","Convolution","Elementwise","Convolution-Normalization-Elementwise-Convolution-Normalization-Elementwise",5257.,5365.5667,9449.,"{9449., 9261., 9100., 7042., 5364., 5356., 5264., 5347., 5374., 5313., 5369., 5310., 5377., 5344., 5344., 5317., 5420., 5353., 5386., 5340., 5306., 5354., 5265., 5330., 5266., 5310., 5257., 5372., 5372., 5465., 5378., 5391., 5338., 5367., 5343., 5307., 5399., 5369., 5431., 5367., 5407., 5334., 9231., 9175., 9217., 9160., 8306., 5337., 5387., 5274.}"
"Pix2pix Street-Map-to-Photo Translation","c5.2xlarge",19,24,5,50,"6","5","6-8-1-2-3-5","Convolution","Deconvolution","Convolution-Normalization-Elementwise-Convolution-Elementwise-Deconvolution",2209.,2289.2000000000003,4505.,"{4505., 4085., 4047., 3934., 3978., 3931., 2803., 2367., 2325., 2272., 2252., 2306., 2312., 2263., 2249., 2211., 2388., 2262., 2280., 2267., 2303., 2325., 2247., 2266., 2273., 2325., 2252., 2209., 2257., 2310., 2265., 2210., 2237., 2279., 2264., 2292., 2283., 2384., 2308., 2249., 2286., 2210., 2367., 2292., 2303., 2284., 2276., 2298., 2224., 2281.}"
"Pix2pix Street-Map-to-Photo Translation","c5.2xlarge",25,25,0,50,"7","7","7","Normalization","Normalization","Normalization",164.,165.2333,203.,"{203., 168., 166., 165., 164., 165., 164., 164., 165., 164., 164., 164., 165., 164., 165., 164., 165., 165., 189., 167., 166., 166., 165., 165., 165., 166., 165., 165., 165., 165., 165., 165., 165., 165., 165., 165., 165., 165., 173., 166., 181., 167., 166., 165., 166., 166., 165., 171., 166., 165.}"
"Pix2pix Street-Map-to-Photo Translation","c5.2xlarge",26,26,0,50,"9","9","9","Dropout","Dropout","Dropout",37.,38.,83.,"{72., 42., 39., 39., 37., 83., 39., 38., 38., 38., 38., 38., 38., 38., 38., 38., 38., 38., 38., 39., 38., 38., 37., 38., 38., 38., 38., 38., 38., 38., 38., 38., 38., 38., 40., 38., 38., 38., 38., 38., 38., 38., 38., 38., 37., 38., 37., 38., 37., 38.}"
"Pix2pix Street-Map-to-Photo Translation","c5.2xlarge",27,27,0,50,"10","10","10","Catenate","Catenate","Catenate",51.,52.066700000000004,90.,"{90., 54., 52., 53., 52., 52., 52., 52., 52., 52., 54., 52., 52., 52., 61., 54., 52., 53., 51., 51., 52., 79., 52., 52., 52., 52., 51., 52., 53., 52., 52., 53., 52., 52., 52., 51., 52., 52., 52., 52., 60., 53., 52., 51., 52., 52., 52., 52., 52., 52.}"
"Pix2pix Street-Map-to-Photo Translation","c5.2xlarge",28,28,0,50,"11","11","11","Elementwise","Elementwise","Elementwise",28.,29.,60.,"{60., 31., 29., 29., 29., 29., 29., 29., 28., 29., 29., 29., 29., 29., 29., 28., 29., 40., 30., 28., 28., 29., 34., 29., 29., 29., 29., 29., 28., 29., 29., 29., 29., 29., 29., 29., 29., 29., 34., 33., 29., 28., 29., 29., 29., 29., 29., 29., 29., 29.}"
"Pix2pix Street-Map-to-Photo Translation","c5.2xlarge",29,29,0,50,"13","13","13","Deconvolution","Deconvolution","Deconvolution",5364.,5543.9667,10529.,"{10529., 10012., 8658., 5467., 5474., 5456., 5532., 5494., 5488., 5604., 5619., 5364., 5428., 5444., 5415., 5463., 5451., 5508., 5519., 5554., 5537., 5491., 5482., 5476., 5504., 5525., 5526., 5437., 5532., 5467., 5562., 5511., 5500., 5665., 5562., 5578., 5524., 5567., 5604., 5638., 5621., 5526., 5650., 5654., 5628., 5635., 5644., 5659., 5636., 5680.}"
"Pix2pix Street-Map-to-Photo Translation","c5.2xlarge",30,30,0,50,"15","15","15","Normalization","Normalization","Normalization",453.,457.6,576.,"{498., 460., 457., 484., 458., 459., 459., 458., 457., 458., 458., 455., 459., 456., 456., 466., 457., 458., 457., 456., 475., 458., 457., 457., 458., 457., 457., 465., 576., 464., 456., 456., 462., 455., 455., 457., 464., 456., 453., 454., 454., 455., 454., 455., 453., 471., 459., 457., 465., 458.}"
