"model_name","instance_type","start_index","end_index","sequence_length","num_runs","start_name","end_name","sequence_name","start_layer_kind","end_layer_kind","sequence_layer_kind","start_layer_path_time","mean_path_time","end_layer_path_time","raw_path_time"
"Colorful Image Colorization Trained on ImageNet Competition Data","c5.2xlarge",1,4,3,50,"bw_conv1_1","relu1_2","bw_conv1_1-relu1_1-conv1_2-relu1_2","Convolution","Elementwise","Convolution-Elementwise-Convolution-Elementwise",13496.,14037.6667,51413.,"{51413., 26772., 14420., 14365., 13978., 14227., 13809., 13847., 14299., 14063., 13940., 13960., 14285., 13920., 14185., 14441., 13697., 14014., 14055., 13985., 14239., 13706., 13733., 13734., 13509., 13843., 13801., 13882., 13647., 13869., 14208., 14012., 13975., 14083., 13496., 13953., 13985., 13871., 13936., 13734., 13655., 13952., 14066., 14338., 14351., 14488., 14414., 14518., 14581., 14704.}"
"Colorful Image Colorization Trained on ImageNet Competition Data","c5.2xlarge",5,8,3,50,"conv1_2norm","conv2_2","conv1_2norm-conv2_1-relu2_1-conv2_2","BatchNormalization","Convolution","BatchNormalization-Convolution-Elementwise-Convolution",16151.,16731.5333,43727.,"{43727., 16932., 17039., 16542., 16405., 16369., 16744., 16700., 16485., 16505., 16282., 16421., 16374., 16261., 16758., 16608., 16777., 16564., 16456., 16528., 16202., 16151., 16238., 16212., 16514., 16248., 16256., 16508., 16675., 16350., 16625., 16878., 17005., 17351., 17367., 16879., 17100., 17234., 17292., 17150., 17137., 16953., 16829., 17435., 17390., 17163., 17237., 17287., 17082., 16773.}"
"Colorful Image Colorization Trained on ImageNet Competition Data","c5.2xlarge",9,12,3,50,"relu2_2","relu3_1","relu2_2-conv2_2norm-conv3_1-relu3_1","Elementwise","Elementwise","Elementwise-BatchNormalization-Convolution-Elementwise",6837.,6980.0667,13648.,"{12675., 7180., 7026., 7104., 6950., 13648., 13559., 13136., 6940., 6918., 7004., 6859., 6895., 7061., 6883., 6879., 7008., 6926., 6885., 6955., 6963., 6853., 6902., 6983., 6920., 6926., 7023., 6922., 7152., 7209., 7242., 7093., 7042., 7103., 6912., 6987., 7048., 7048., 6920., 6914., 6959., 6837., 6868., 7105., 6935., 6953., 6984., 6999., 6904., 6980.}"
"Colorful Image Colorization Trained on ImageNet Competition Data","c5.2xlarge",13,16,3,50,"conv3_2","relu3_3","conv3_2-relu3_2-conv3_3-relu3_3","Convolution","Elementwise","Convolution-Elementwise-Convolution-Elementwise",16203.,16479.3,50773.,"{50773., 27379., 16398., 16771., 16653., 16499., 16558., 16587., 16300., 16476., 16762., 16607., 16621., 16658., 16406., 16597., 16580., 16551., 16398., 16653., 16578., 16388., 16280., 16316., 16393., 16355., 16401., 16304., 16439., 16585., 16303., 16203., 16378., 16327., 16289., 16586., 16622., 16423., 16304., 16474., 16501., 16471., 16421., 16662., 16540., 16317., 16371., 16570., 16295., 16521.}"
"Colorful Image Colorization Trained on ImageNet Competition Data","c5.2xlarge",17,20,3,50,"conv3_3norm","conv4_2","conv3_3norm-conv4_1-relu4_1-conv4_2","BatchNormalization","Convolution","BatchNormalization-Convolution-Elementwise-Convolution",16545.,16938.,27389.,"{27389., 19571., 16892., 17236., 17042., 16689., 16738., 17022., 16545., 16650., 16854., 16802., 16819., 17028., 16850., 16859., 16885., 16623., 16717., 17045., 16837., 16694., 16895., 17054., 16899., 17011., 17190., 16973., 16983., 16977., 16954., 17071., 17392., 17478., 17520., 17338., 17390., 17489., 17100., 17055., 16967., 16939., 16612., 16864., 16769., 16591., 16733., 17352., 16766., 16719.}"
"Colorful Image Colorization Trained on ImageNet Competition Data","c5.2xlarge",21,24,3,50,"relu4_2","conv4_3norm","relu4_2-conv4_3-relu4_3-conv4_3norm","Elementwise","BatchNormalization","Elementwise-Convolution-Elementwise-BatchNormalization",11392.,11693.633300000001,12057.,"{11967., 11719., 11640., 11531., 11728., 11678., 11652., 11571., 11640., 11599., 11852., 11752., 11901., 11728., 11591., 11601., 11772., 11750., 11805., 11719., 11569., 11824., 11772., 11713., 11694., 11691., 11613., 11692., 11915., 11893., 11833., 11877., 11846., 12057., 12003., 11815., 11753., 11638., 11645., 11611., 11548., 11502., 11505., 11392., 11684., 11681., 11609., 11529., 11475., 11522.}"
"Colorful Image Colorization Trained on ImageNet Competition Data","c5.2xlarge",25,28,3,50,"conv5_1","relu5_2","conv5_1-relu5_1-conv5_2-relu5_2","Convolution","Elementwise","Convolution-Elementwise-Convolution-Elementwise",21911.,22329.9333,24182.,"{22825., 22660., 22147., 22215., 22542., 22612., 22081., 22274., 22225., 22070., 22241., 22308., 22404., 22754., 22414., 22379., 22481., 22351., 22158., 21911., 22497., 22282., 22261., 22234., 22667., 22500., 22698., 22216., 22187., 22158., 22033., 22785., 24182., 22596., 22270., 21953., 22095., 22030., 22119., 21932., 22077., 22356., 22739., 22431., 22522., 22686., 22312., 22336., 22150., 22451.}"
"Colorful Image Colorization Trained on ImageNet Competition Data","c5.2xlarge",29,32,3,50,"conv5_3","conv6_1","conv5_3-relu5_3-conv5_3norm-conv6_1","Convolution","Convolution","Convolution-Elementwise-BatchNormalization-Convolution",22279.,22681.033300000003,23520.,"{23103., 22730., 22911., 22700., 22894., 22895., 22967., 23128., 23153., 23520., 23404., 23320., 22943., 22812., 22603., 22480., 22574., 22509., 22439., 22297., 22454., 22888., 22674., 22799., 23082., 23199., 22732., 22722., 22777., 22582., 22875., 22911., 22439., 22351., 22416., 22397., 22518., 22509., 22414., 22279., 22547., 22514., 22452., 22434., 22720., 22362., 22771., 22885., 22554., 22296.}"
"Colorful Image Colorization Trained on ImageNet Competition Data","c5.2xlarge",33,36,3,50,"relu6_1","conv6_3","relu6_1-conv6_2-relu6_2-conv6_3","Elementwise","Convolution","Elementwise-Convolution-Elementwise-Convolution",22141.,22441.6333,23075.,"{22988., 22438., 22692., 22393., 22306., 22533., 22565., 22186., 22382., 22498., 22419., 22305., 22514., 22402., 22509., 22513., 22597., 22483., 23075., 22920., 22494., 22332., 22171., 22141., 22453., 22727., 22341., 22253., 22556., 22288., 22280., 22436., 22540., 22301., 22524., 22565., 22500., 22413., 22630., 22496., 22348., 22600., 22402., 22238., 22679., 22406., 22253., 22215., 22447., 22251.}"
"Colorful Image Colorization Trained on ImageNet Competition Data","c5.2xlarge",37,40,3,50,"relu6_3","relu7_1","relu6_3-conv6_3norm-conv7_1-relu7_1","Elementwise","Elementwise","Elementwise-BatchNormalization-Convolution-Elementwise",11439.,11771.566700000001,12177.,"{12009., 11713., 11552., 11536., 11439., 11596., 11859., 11721., 11681., 11605., 11485., 11564., 11768., 11714., 11674., 11691., 11554., 11663., 11681., 11987., 11961., 11965., 12027., 11989., 11890., 11736., 11667., 11566., 11680., 11829., 11973., 12062., 11958., 12141., 12025., 12048., 12177., 12104., 12127., 12095., 11878., 11831., 11766., 11644., 11662., 11690., 11675., 11524., 11485., 11505.}"
