"model_name","instance_type","start_index","end_index","sequence_length","num_runs","start_name","end_name","sequence_name","start_layer_kind","end_layer_kind","sequence_layer_kind","start_layer_path_time","mean_path_time","end_layer_path_time","raw_path_time"
"CycleGAN Monet-to-Photo Translation","c5n.xlarge",1,7,6,50,"1","7","1-2-3-4-5-6-7","Elementwise","Normalization","Elementwise-Padding-Convolution-Normalization-Elementwise-Convolution-Normalization",179729.,180291.0667,205004.,"{205004., 180086., 180360., 180468., 180110., 179845., 180188., 180240., 180328., 180484., 180353., 180777., 180396., 180489., 180380., 179989., 180100., 180436., 180572., 180385., 180532., 180192., 180353., 180132., 179729., 180507., 180689., 180225., 180117., 180085., 179752., 179982., 180343., 180283., 179937., 180040., 180228., 180349., 180053., 180264., 180861., 180807., 180286., 180431., 180134., 179926., 180698., 180638., 180734., 179820.}"
"CycleGAN Monet-to-Photo Translation","c5n.xlarge",8,14,6,50,"8","12/1/3","8-9-10-11-12/1/1-12/1/2-12/1/3","Elementwise","Normalization","Elementwise-Convolution-Normalization-Elementwise-Padding-Convolution-Normalization",66852.,67521.3333,80066.,"{80066., 67456., 67521., 67412., 67764., 67887., 67689., 67753., 67692., 67193., 66970., 67688., 67588., 67542., 67631., 67875., 67761., 67535., 67395., 67291., 67247., 67339., 67543., 66982., 66852., 67353., 68035., 67991., 67774., 67998., 67813., 68004., 67333., 67114., 67165., 67001., 67550., 67691., 67222., 67347., 67455., 67373., 67538., 67323., 67488., 67510., 67443., 67242., 67636., 67773.}"
"CycleGAN Monet-to-Photo Translation","c5n.xlarge",15,15,0,50,"12/1/4","12/1/4","12/1/4","Elementwise","Elementwise","Elementwise",198.,201.20000000000002,348.,"{348., 293., 206., 202., 201., 200., 201., 200., 200., 200., 200., 201., 200., 200., 198., 199., 200., 223., 204., 204., 203., 203., 203., 203., 203., 204., 204., 203., 202., 203., 202., 211., 203., 204., 203., 224., 200., 200., 199., 198., 199., 199., 198., 198., 198., 199., 199., 198., 198., 199.}"
"CycleGAN Monet-to-Photo Translation","c5n.xlarge",16,16,0,50,"12/1/5","12/1/5","12/1/5","Padding","Padding","Padding",681.,688.9333,730.,"{730., 704., 691., 688., 715., 684., 683., 683., 681., 695., 720., 685., 684., 683., 683., 683., 709., 686., 685., 684., 685., 684., 713., 701., 692., 690., 690., 715., 686., 684., 684., 685., 684., 719., 692., 689., 689., 700., 690., 714., 685., 684., 684., 684., 715., 691., 689., 690., 699., 691.}"
"CycleGAN Monet-to-Photo Translation","c5n.xlarge",17,17,0,50,"12/1/6","12/1/6","12/1/6","Convolution","Convolution","Convolution",8305.,8488.5,17405.,"{17405., 8955., 8814., 8690., 8606., 8539., 8473., 8643., 8611., 8626., 8665., 8615., 8529., 8578., 8551., 8480., 8457., 8431., 8605., 8838., 8721., 8586., 8465., 8525., 8651., 8466., 8392., 8353., 8305., 8378., 8397., 8474., 8453., 8474., 8395., 8435., 8413., 8442., 8521., 8421., 8383., 8383., 8452., 8440., 8384., 8355., 8334., 8412., 8368., 8409.}"
"CycleGAN Monet-to-Photo Translation","c5n.xlarge",18,18,0,50,"12/1/7","12/1/7","12/1/7","Normalization","Normalization","Normalization",26103.,26160.9333,26206.,"{26206., 26168., 26166., 26144., 26183., 26150., 26153., 26118., 26106., 26147., 26144., 26133., 26128., 26126., 26131., 26133., 26136., 26187., 26150., 26199., 26178., 26192., 26193., 26170., 26179., 26192., 26186., 26191., 26188., 26178., 26187., 26173., 26157., 26181., 26154., 26180., 26143., 26150., 26144., 26146., 26144., 26182., 26145., 26142., 26163., 26148., 26153., 26103., 26201., 26169.}"
"CycleGAN Monet-to-Photo Translation","c5n.xlarge",19,25,6,50,"12/2","13/1/6","12/2-13/1/1-13/1/2-13/1/3-13/1/4-13/1/5-13/1/6","Total","Convolution","Total-Padding-Convolution-Normalization-Elementwise-Padding-Convolution",45065.,45829.3667,54946.,"{54946., 46134., 46329., 46240., 46112., 45917., 45594., 45811., 45359., 45169., 45065., 45127., 45777., 46098., 45973., 46088., 45973., 46068., 46146., 46135., 45878., 45735., 45825., 45826., 45678., 45682., 45669., 45515., 45688., 45528., 45532., 45425., 45467., 45195., 45708., 46167., 46101., 46170., 46333., 46167., 46271., 46370., 46394., 46401., 45631., 45334., 45246., 45254., 45155., 45129.}"
"CycleGAN Monet-to-Photo Translation","c5n.xlarge",26,26,0,50,"13/1/7","13/1/7","13/1/7","Normalization","Normalization","Normalization",26081.,26160.533300000003,26456.,"{26175., 26179., 26150., 26166., 26152., 26161., 26157., 26143., 26141., 26098., 26146., 26126., 26143., 26176., 26150., 26081., 26131., 26121., 26148., 26456., 26147., 26141., 26126., 26131., 26099., 26137., 26163., 26121., 26171., 26162., 26200., 26179., 26216., 26230., 26183., 26163., 26207., 26188., 26216., 26209., 26148., 26183., 26119., 26158., 26174., 26147., 26216., 26207., 26230., 26185.}"
"CycleGAN Monet-to-Photo Translation","c5n.xlarge",27,33,6,50,"13/2","14/1/6","13/2-14/1/1-14/1/2-14/1/3-14/1/4-14/1/5-14/1/6","Total","Convolution","Total-Padding-Convolution-Normalization-Elementwise-Padding-Convolution",45200.,46057.0667,46674.,"{46608., 46034., 45677., 45709., 45728., 45316., 45388., 45252., 45200., 45398., 46042., 46141., 46173., 46218., 45982., 46115., 46256., 46194., 46674., 46481., 46304., 46035., 45888., 45611., 45428., 45447., 45424., 45777., 45588., 45668., 46391., 46288., 46394., 46654., 46448., 46209., 46507., 46375., 46535., 45935., 46094., 45892., 46158., 46197., 46264., 46363., 46032., 45999., 46123., 46217.}"
"CycleGAN Monet-to-Photo Translation","c5n.xlarge",34,34,0,50,"14/1/7","14/1/7","14/1/7","Normalization","Normalization","Normalization",26089.,26150.7333,26223.,"{26223., 26204., 26165., 26143., 26163., 26128., 26163., 26123., 26132., 26132., 26127., 26142., 26158., 26134., 26153., 26140., 26140., 26150., 26128., 26160., 26141., 26141., 26138., 26133., 26151., 26147., 26097., 26133., 26116., 26133., 26178., 26117., 26144., 26089., 26148., 26126., 26168., 26161., 26171., 26172., 26192., 26152., 26174., 26189., 26172., 26198., 26193., 26201., 26221., 26184.}"
